InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Accounting,5,1,4
Washington State University,Arizona State University,Field,Accounting,4,1,3
Baylor University,Baylor University,Field,Accounting,2,1,1
University of Houston,Carnegie Mellon University,Field,Accounting,2,1,1
University of Illinois at Chicago,Carnegie Mellon University,Field,Accounting,2,1,1
Rutgers  - Newark,Columbia University,Field,Accounting,2,1,1
University of Colorado Boulder,Columbia University,Field,Accounting,3,1,2
"University of Minnesota, Twin Cities",Columbia University,Field,Accounting,2,1,1
American University,Cornell University,Field,Accounting,3,1,2
Brigham Young University,Cornell University,Field,Accounting,3,1,2
University of Illinois at Urbana-Champaign,Cornell University,Field,Accounting,4,1,2
University of Delaware,Drexel University,Field,Accounting,2,1,1
Arizona State University,Emory University,Field,Accounting,2,1,1
Auburn University,Florida State University,Field,Accounting,2,1,1
Florida State University,Florida State University,Field,Accounting,2,1,1
Louisiana State University,Florida State University,Field,Accounting,2,1,1
North Carolina State University,Florida State University,Field,Accounting,3,1,2
University of Georgia,Florida State University,Field,Accounting,2,1,1
Virginia Commonwealth University,Florida State University,Field,Accounting,2,1,1
George Mason University,George Washington University,Field,Accounting,2,1,1
Virginia Polytechnic Institute and State University,Georgia State University,Field,Accounting,3,1,2
Brigham Young University,Harvard University,Field,Accounting,2,1,1
Harvard University,Harvard University,Field,Accounting,6,1,5
Northeastern University,Harvard University,Field,Accounting,3,1,1
University of Southern California,Harvard University,Field,Accounting,3,2,1
Brigham Young University,Indiana University - Bloomington,Field,Accounting,3,1,2
Indiana University - Bloomington,Indiana University - Bloomington,Field,Accounting,3,1,2
Ohio University,Indiana University - Bloomington,Field,Accounting,2,1,1
University of Illinois at Urbana-Champaign,Indiana University - Bloomington,Field,Accounting,3,1,2
University of Missouri - St. Louis,Indiana University - Bloomington,Field,Accounting,3,2,1
"Binghamton University, State University of New York",Louisiana State University,Field,Accounting,3,1,2
University of Louisiana at Lafayette,Louisiana State University,Field,Accounting,4,2,2
"University of New Orleans, The",Louisiana State University,Field,Accounting,3,2,1
West Virginia University,Louisiana State University,Field,Accounting,2,1,1
Boston College,Massachusetts Institute of Technology,Field,Accounting,2,1,1
Rice University,Massachusetts Institute of Technology,Field,Accounting,2,1,1
University of Southern California,Massachusetts Institute of Technology,Field,Accounting,3,1,1
Miami University,Michigan State University,Field,Accounting,5,2,3
Michigan State University,Michigan State University,Field,Accounting,4,2,2
Northern Illinois University,Michigan State University,Field,Accounting,2,1,1
Western Michigan University,Michigan State University,Field,Accounting,4,2,2
New Mexico State University,New Mexico State University,Field,Accounting,3,1,2
Fordham University,New York University,Field,Accounting,5,1,4
"University of Arizona, The",New York University,Field,Accounting,2,1,1
University of Colorado Boulder,New York University,Field,Accounting,3,1,2
Boston College,Northwestern University,Field,Accounting,2,1,1
Temple University,"Ohio State University, The",Field,Accounting,3,1,2
New Mexico State University,Oklahoma State University,Field,Accounting,3,1,1
Texas A&M Corpus Christi,Oklahoma State University,Field,Accounting,2,1,1
University of Hawaii,Oklahoma State University,Field,Accounting,3,1,1
Virginia Polytechnic Institute and State University,Oklahoma State University,Field,Accounting,2,1,1
"Ohio State University, The","Pennsylvania State University, The",Field,Accounting,4,1,2
"University of Arizona, The","Pennsylvania State University, The",Field,Accounting,2,1,1
University of Oklahoma,"Pennsylvania State University, The",Field,Accounting,2,1,1
Syracuse University,Purdue University,Field,Accounting,3,1,2
"University at Buffalo, State University of New York",Purdue University,Field,Accounting,3,1,1
Bentley University,Rutgers - New Brunswick,Field,Accounting,2,1,1
Lehigh University,Rutgers - New Brunswick,Field,Accounting,2,1,1
Saint Louis University,Saint Louis University,Field,Accounting,3,2,1
Southern Illinois University Carbondale,Southern Illinois University Carbondale,Field,Accounting,3,1,2
Boston University,Stanford University,Field,Accounting,2,1,1
George Washington University,Stanford University,Field,Accounting,3,1,1
University of Colorado Boulder,Stanford University,Field,Accounting,5,2,3
University of Southern California,Stanford University,Field,Accounting,5,1,3
"University of Utah, The",Stanford University,Field,Accounting,2,1,1
"Binghamton University, State University of New York",Syracuse University,Field,Accounting,2,1,1
Arizona State University,Texas A&M University,Field,Accounting,2,1,1
Auburn University,Texas A&M University,Field,Accounting,2,1,1
Baylor University,Texas A&M University,Field,Accounting,2,1,1
Bentley University,Texas A&M University,Field,Accounting,4,2,2
University of Missouri,Texas A&M University,Field,Accounting,3,1,2
University of South Florida,Texas A&M University,Field,Accounting,2,1,1
Baylor University,Texas Tech University,Field,Accounting,2,1,1
Clemson University,Texas Tech University,Field,Accounting,3,1,2
New Mexico State University,Texas Tech University,Field,Accounting,2,1,1
University of North Carolina Charlotte,"University of Alabama, The",Field,Accounting,3,1,2
University of Oklahoma,"University of Alabama, The",Field,Accounting,2,1,1
Colorado State University,"University of Arizona, The",Field,Accounting,2,1,1
George Mason University,"University of Arizona, The",Field,Accounting,3,1,2
Montana State University,"University of Arizona, The",Field,Accounting,3,1,2
University of Georgia,"University of Arizona, The",Field,Accounting,2,1,1
"University of Nevada, Las Vegas","University of Arizona, The",Field,Accounting,2,1,1
University of Oregon,"University of Arizona, The",Field,Accounting,2,1,1
University of Colorado Boulder,"University of California, Berkeley",Field,Accounting,3,2,1
Columbia University,"University of Chicago, The",Field,Accounting,4,1,3
New York University,"University of Chicago, The",Field,Accounting,6,3,3
Syracuse University,"University of Cincinnati, The",Field,Accounting,2,1,1
"University of Cincinnati, The","University of Cincinnati, The",Field,Accounting,5,2,1
Colorado State University,University of Colorado Boulder,Field,Accounting,3,1,2
University of North Carolina Charlotte,University of Colorado Boulder,Field,Accounting,2,1,1
Clemson University,University of Florida,Field,Accounting,3,1,2
University of Central Florida,University of Florida,Field,Accounting,2,1,1
University of Kentucky,University of Florida,Field,Accounting,2,1,1
University of South Carolina,University of Florida,Field,Accounting,2,1,1
Clemson University,University of Georgia,Field,Accounting,3,2,1
Texas A&M Corpus Christi,University of Houston,Field,Accounting,3,2,1
Texas State University,University of Houston,Field,Accounting,3,1,1
Florida State University,University of Illinois at Urbana-Champaign,Field,Accounting,2,1,1
Oklahoma State University,University of Illinois at Urbana-Champaign,Field,Accounting,2,1,1
University of Arkansas,University of Illinois at Urbana-Champaign,Field,Accounting,3,1,2
University of Georgia,University of Illinois at Urbana-Champaign,Field,Accounting,4,1,3
"University of Texas at Austin, The",University of Illinois at Urbana-Champaign,Field,Accounting,3,1,2
University of Washington,University of Illinois at Urbana-Champaign,Field,Accounting,2,1,1
Michigan State University,"University of Iowa, The",Field,Accounting,2,1,1
University of South Carolina,"University of Iowa, The",Field,Accounting,2,1,1
"University of Missouri - Kansas City, The","University of Kansas, The",Field,Accounting,2,1,1
Ball State University,University of Kentucky,Field,Accounting,3,1,2
University of Kentucky,University of Kentucky,Field,Accounting,2,1,1
