InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Michigan State University,Carnegie Mellon University,Field,Agricultural Economics,2,1,1
Colorado State University,Colorado State University,Field,Agricultural Economics,3,1,2
University of Arkansas,Colorado State University,Field,Agricultural Economics,2,1,1
Iowa State University,Cornell University,Field,Agricultural Economics,2,1,1
"Ohio State University, The",Cornell University,Field,Agricultural Economics,2,1,1
Oregon State University,Cornell University,Field,Agricultural Economics,2,1,1
"Pennsylvania State University, The",Cornell University,Field,Agricultural Economics,3,1,1
University of Illinois at Urbana-Champaign,Cornell University,Field,Agricultural Economics,2,1,1
Iowa State University,Iowa State University,Field,Agricultural Economics,4,1,3
Oklahoma State University,Iowa State University,Field,Agricultural Economics,6,2,3
University of Illinois at Urbana-Champaign,Iowa State University,Field,Agricultural Economics,4,1,3
Kansas State University,Kansas State University,Field,Agricultural Economics,11,3,6
Mississippi State University,Kansas State University,Field,Agricultural Economics,3,1,2
Purdue University,Kansas State University,Field,Agricultural Economics,3,2,1
University of Florida,Kansas State University,Field,Agricultural Economics,2,1,1
Iowa State University,Massachusetts Institute of Technology,Field,Agricultural Economics,3,1,2
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Field,Agricultural Economics,2,1,1
Michigan State University,Michigan State University,Field,Agricultural Economics,20,3,15
"Pennsylvania State University, The",Michigan State University,Field,Agricultural Economics,6,1,5
Purdue University,Michigan State University,Field,Agricultural Economics,5,1,3
Louisiana Tech University,Mississippi State University,Field,Agricultural Economics,3,1,2
North Carolina State University,North Carolina State University,Field,Agricultural Economics,4,2,2
Oklahoma State University,North Carolina State University,Field,Agricultural Economics,2,1,1
University of Florida,North Carolina State University,Field,Agricultural Economics,2,1,1
North Dakota State University,North Dakota State University,Field,Agricultural Economics,4,1,3
Auburn University,"Ohio State University, The",Field,Agricultural Economics,4,2,2
"Ohio State University, The","Ohio State University, The",Field,Agricultural Economics,3,1,2
"Pennsylvania State University, The","Ohio State University, The",Field,Agricultural Economics,6,2,4
University of Kentucky,"Ohio State University, The",Field,Agricultural Economics,2,1,1
University of Illinois at Urbana-Champaign,Oklahoma State University,Field,Agricultural Economics,2,1,1
"University of Tennessee, The",Oklahoma State University,Field,Agricultural Economics,5,1,4
Michigan State University,"Pennsylvania State University, The",Field,Agricultural Economics,2,1,1
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Agricultural Economics,9,3,3
Kansas State University,Purdue University,Field,Agricultural Economics,8,1,6
Oregon State University,Purdue University,Field,Agricultural Economics,2,1,1
Purdue University,Purdue University,Field,Agricultural Economics,13,1,10
Texas A&M University,Purdue University,Field,Agricultural Economics,4,1,2
Auburn University,Texas A&M University,Field,Agricultural Economics,2,1,1
Oklahoma State University,Texas A&M University,Field,Agricultural Economics,6,2,2
