InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Agricultural Engineering,9,1,7
Missouri University of Science and Technology,Arizona State University,Field,Agricultural Engineering,2,1,1
Clemson University,Auburn University,Field,Agricultural Engineering,2,1,1
"University of Utah, The",Boston University,Field,Agricultural Engineering,2,1,1
California Institute of Technology,California Institute of Technology,Field,Agricultural Engineering,4,1,2
Cornell University,California Institute of Technology,Field,Agricultural Engineering,6,1,5
Iowa State University,California Institute of Technology,Field,Agricultural Engineering,2,1,1
"Ohio State University, The",California Institute of Technology,Field,Agricultural Engineering,3,1,2
"University of California, Los Angeles",California Institute of Technology,Field,Agricultural Engineering,2,1,1
"University of California, Riverside",California Institute of Technology,Field,Agricultural Engineering,2,1,1
Clemson University,Clemson University,Field,Agricultural Engineering,10,3,5
Clemson University,Columbia University,Field,Agricultural Engineering,2,1,1
Oregon State University,Cornell University,Field,Agricultural Engineering,2,1,1
"Pennsylvania State University, The",Cornell University,Field,Agricultural Engineering,2,1,1
Purdue University,Cornell University,Field,Agricultural Engineering,2,1,1
"University of California, Davis",Cornell University,Field,Agricultural Engineering,4,1,2
"University of Toledo, The",Drexel University,Field,Agricultural Engineering,2,1,1
Arizona State University,Georgia Institute of Technology,Field,Agricultural Engineering,3,2,1
Clemson University,Georgia Institute of Technology,Field,Agricultural Engineering,2,1,1
University of Georgia,Georgia Institute of Technology,Field,Agricultural Engineering,5,1,3
University of Pennsylvania,Georgia Institute of Technology,Field,Agricultural Engineering,2,1,1
California Institute of Technology,Harvard University,Field,Agricultural Engineering,5,3,2
Massachusetts Institute of Technology,Harvard University,Field,Agricultural Engineering,6,1,4
Illinois Institute of Technology,Illinois Institute of Technology,Field,Agricultural Engineering,3,1,2
Iowa State University,Iowa State University,Field,Agricultural Engineering,10,1,9
"Ohio State University, The",Iowa State University,Field,Agricultural Engineering,3,1,2
University of Illinois at Urbana-Champaign,Iowa State University,Field,Agricultural Engineering,2,1,1
California Institute of Technology,Johns Hopkins University,Field,Agricultural Engineering,3,2,1
Princeton University,Johns Hopkins University,Field,Agricultural Engineering,2,1,1
"University of California, Los Angeles",Johns Hopkins University,Field,Agricultural Engineering,2,1,1
"University of California, San Diego",Johns Hopkins University,Field,Agricultural Engineering,2,1,1
Kansas State University,Kansas State University,Field,Agricultural Engineering,6,1,5
Louisiana State University,Louisiana State University,Field,Agricultural Engineering,3,1,1
California Institute of Technology,Massachusetts Institute of Technology,Field,Agricultural Engineering,5,1,4
Clemson University,Massachusetts Institute of Technology,Field,Agricultural Engineering,3,1,2
Cornell University,Massachusetts Institute of Technology,Field,Agricultural Engineering,4,1,2
George Mason University,Massachusetts Institute of Technology,Field,Agricultural Engineering,3,1,2
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Agricultural Engineering,11,1,8
New York University,Massachusetts Institute of Technology,Field,Agricultural Engineering,2,1,1
Rice University,Massachusetts Institute of Technology,Field,Agricultural Engineering,2,1,1
Stanford University,Massachusetts Institute of Technology,Field,Agricultural Engineering,2,1,1
Tufts University,Massachusetts Institute of Technology,Field,Agricultural Engineering,4,1,2
Michigan State University,Michigan State University,Field,Agricultural Engineering,8,2,5
Texas A&M University,Michigan State University,Field,Agricultural Engineering,3,1,1
Mississippi State University,Mississippi State University,Field,Agricultural Engineering,3,1,1
Montana State University,Montana State University,Field,Agricultural Engineering,5,3,2
Iowa State University,North Carolina State University,Field,Agricultural Engineering,2,1,1
Louisiana State University,North Carolina State University,Field,Agricultural Engineering,2,1,1
Oregon State University,North Carolina State University,Field,Agricultural Engineering,2,1,1
"University of Alabama, The",North Carolina State University,Field,Agricultural Engineering,3,1,1
University of Florida,North Carolina State University,Field,Agricultural Engineering,5,1,4
University of Kentucky,North Carolina State University,Field,Agricultural Engineering,3,1,1
University of Nebraska - Lincoln,North Carolina State University,Field,Agricultural Engineering,3,1,2
Utah State University,North Carolina State University,Field,Agricultural Engineering,3,1,2
"University of California, Los Angeles",Northwestern University,Field,Agricultural Engineering,2,1,1
University of Pittsburgh,Northwestern University,Field,Agricultural Engineering,2,1,1
Washington State University,Northwestern University,Field,Agricultural Engineering,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Agricultural Engineering,6,2,4
Purdue University,"Ohio State University, The",Field,Agricultural Engineering,3,1,2
Oklahoma State University,Oklahoma State University,Field,Agricultural Engineering,3,1,2
Oregon State University,Oregon State University,Field,Agricultural Engineering,7,1,6
North Carolina State University,"Pennsylvania State University, The",Field,Agricultural Engineering,2,1,1
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Agricultural Engineering,4,1,3
Iowa State University,Purdue University,Field,Agricultural Engineering,5,1,3
"Ohio State University, The",Purdue University,Field,Agricultural Engineering,3,1,2
Oklahoma State University,Purdue University,Field,Agricultural Engineering,2,1,1
Purdue University,Purdue University,Field,Agricultural Engineering,7,1,6
Texas A&M University,Purdue University,Field,Agricultural Engineering,2,1,1
"University of Arizona, The",Purdue University,Field,Agricultural Engineering,2,1,1
Clemson University,Rensselaer Polytechnic Institute,Field,Agricultural Engineering,2,1,1
Georgia Institute of Technology,Rice University,Field,Agricultural Engineering,2,1,1
"University of Maryland, College Park",Rice University,Field,Agricultural Engineering,2,1,1
University of Nebraska - Lincoln,Rutgers - New Brunswick,Field,Agricultural Engineering,2,1,1
