InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Colorado State University,Colorado State University,Field,Agronomy,4,1,3
Michigan State University,Cornell University,Field,Agronomy,5,2,2
North Carolina State University,Cornell University,Field,Agronomy,2,1,1
"Pennsylvania State University, The",Cornell University,Field,Agronomy,2,1,1
Purdue University,Cornell University,Field,Agronomy,2,1,1
University of Illinois at Urbana-Champaign,Cornell University,Field,Agronomy,3,1,2
University of Nebraska - Lincoln,Cornell University,Field,Agronomy,4,1,3
University of Wisconsin - Madison,Cornell University,Field,Agronomy,2,1,1
Virginia Polytechnic Institute and State University,Cornell University,Field,Agronomy,6,2,4
Iowa State University,Iowa State University,Field,Agronomy,12,1,10
Kansas State University,Iowa State University,Field,Agronomy,5,1,3
University of Arkansas,Iowa State University,Field,Agronomy,2,1,1
University of Illinois at Urbana-Champaign,Iowa State University,Field,Agronomy,4,1,3
University of Nebraska - Lincoln,Iowa State University,Field,Agronomy,6,2,3
University of Wisconsin - Madison,Iowa State University,Field,Agronomy,3,1,2
Kansas State University,Kansas State University,Field,Agronomy,19,3,14
Texas A&M University,Kansas State University,Field,Agronomy,4,1,3
Michigan State University,Michigan State University,Field,Agronomy,9,3,4
"Ohio State University, The",Michigan State University,Field,Agronomy,7,3,4
"Pennsylvania State University, The",Michigan State University,Field,Agronomy,2,1,1
North Carolina State University,North Carolina State University,Field,Agronomy,22,5,15
Oregon State University,North Carolina State University,Field,Agronomy,3,2,1
University of Illinois at Urbana-Champaign,North Carolina State University,Field,Agronomy,3,1,2
Virginia Polytechnic Institute and State University,North Carolina State University,Field,Agronomy,4,2,2
"Ohio State University, The","Ohio State University, The",Field,Agronomy,7,1,6
Colorado State University,Oregon State University,Field,Agronomy,2,1,1
Oregon State University,Oregon State University,Field,Agronomy,8,3,4
Michigan State University,"Pennsylvania State University, The",Field,Agronomy,2,1,1
Kansas State University,Purdue University,Field,Agronomy,7,1,5
"Ohio State University, The",Purdue University,Field,Agronomy,2,1,1
Purdue University,Purdue University,Field,Agronomy,11,1,9
Auburn University,Texas A&M University,Field,Agronomy,2,1,1
Colorado State University,Texas A&M University,Field,Agronomy,2,1,1
Texas A&M Kingsville,Texas A&M University,Field,Agronomy,4,3,1
Texas A&M University,Texas A&M University,Field,Agronomy,17,1,10
Texas A&M University,Texas Tech University,Field,Agronomy,4,2,2
Michigan State University,University of Arkansas,Field,Agronomy,2,1,1
University of Arkansas,University of Arkansas,Field,Agronomy,5,1,4
University of Georgia,University of Arkansas,Field,Agronomy,3,1,2
Iowa State University,"University of California, Berkeley",Field,Agronomy,3,1,2
Washington State University,"University of California, Berkeley",Field,Agronomy,2,1,1
Michigan State University,"University of California, Davis",Field,Agronomy,3,1,2
"Ohio State University, The","University of California, Davis",Field,Agronomy,4,1,3
"Pennsylvania State University, The","University of California, Davis",Field,Agronomy,4,1,3
North Carolina State University,University of Florida,Field,Agronomy,4,1,2
University of Florida,University of Florida,Field,Agronomy,13,3,8
University of Nebraska - Lincoln,University of Florida,Field,Agronomy,2,1,1
Auburn University,University of Georgia,Field,Agronomy,3,1,2
University of Georgia,University of Georgia,Field,Agronomy,2,1,1
Oregon State University,University of Idaho,Field,Agronomy,2,1,1
Iowa State University,University of Illinois at Urbana-Champaign,Field,Agronomy,7,1,6
"Ohio State University, The",University of Illinois at Urbana-Champaign,Field,Agronomy,3,1,2
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Field,Agronomy,13,3,9
University of Maryland Eastern Shore,University of Illinois at Urbana-Champaign,Field,Agronomy,2,1,1
Michigan State University,"University of Minnesota, Twin Cities",Field,Agronomy,4,1,3
"Ohio State University, The","University of Minnesota, Twin Cities",Field,Agronomy,2,1,1
University of Wisconsin - Madison,"University of Minnesota, Twin Cities",Field,Agronomy,6,1,5
University of Nebraska - Lincoln,University of Nebraska - Lincoln,Field,Agronomy,14,1,12
Kansas State University,University of Nebraska at Omaha,Field,Agronomy,2,1,1
Auburn University,University of Wisconsin - Madison,Field,Agronomy,2,1,1
Kansas State University,University of Wisconsin - Madison,Field,Agronomy,2,1,1
"Pennsylvania State University, The",University of Wisconsin - Madison,Field,Agronomy,2,1,1
Texas A&M University,University of Wisconsin - Madison,Field,Agronomy,4,2,2
University of Illinois at Urbana-Champaign,University of Wisconsin - Madison,Field,Agronomy,3,1,2
"University of Minnesota, Twin Cities",University of Wisconsin - Madison,Field,Agronomy,3,1,2
University of Nebraska - Lincoln,University of Wisconsin - Madison,Field,Agronomy,4,1,3
University of Wisconsin - Madison,University of Wisconsin - Madison,Field,Agronomy,4,2,2
Washington State University,University of Wisconsin - Madison,Field,Agronomy,4,2,2
North Carolina State University,Virginia Polytechnic Institute and State University,Field,Agronomy,4,2,2
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Field,Agronomy,9,1,6
Iowa State University,Washington State University,Field,Agronomy,2,1,1
Oregon State University,Washington State University,Field,Agronomy,2,1,1
"Pennsylvania State University, The",Washington State University,Field,Agronomy,3,1,2
Washington State University,Washington State University,Field,Agronomy,4,1,3
