InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
George Mason University,American University,Field,Anthropology,3,2,1
University of Arkansas,Arizona State University,Field,Anthropology,2,1,1
University of Colorado Denver,Arizona State University,Field,Anthropology,3,1,1
"University of Texas at El Paso, The",Arizona State University,Field,Anthropology,2,1,1
Kansas State University,"Binghamton University, State University of New York",Field,Anthropology,2,1,1
"University of Tennessee, The","Binghamton University, State University of New York",Field,Anthropology,2,1,1
"University of Maryland, Baltimore County",Case Western Reserve University,Field,Anthropology,2,1,1
Brooklyn College (CUNY),"City University of New York, The",Field,Anthropology,2,1,1
City College (CUNY),"City University of New York, The",Field,Anthropology,8,3,5
John Jay College of Criminal Justice (CUNY),"City University of New York, The",Field,Anthropology,6,4,1
"University of Maryland, College Park","City University of New York, The",Field,Anthropology,2,1,1
Baruch College (CUNY),Columbia University,Field,Anthropology,2,1,1
Boston University,Columbia University,Field,Anthropology,2,1,1
City College (CUNY),Columbia University,Field,Anthropology,11,5,6
Columbia University,Columbia University,Field,Anthropology,8,3,5
Emory University,Columbia University,Field,Anthropology,2,1,1
Florida International University,Columbia University,Field,Anthropology,2,1,1
George Washington University,Columbia University,Field,Anthropology,2,1,1
John Jay College of Criminal Justice (CUNY),Columbia University,Field,Anthropology,4,1,3
Princeton University,Columbia University,Field,Anthropology,4,2,2
University of Southern California,Columbia University,Field,Anthropology,3,1,2
Columbia University,Cornell University,Field,Anthropology,2,1,1
Cornell University,Cornell University,Field,Anthropology,2,1,1
Kansas State University,Cornell University,Field,Anthropology,2,1,1
Yale University,Cornell University,Field,Anthropology,2,1,1
Duke University,Duke University,Field,Anthropology,2,1,1
University of Colorado Boulder,Duke University,Field,Anthropology,3,1,1
"University of Texas at Austin, The",Duke University,Field,Anthropology,2,1,1
Washington University in St. Louis,Duke University,Field,Anthropology,3,1,2
Duke University,Emory University,Field,Anthropology,2,1,1
Georgia State University,Emory University,Field,Anthropology,2,1,1
University of Louisiana at Lafayette,Florida State University,Field,Anthropology,2,1,1
George Washington University,George Washington University,Field,Anthropology,3,2,1
Boston University,Harvard University,Field,Anthropology,5,1,3
Brown University,Harvard University,Field,Anthropology,5,3,2
Columbia University,Harvard University,Field,Anthropology,5,2,3
Duke University,Harvard University,Field,Anthropology,2,1,1
Emory University,Harvard University,Field,Anthropology,2,1,1
Lehigh University,Harvard University,Field,Anthropology,2,1,1
Michigan State University,Harvard University,Field,Anthropology,2,1,1
New York University,Harvard University,Field,Anthropology,3,2,1
Northeastern University,Harvard University,Field,Anthropology,2,1,1
Northwestern University,Harvard University,Field,Anthropology,2,1,1
Princeton University,Harvard University,Field,Anthropology,8,3,5
Stanford University,Harvard University,Field,Anthropology,6,2,4
"University of California, Davis",Harvard University,Field,Anthropology,2,1,1
"University of California, Irvine",Harvard University,Field,Anthropology,4,1,3
"University of California, Santa Cruz",Harvard University,Field,Anthropology,3,2,1
University of Florida,Harvard University,Field,Anthropology,2,1,1
University of Michigan,Harvard University,Field,Anthropology,6,4,2
"University of Minnesota, Twin Cities",Harvard University,Field,Anthropology,4,1,3
University of North Carolina at Chapel Hill,Harvard University,Field,Anthropology,2,1,1
University of South Florida,Harvard University,Field,Anthropology,2,1,1
"University of Vermont, The",Harvard University,Field,Anthropology,2,1,1
University of Wisconsin - Milwaukee,Harvard University,Field,Anthropology,8,3,5
Washington University in St. Louis,Harvard University,Field,Anthropology,6,1,4
Howard University,Howard University,Field,Anthropology,4,2,2
Clemson University,Indiana University - Bloomington,Field,Anthropology,2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Anthropology,9,1,7
Michigan State University,Indiana University - Bloomington,Field,Anthropology,3,1,2
Montana State University,Indiana University - Bloomington,Field,Anthropology,2,1,1
North Carolina State University,Indiana University - Bloomington,Field,Anthropology,3,2,1
Texas Tech University,Indiana University - Bloomington,Field,Anthropology,2,1,1
University of Illinois at Urbana-Champaign,Indiana University - Bloomington,Field,Anthropology,2,1,1
Kent State University,Kent State University,Field,Anthropology,2,1,1
University of Louisiana at Lafayette,Louisiana State University,Field,Anthropology,6,4,2
"University of Texas at Tyler, The",Louisiana State University,Field,Anthropology,2,1,1
Michigan State University,Michigan State University,Field,Anthropology,6,3,3
"University of California, Los Angeles",Michigan State University,Field,Anthropology,2,1,1
University of South Carolina,Michigan State University,Field,Anthropology,2,1,1
West Virginia University,Michigan State University,Field,Anthropology,2,1,1
Columbia University,New York University,Field,Anthropology,4,2,2
George Mason University,New York University,Field,Anthropology,2,1,1
Massachusetts Institute of Technology,New York University,Field,Anthropology,2,1,1
Temple University,New York University,Field,Anthropology,3,1,2
University of Colorado Boulder,New York University,Field,Anthropology,2,1,1
University of Florida,New York University,Field,Anthropology,2,1,1
University of Michigan,New York University,Field,Anthropology,3,2,1
University of Oklahoma,New York University,Field,Anthropology,2,1,1
North Carolina State University,Northwestern University,Field,Anthropology,2,1,1
"Pennsylvania State University, The",Northwestern University,Field,Anthropology,2,1,1
Rutgers - New Brunswick,Northwestern University,Field,Anthropology,2,1,1
Ohio University,"Ohio State University, The",Field,Anthropology,3,1,2
University of Dayton,"Ohio State University, The",Field,Anthropology,2,1,1
University of Texas Rio Grande Valley,Oklahoma State University,Field,Anthropology,2,1,1
Case Western Reserve University,"Pennsylvania State University, The",Field,Anthropology,2,1,1
