InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Architecture,5,1,4
Auburn University,Arizona State University,Field,Architecture,2,1,1
Oklahoma State University,Arizona State University,Field,Architecture,2,1,1
Virginia Polytechnic Institute and State University,Arizona State University,Field,Architecture,2,1,1
Auburn University,Auburn University,Field,Architecture,9,4,4
"University of Texas at San Antonio, The",Brown University,Field,Architecture,2,1,1
Texas A&M University,Bryn Mawr College,Field,Architecture,2,1,1
"University of Texas at Austin, The",Carnegie Mellon University,Field,Architecture,3,1,2
Harvard University,"City University of New York, The",Field,Architecture,2,1,1
Columbia University,Columbia University,Field,Architecture,3,1,2
Harvard University,Columbia University,Field,Architecture,2,1,1
Iowa State University,Columbia University,Field,Architecture,4,1,3
Kansas State University,Columbia University,Field,Architecture,2,1,1
Louisiana State University,Columbia University,Field,Architecture,4,2,2
Syracuse University,Columbia University,Field,Architecture,5,2,3
Tulane University,Columbia University,Field,Architecture,2,1,1
University of Illinois at Chicago,Columbia University,Field,Architecture,2,1,1
University of Kentucky,Columbia University,Field,Architecture,3,1,2
University of Miami,Columbia University,Field,Architecture,3,1,2
University of Michigan,Columbia University,Field,Architecture,3,1,2
"University of New Mexico, The",Columbia University,Field,Architecture,3,1,1
University of Oregon,Columbia University,Field,Architecture,3,1,2
University of Southern California,Columbia University,Field,Architecture,3,2,1
University of Virginia,Columbia University,Field,Architecture,2,1,1
University of Washington,Columbia University,Field,Architecture,2,1,1
Virginia Polytechnic Institute and State University,Columbia University,Field,Architecture,2,1,1
Washington University in St. Louis,Columbia University,Field,Architecture,3,1,2
Cornell University,Cornell University,Field,Architecture,8,2,6
Tulane University,Cornell University,Field,Architecture,3,1,2
"University of Nevada, Las Vegas",Cornell University,Field,Architecture,2,1,1
"University of Texas at Austin, The",Cornell University,Field,Architecture,6,2,3
University of Washington,Cornell University,Field,Architecture,2,1,1
Florida A&M University,Florida State University,Field,Architecture,2,1,1
Texas Tech University,Georgia Institute of Technology,Field,Architecture,2,1,1
"University of Kansas, The",Georgia Institute of Technology,Field,Architecture,6,1,3
Arizona State University,Harvard University,Field,Architecture,2,1,1
Auburn University,Harvard University,Field,Architecture,6,2,3
Brown University,Harvard University,Field,Architecture,2,1,1
Georgia Institute of Technology,Harvard University,Field,Architecture,3,1,1
Harvard University,Harvard University,Field,Architecture,24,7,15
Illinois Institute of Technology,Harvard University,Field,Architecture,5,1,4
Iowa State University,Harvard University,Field,Architecture,4,2,1
Kansas State University,Harvard University,Field,Architecture,3,1,2
Massachusetts Institute of Technology,Harvard University,Field,Architecture,13,5,7
New Jersey Institute of Technology,Harvard University,Field,Architecture,4,1,2
North Carolina State University,Harvard University,Field,Architecture,4,2,2
Northeastern University,Harvard University,Field,Architecture,7,2,5
