InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Colorado State University,Alfred University,Field,Art History and Criticism,3,1,1
Arizona State University,Arizona State University,Field,Art History and Criticism,9,3,5
East Carolina University,Arizona State University,Field,Art History and Criticism,2,1,1
Boston University,Boston University,Field,Art History and Criticism,3,1,2
University of New Hampshire,Boston University,Field,Art History and Criticism,2,1,1
University of Rhode Island,Brown University,Field,Art History and Criticism,2,1,1
Florida International University,"City University of New York, The",Field,Art History and Criticism,2,1,1
Harvard University,"City University of New York, The",Field,Art History and Criticism,2,1,1
"University of Arizona, The","City University of New York, The",Field,Art History and Criticism,2,1,1
University of South Florida,"City University of New York, The",Field,Art History and Criticism,2,1,1
Baruch College (CUNY),Columbia University,Field,Art History and Criticism,3,2,1
Brandeis University,Columbia University,Field,Art History and Criticism,2,1,1
"College of William & Mary, The",Columbia University,Field,Art History and Criticism,2,1,1
Columbia University,Columbia University,Field,Art History and Criticism,5,2,3
Fordham University,Columbia University,Field,Art History and Criticism,2,1,1
George Mason University,Columbia University,Field,Art History and Criticism,3,1,2
"Ohio State University, The",Columbia University,Field,Art History and Criticism,2,1,1
Princeton University,Columbia University,Field,Art History and Criticism,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Art History and Criticism,2,1,1
"University of California, Davis",Columbia University,Field,Art History and Criticism,3,1,1
"University of Chicago, The",Columbia University,Field,Art History and Criticism,2,1,1
University of Hawaii,Columbia University,Field,Art History and Criticism,2,1,1
University of Illinois at Chicago,Columbia University,Field,Art History and Criticism,2,1,1
University of New Hampshire,Columbia University,Field,Art History and Criticism,3,2,1
University of Texas Arlington,Columbia University,Field,Art History and Criticism,2,1,1
University of Wisconsin - Madison,Columbia University,Field,Art History and Criticism,2,1,1
Virginia Commonwealth University,Columbia University,Field,Art History and Criticism,2,1,1
Washington University in St. Louis,Columbia University,Field,Art History and Criticism,3,1,2
Yale University,Columbia University,Field,Art History and Criticism,2,1,1
Cornell University,Cornell University,Field,Art History and Criticism,2,1,1
East Carolina University,East Carolina University,Field,Art History and Criticism,6,5,1
George Mason University,Emory University,Field,Art History and Criticism,2,1,1
George Mason University,George Mason University,Field,Art History and Criticism,2,1,1
Boston College,Harvard University,Field,Art History and Criticism,5,3,2
Boston University,Harvard University,Field,Art History and Criticism,4,2,2
Brown University,Harvard University,Field,Art History and Criticism,2,1,1
Bryn Mawr College,Harvard University,Field,Art History and Criticism,4,2,1
Columbia University,Harvard University,Field,Art History and Criticism,2,1,1
Dartmouth College,Harvard University,Field,Art History and Criticism,3,2,1
