InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Astronomy,9,1,7
California Institute of Technology,California Institute of Technology,Field,Astronomy,4,2,2
Harvard University,California Institute of Technology,Field,Astronomy,5,1,4
"University of California, Irvine",California Institute of Technology,Field,Astronomy,3,1,2
"University of California, Los Angeles",California Institute of Technology,Field,Astronomy,10,3,6
University of Washington,California Institute of Technology,Field,Astronomy,3,1,2
Clemson University,Clemson University,Field,Astronomy,3,1,1
Michigan State University,Cornell University,Field,Astronomy,2,1,1
University of Pennsylvania,Cornell University,Field,Astronomy,2,1,1
University of Rochester,Cornell University,Field,Astronomy,3,1,2
University of Virginia,Cornell University,Field,Astronomy,3,1,2
Arizona State University,Dartmouth College,Field,Astronomy,2,1,1
George Mason University,George Mason University,Field,Astronomy,7,1,4
Arizona State University,Harvard University,Field,Astronomy,2,1,1
Harvard University,Harvard University,Field,Astronomy,4,1,3
Michigan State University,Harvard University,Field,Astronomy,5,2,2
"Pennsylvania State University, The",Harvard University,Field,Astronomy,2,1,1
Princeton University,Harvard University,Field,Astronomy,2,1,1
"Stony Brook University, State University of New York",Harvard University,Field,Astronomy,3,1,2
"University of Arizona, The",Harvard University,Field,Astronomy,6,2,3
"University of California, Los Angeles",Harvard University,Field,Astronomy,7,1,5
"University of California, Santa Cruz",Harvard University,Field,Astronomy,3,1,2
University of Colorado Boulder,Harvard University,Field,Astronomy,4,1,3
University of North Carolina at Chapel Hill,Harvard University,Field,Astronomy,4,1,2
University of Oklahoma,Harvard University,Field,Astronomy,2,1,1
University of Pennsylvania,Harvard University,Field,Astronomy,10,2,7
Cornell University,Indiana University - Bloomington,Field,Astronomy,3,1,1
Louisiana State University,Louisiana State University,Field,Astronomy,2,1,1
Arizona State University,Massachusetts Institute of Technology,Field,Astronomy,7,1,6
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Astronomy,5,1,4
"University of Arizona, The",Massachusetts Institute of Technology,Field,Astronomy,2,1,1
