InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Atmospheric Sciences and Meteorology,9,1,7
"University of Minnesota, Twin Cities",Arizona State University,Field,Atmospheric Sciences and Meteorology,2,1,1
California Institute of Technology,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,7,1,5
Colorado State University,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,2,1,1
Cornell University,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,2,1,1
Harvard University,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,3,1,2
Massachusetts Institute of Technology,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,7,3,3
Northwestern University,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,3,1,2
Purdue University,California Institute of Technology,Field,Atmospheric Sciences and Meteorology,3,1,1
University of Houston,Colorado School of Mines,Field,Atmospheric Sciences and Meteorology,3,1,2
Colorado State University,Colorado State University,Field,Atmospheric Sciences and Meteorology,3,1,1
Utah State University,Cornell University,Field,Atmospheric Sciences and Meteorology,3,1,2
Arizona State University,Dartmouth College,Field,Atmospheric Sciences and Meteorology,2,1,1
Old Dominion University,Florida State University,Field,Atmospheric Sciences and Meteorology,3,1,1
Arizona State University,Harvard University,Field,Atmospheric Sciences and Meteorology,2,1,1
Massachusetts Institute of Technology,Harvard University,Field,Atmospheric Sciences and Meteorology,7,1,6
University of Colorado Boulder,Harvard University,Field,Atmospheric Sciences and Meteorology,2,1,1
University of Michigan,Harvard University,Field,Atmospheric Sciences and Meteorology,4,2,2
University of Pittsburgh,Johns Hopkins University,Field,Atmospheric Sciences and Meteorology,2,1,1
Arizona State University,Massachusetts Institute of Technology,Field,Atmospheric Sciences and Meteorology,7,1,6
California Institute of Technology,Massachusetts Institute of Technology,Field,Atmospheric Sciences and Meteorology,4,1,3
Cornell University,Massachusetts Institute of Technology,Field,Atmospheric Sciences and Meteorology,2,1,1
Florida State University,Massachusetts Institute of Technology,Field,Atmospheric Sciences and Meteorology,5,1,4
George Mason University,Massachusetts Institute of Technology,Field,Atmospheric Sciences and Meteorology,3,1,1
Harvard University,Massachusetts Institute of Technology,Field,Atmospheric Sciences and Meteorology,4,1,3
