InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Biochemistry,5,1,3
"University at Buffalo, State University of New York",Baylor College of Medicine,Field,Biochemistry,2,1,1
Boston University,Boston University,Field,Biochemistry,14,3,9
University of Massachusetts Medical School,Boston University,Field,Biochemistry,4,1,2
"University of Texas Medical Branch, The",Boston University,Field,Biochemistry,2,1,1
Brigham Young University,Brigham Young University,Field,Biochemistry,3,1,2
Brown University,Brown University,Field,Biochemistry,2,1,1
"University of California, Los Angeles",California Institute of Technology,Field,Biochemistry,4,1,3
University of Colorado Boulder,California Institute of Technology,Field,Biochemistry,4,1,3
University of Southern California,California Institute of Technology,Field,Biochemistry,4,1,3
"University of Texas at Austin, The",California Institute of Technology,Field,Biochemistry,3,1,2
University of Wisconsin - Madison,California Institute of Technology,Field,Biochemistry,2,1,1
Georgetown University,"City University of New York, The",Field,Biochemistry,3,1,1
"University of Southern Mississippi, The",Clemson University,Field,Biochemistry,2,1,1
Georgia Institute of Technology,Columbia University,Field,Biochemistry,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Biochemistry,2,1,1
University of Delaware,Columbia University,Field,Biochemistry,6,2,4
Miami University,Cornell University,Field,Biochemistry,3,1,2
"Ohio State University, The",Cornell University,Field,Biochemistry,2,1,1
SUNY Upstate Medical University,Cornell University,Field,Biochemistry,2,1,1
"University of California, San Diego",Cornell University,Field,Biochemistry,2,1,1
"University of Minnesota, Twin Cities",Cornell University,Field,Biochemistry,3,1,2
University of North Carolina at Chapel Hill,Cornell University,Field,Biochemistry,3,1,2
University of Rochester,Cornell University,Field,Biochemistry,3,1,1
"University of Texas at Austin, The",Cornell University,Field,Biochemistry,2,1,1
University of Virginia,Cornell University,Field,Biochemistry,2,1,1
Rutgers - New Brunswick,Dartmouth College,Field,Biochemistry,2,1,1
University of Missouri,Duke University,Field,Biochemistry,2,1,1
University of North Carolina at Chapel Hill,Duke University,Field,Biochemistry,3,1,2
University of South Carolina,Emory University,Field,Biochemistry,2,1,1
Georgetown University,Georgetown University,Field,Biochemistry,2,1,1
"University at Buffalo, State University of New York",Georgetown University,Field,Biochemistry,2,1,1
Boston University,Harvard University,Field,Biochemistry,3,2,1
Brandeis University,Harvard University,Field,Biochemistry,2,1,1
Brown University,Harvard University,Field,Biochemistry,6,3,3
Columbia University,Harvard University,Field,Biochemistry,3,1,2
Dartmouth College,Harvard University,Field,Biochemistry,4,1,3
Duke University,Harvard University,Field,Biochemistry,4,1,2
Harvard University,Harvard University,Field,Biochemistry,14,2,12
Northwestern University,Harvard University,Field,Biochemistry,3,1,2
Rutgers - New Brunswick,Harvard University,Field,Biochemistry,3,1,2
