InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Alabama A&M University,Alabama A&M University,Field,"Biological Sciences, General",7,2,1
Weill Medical College of Cornell University,Albert Einstein College of Medicine of Yeshiva University,Field,"Biological Sciences, General",2,1,1
Arizona State University,Arizona State University,Field,"Biological Sciences, General",8,4,4
Northern Arizona University,Arizona State University,Field,"Biological Sciences, General",3,1,2
University of Alaska Fairbanks,Arizona State University,Field,"Biological Sciences, General",3,2,1
University of Oklahoma,Arizona State University,Field,"Biological Sciences, General",3,2,1
Georgia State University,Baylor College of Medicine,Field,"Biological Sciences, General",2,1,1
Texas A&M University,Baylor College of Medicine,Field,"Biological Sciences, General",2,1,1
Auburn University,Boston University,Field,"Biological Sciences, General",2,1,1
Brandeis University,Brandeis University,Field,"Biological Sciences, General",2,1,1
Brigham Young University,Brigham Young University,Field,"Biological Sciences, General",5,1,3
Florida International University,Brown University,Field,"Biological Sciences, General",3,1,2
Purdue University,Brown University,Field,"Biological Sciences, General",2,1,1
Weill Medical College of Cornell University,Brown University,Field,"Biological Sciences, General",3,1,1
California Institute of Technology,California Institute of Technology,Field,"Biological Sciences, General",4,1,2
Baruch College (CUNY),"City University of New York, The",Field,"Biological Sciences, General",2,1,1
Brooklyn College (CUNY),"City University of New York, The",Field,"Biological Sciences, General",2,1,1
City College (CUNY),"City University of New York, The",Field,"Biological Sciences, General",2,1,1
Fordham University,"City University of New York, The",Field,"Biological Sciences, General",3,1,2
St. John's University,"City University of New York, The",Field,"Biological Sciences, General",2,1,1
Clemson University,Clemson University,Field,"Biological Sciences, General",6,1,4
"College of William & Mary, The","College of William & Mary, The",Field,"Biological Sciences, General",4,2,1
Arizona State University,Colorado State University,Field,"Biological Sciences, General",4,1,3
Colorado State University,Colorado State University,Field,"Biological Sciences, General",3,1,1
Kansas State University,Colorado State University,Field,"Biological Sciences, General",2,1,1
University of Colorado Denver,Colorado State University,Field,"Biological Sciences, General",2,1,1
City of Hope Graduate School of Biological Sciences,Columbia University,Field,"Biological Sciences, General",5,1,3
"College of William & Mary, The",Columbia University,Field,"Biological Sciences, General",2,1,1
New York University,Columbia University,Field,"Biological Sciences, General",3,1,2
Weill Medical College of Cornell University,Columbia University,Field,"Biological Sciences, General",9,4,5
Arizona State University,Cornell University,Field,"Biological Sciences, General",9,1,7
Boston University,Cornell University,Field,"Biological Sciences, General",3,1,2
Brooklyn College (CUNY),Cornell University,Field,"Biological Sciences, General",2,1,1
"College of William & Mary, The",Cornell University,Field,"Biological Sciences, General",3,2,1
Colorado State University,Cornell University,Field,"Biological Sciences, General",4,2,2
Duke University,Cornell University,Field,"Biological Sciences, General",5,1,4
Indiana University - Bloomington,Cornell University,Field,"Biological Sciences, General",5,2,2
Northern Arizona University,Cornell University,Field,"Biological Sciences, General",3,2,1
Texas A&M University,Cornell University,Field,"Biological Sciences, General",2,1,1
"University of Alabama, The",Cornell University,Field,"Biological Sciences, General",3,1,2
University of Colorado Boulder,Cornell University,Field,"Biological Sciences, General",4,2,2
University of Florida,Cornell University,Field,"Biological Sciences, General",2,1,1
University of Nebraska - Lincoln,Cornell University,Field,"Biological Sciences, General",2,1,1
University of New Hampshire,Cornell University,Field,"Biological Sciences, General",2,1,1
"University of New Mexico, The",Cornell University,Field,"Biological Sciences, General",3,2,1
University of Notre Dame,Cornell University,Field,"Biological Sciences, General",2,1,1
Virginia Polytechnic Institute and State University,Cornell University,Field,"Biological Sciences, General",3,2,1
University of the Sciences in Philadelphia,Drexel University,Field,"Biological Sciences, General",2,1,1
Carnegie Mellon University,Duke University,Field,"Biological Sciences, General",3,1,1
Duke University,Duke University,Field,"Biological Sciences, General",7,3,3
Florida State University,Duke University,Field,"Biological Sciences, General",3,1,2
Indiana University - Bloomington,Duke University,Field,"Biological Sciences, General",8,3,5
Louisiana State University,Duke University,Field,"Biological Sciences, General",2,1,1
"University of California, Berkeley",Duke University,Field,"Biological Sciences, General",3,2,1
"University of Maryland, Baltimore County",Duke University,Field,"Biological Sciences, General",3,1,2
University of North Carolina Wilmington,Duke University,Field,"Biological Sciences, General",6,1,4
University of North Carolina at Chapel Hill,Duke University,Field,"Biological Sciences, General",2,1,1
University of Notre Dame,Duke University,Field,"Biological Sciences, General",5,2,3
University of Virginia,Duke University,Field,"Biological Sciences, General",2,1,1
University of Washington,Duke University,Field,"Biological Sciences, General",2,1,1
Illinois State University,Emory University,Field,"Biological Sciences, General",2,1,1
Texas A&M University,Emory University,Field,"Biological Sciences, General",2,1,1
Florida A&M University,Florida A&M University,Field,"Biological Sciences, General",3,1,1
Old Dominion University,Florida State University,Field,"Biological Sciences, General",4,1,2
"University of Alabama, The",Florida State University,Field,"Biological Sciences, General",3,1,2
Arizona State University,Harvard University,Field,"Biological Sciences, General",2,1,1
Boston University,Harvard University,Field,"Biological Sciences, General",6,3,3
Brandeis University,Harvard University,Field,"Biological Sciences, General",3,2,1
California Institute of Technology,Harvard University,Field,"Biological Sciences, General",5,3,2
City College (CUNY),Harvard University,Field,"Biological Sciences, General",3,1,2
Duke University,Harvard University,Field,"Biological Sciences, General",5,1,2
Indiana University - Bloomington,Harvard University,Field,"Biological Sciences, General",3,2,1
Massachusetts Institute of Technology,Harvard University,Field,"Biological Sciences, General",12,3,9
North Carolina State University,Harvard University,Field,"Biological Sciences, General",2,1,1
Rutgers  - Newark,Harvard University,Field,"Biological Sciences, General",2,1,1
St. John's University,Harvard University,Field,"Biological Sciences, General",2,1,1
Stanford University,Harvard University,Field,"Biological Sciences, General",4,2,1
"University of Alabama in Huntsville, The",Harvard University,Field,"Biological Sciences, General",2,1,1
"University of California, Berkeley",Harvard University,Field,"Biological Sciences, General",4,1,3
"University of California, San Diego",Harvard University,Field,"Biological Sciences, General",12,4,6
University of Colorado Boulder,Harvard University,Field,"Biological Sciences, General",3,1,2
University of Massachusetts Amherst,Harvard University,Field,"Biological Sciences, General",3,1,2
University of Massachusetts Boston,Harvard University,Field,"Biological Sciences, General",5,1,4
University of Missouri - St. Louis,Harvard University,Field,"Biological Sciences, General",3,2,1
University of North Carolina at Chapel Hill,Harvard University,Field,"Biological Sciences, General",4,1,3
University of North Texas,Harvard University,Field,"Biological Sciences, General",2,1,1
University of Notre Dame,Harvard University,Field,"Biological Sciences, General",4,1,3
University of Southern California,Harvard University,Field,"Biological Sciences, General",5,2,3
"University of Texas at Austin, The",Harvard University,Field,"Biological Sciences, General",2,1,1
Virginia Polytechnic Institute and State University,Harvard University,Field,"Biological Sciences, General",2,1,1
Weill Medical College of Cornell University,Harvard University,Field,"Biological Sciences, General",7,3,2
Wesleyan University,Harvard University,Field,"Biological Sciences, General",3,2,1
Wright State University,Harvard University,Field,"Biological Sciences, General",2,1,1
Illinois Institute of Technology,Illinois Institute of Technology,Field,"Biological Sciences, General",6,2,3
Ball State University,Indiana University - Bloomington,Field,"Biological Sciences, General",2,1,1
Illinois State University,Indiana University - Bloomington,Field,"Biological Sciences, General",3,1,2
Indiana University - Bloomington,Indiana University - Bloomington,Field,"Biological Sciences, General",5,3,2
Kansas State University,Indiana University - Bloomington,Field,"Biological Sciences, General",3,1,2
University of Alaska Fairbanks,Indiana University - Bloomington,Field,"Biological Sciences, General",2,1,1
"University of Iowa, The",Indiana University - Bloomington,Field,"Biological Sciences, General",3,2,1
University of Missouri,Indiana University - Bloomington,Field,"Biological Sciences, General",2,1,1
"University of Nevada, Las Vegas",Indiana University - Bloomington,Field,"Biological Sciences, General",2,1,1
Ball State University,Indiana University-Purdue University Indianapolis,Field,"Biological Sciences, General",2,1,1
North Dakota State University,Iowa State University,Field,"Biological Sciences, General",2,1,1
California Institute of Technology,Johns Hopkins University,Field,"Biological Sciences, General",3,2,1
"College of William & Mary, The",Johns Hopkins University,Field,"Biological Sciences, General",3,1,2
Massachusetts Institute of Technology,Johns Hopkins University,Field,"Biological Sciences, General",3,1,2
"University of North Carolina at Greensboro, The",Johns Hopkins University,Field,"Biological Sciences, General",2,1,1
University of South Carolina,Johns Hopkins University,Field,"Biological Sciences, General",5,3,2
University of Virginia,Johns Hopkins University,Field,"Biological Sciences, General",5,1,4
Ball State University,Kansas State University,Field,"Biological Sciences, General",2,1,1
