InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Biomedical Engineering,9,1,7
Florida International University,Arizona State University,Field,Biomedical Engineering,2,1,1
Clemson University,Auburn University,Field,Biomedical Engineering,2,1,1
Boston University,California Institute of Technology,Field,Biomedical Engineering,2,1,1
"University of California, Berkeley",California Institute of Technology,Field,Biomedical Engineering,4,1,3
"University of California, Irvine",California Institute of Technology,Field,Biomedical Engineering,3,1,2
Vanderbilt University,Case Western Reserve University,Field,Biomedical Engineering,2,1,1
Clemson University,Clemson University,Field,Biomedical Engineering,10,3,5
Clemson University,Columbia University,Field,Biomedical Engineering,2,1,1
Johns Hopkins University,Columbia University,Field,Biomedical Engineering,2,1,1
University of Connecticut,Cornell University,Field,Biomedical Engineering,2,1,1
Drexel University,Drexel University,Field,Biomedical Engineering,8,2,6
Duke University,Duke University,Field,Biomedical Engineering,18,2,14
University of North Carolina at Chapel Hill,Duke University,Field,Biomedical Engineering,5,3,2
Vanderbilt University,Duke University,Field,Biomedical Engineering,4,1,2
Arizona State University,Georgia Institute of Technology,Field,Biomedical Engineering,3,2,1
Clemson University,Georgia Institute of Technology,Field,Biomedical Engineering,2,1,1
Emory University,Georgia Institute of Technology,Field,Biomedical Engineering,8,1,7
Georgia Institute of Technology,Georgia Institute of Technology,Field,Biomedical Engineering,3,1,2
University of Florida,Georgia Institute of Technology,Field,Biomedical Engineering,3,1,2
Tufts University,Harvard University,Field,Biomedical Engineering,4,1,1
University of Southern California,Harvard University,Field,Biomedical Engineering,4,2,2
"University of Texas at Austin, The",Harvard University,Field,Biomedical Engineering,2,1,1
Duke University,Johns Hopkins University,Field,Biomedical Engineering,2,1,1
Johns Hopkins University,Johns Hopkins University,Field,Biomedical Engineering,18,3,14
Oregon Health & Science University,Johns Hopkins University,Field,Biomedical Engineering,2,1,1
University of Michigan,Johns Hopkins University,Field,Biomedical Engineering,2,1,1
Boston University,Massachusetts Institute of Technology,Field,Biomedical Engineering,5,1,3
Clemson University,Massachusetts Institute of Technology,Field,Biomedical Engineering,3,1,2
Columbia University,Massachusetts Institute of Technology,Field,Biomedical Engineering,2,1,1
Cornell University,Massachusetts Institute of Technology,Field,Biomedical Engineering,5,1,4
Johns Hopkins University,Massachusetts Institute of Technology,Field,Biomedical Engineering,8,1,6
Rensselaer Polytechnic Institute,Massachusetts Institute of Technology,Field,Biomedical Engineering,2,1,1
"University of California, Berkeley",Massachusetts Institute of Technology,Field,Biomedical Engineering,4,1,1
University of Southern California,Massachusetts Institute of Technology,Field,Biomedical Engineering,2,1,1
"University of Texas at San Antonio, The",Massachusetts Institute of Technology,Field,Biomedical Engineering,2,1,1
Yale University,Massachusetts Institute of Technology,Field,Biomedical Engineering,3,1,1
"University of Mississippi Medical Center, The",Mississippi State University,Field,Biomedical Engineering,2,1,1
University of North Carolina at Chapel Hill,North Carolina State University,Field,Biomedical Engineering,3,1,2
Illinois Institute of Technology,Northwestern University,Field,Biomedical Engineering,2,1,1
Marquette University,Northwestern University,Field,Biomedical Engineering,3,1,2
University of Pittsburgh,Northwestern University,Field,Biomedical Engineering,2,1,1
University of Southern California,Northwestern University,Field,Biomedical Engineering,3,1,1
Vanderbilt University,Northwestern University,Field,Biomedical Engineering,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Biomedical Engineering,5,3,2
University of Southern California,"Pennsylvania State University, The",Field,Biomedical Engineering,2,1,1
Virginia Polytechnic Institute and State University,Princeton University,Field,Biomedical Engineering,2,1,1
Purdue University,Purdue University,Field,Biomedical Engineering,6,2,3
