InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Boston University,Boston University,Field,Biostatistics,7,4,2
Case Western Reserve University,Case Western Reserve University,Field,Biostatistics,13,5,4
Kent State University,Case Western Reserve University,Field,Biostatistics,3,2,1
Columbia University,Columbia University,Field,Biostatistics,7,1,2
Rutgers - New Brunswick,Columbia University,Field,Biostatistics,4,1,2
"University at Albany, State University of New York",Columbia University,Field,Biostatistics,2,1,1
"University of California, San Francisco",Columbia University,Field,Biostatistics,2,1,1
University of Pennsylvania,Columbia University,Field,Biostatistics,5,2,2
Johns Hopkins University,Cornell University,Field,Biostatistics,3,1,2
"University of California, San Francisco",Cornell University,Field,Biostatistics,3,1,2
University of Pennsylvania,Drexel University,Field,Biostatistics,2,1,1
Duke University,Duke University,Field,Biostatistics,2,1,1
Duke University,Emory University,Field,Biostatistics,2,1,1
Emory University,Emory University,Field,Biostatistics,5,2,2
Medical College of Wisconsin,Florida State University,Field,Biostatistics,2,1,1
George Washington University,George Washington University,Field,Biostatistics,9,6,3
Boston University,Harvard University,Field,Biostatistics,6,4,2
Columbia University,Harvard University,Field,Biostatistics,2,1,1
Harvard University,Harvard University,Field,Biostatistics,13,4,8
Indiana University - Bloomington,Harvard University,Field,Biostatistics,3,1,1
Johns Hopkins University,Harvard University,Field,Biostatistics,5,1,3
"University of California, San Francisco",Harvard University,Field,Biostatistics,7,4,3
University of Florida,Harvard University,Field,Biostatistics,2,1,1
"University of Maryland, College Park",Harvard University,Field,Biostatistics,4,1,1
University of Michigan,Harvard University,Field,Biostatistics,6,3,1
University of North Carolina at Chapel Hill,Harvard University,Field,Biostatistics,4,2,2
University of Pennsylvania,Harvard University,Field,Biostatistics,8,4,3
University of Rochester,Harvard University,Field,Biostatistics,2,1,1
Drexel University,Johns Hopkins University,Field,Biostatistics,4,2,2
George Washington University,Johns Hopkins University,Field,Biostatistics,2,1,1
Johns Hopkins University,Johns Hopkins University,Field,Biostatistics,9,3,4
Medical University of South Carolina,Johns Hopkins University,Field,Biostatistics,2,1,1
