InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Columbia University,Albert Einstein College of Medicine of Yeshiva University,Field,Cell Biology,3,1,2
Augusta University,Augusta University,Field,Cell Biology,2,1,1
Baylor College of Medicine,Baylor College of Medicine,Field,Cell Biology,6,1,4
Columbia University,Baylor College of Medicine,Field,Cell Biology,2,1,1
Harvard University,Baylor College of Medicine,Field,Cell Biology,3,1,1
"University at Buffalo, State University of New York",Baylor College of Medicine,Field,Cell Biology,2,1,1
Brown University,Brown University,Field,Cell Biology,2,1,1
University of Rhode Island,Brown University,Field,Cell Biology,2,1,1
Georgetown University,"City University of New York, The",Field,Cell Biology,3,1,1
Columbia University,Columbia University,Field,Cell Biology,18,5,10
"University of California, Davis",Columbia University,Field,Cell Biology,2,1,1
University of Massachusetts Medical School,Columbia University,Field,Cell Biology,2,1,1
Iowa State University,Cornell University,Field,Cell Biology,3,2,1
"University of Minnesota, Twin Cities",Cornell University,Field,Cell Biology,2,1,1
"University of Texas at Austin, The",Cornell University,Field,Cell Biology,2,1,1
Duke University,Duke University,Field,Cell Biology,2,1,1
"University of Arizona, The",Duke University,Field,Cell Biology,2,1,1
"University of California, Davis",Duke University,Field,Cell Biology,2,1,1
University of North Carolina at Chapel Hill,Duke University,Field,Cell Biology,4,3,1
University of South Carolina,Duke University,Field,Cell Biology,2,1,1
East Carolina University,Emory University,Field,Cell Biology,5,1,3
Yale University,Emory University,Field,Cell Biology,2,1,1
Georgetown University,Georgetown University,Field,Cell Biology,2,1,1
"University at Buffalo, State University of New York",Georgetown University,Field,Cell Biology,2,1,1
University of South Carolina,Georgetown University,Field,Cell Biology,3,2,1
Brown University,Harvard University,Field,Cell Biology,6,3,3
Northwestern University,Harvard University,Field,Cell Biology,3,1,2
"University of Arizona, The",Harvard University,Field,Cell Biology,3,1,1
"University of California, Berkeley",Harvard University,Field,Cell Biology,8,3,5
"University of Chicago, The",Harvard University,Field,Cell Biology,5,1,4
