InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Missouri University of Science and Technology,Arizona State University,Field,Chemical Engineering,2,1,1
Clemson University,Auburn University,Field,Chemical Engineering,2,1,1
Arizona State University,California Institute of Technology,Field,Chemical Engineering,3,1,1
Cornell University,California Institute of Technology,Field,Chemical Engineering,6,1,5
Iowa State University,California Institute of Technology,Field,Chemical Engineering,2,1,1
"Ohio State University, The",California Institute of Technology,Field,Chemical Engineering,3,1,2
"University of California, Berkeley",California Institute of Technology,Field,Chemical Engineering,4,1,3
"University of California, Irvine",California Institute of Technology,Field,Chemical Engineering,5,2,3
"University of California, Los Angeles",California Institute of Technology,Field,Chemical Engineering,2,1,1
"University of California, Riverside",California Institute of Technology,Field,Chemical Engineering,2,1,1
"University of Minnesota, Twin Cities",California Institute of Technology,Field,Chemical Engineering,3,1,1
University of Southern California,California Institute of Technology,Field,Chemical Engineering,5,1,2
University of Kentucky,Carnegie Mellon University,Field,Chemical Engineering,2,1,1
Case Western Reserve University,Case Western Reserve University,Field,Chemical Engineering,4,1,2
Michigan State University,Case Western Reserve University,Field,Chemical Engineering,3,1,2
Mississippi State University,Clemson University,Field,Chemical Engineering,2,1,1
California Institute of Technology,Columbia University,Field,Chemical Engineering,3,1,1
Northeastern University,Columbia University,Field,Chemical Engineering,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Chemical Engineering,2,1,1
"University of Minnesota, Twin Cities",Cornell University,Field,Chemical Engineering,2,1,1
"University of Texas at Austin, The",Cornell University,Field,Chemical Engineering,2,1,1
Illinois Institute of Technology,Illinois Institute of Technology,Field,Chemical Engineering,3,1,2
Michigan State University,Iowa State University,Field,Chemical Engineering,3,1,1
Princeton University,Johns Hopkins University,Field,Chemical Engineering,2,1,1
California Institute of Technology,Massachusetts Institute of Technology,Field,Chemical Engineering,4,1,3
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Chemical Engineering,6,2,3
New York University,Massachusetts Institute of Technology,Field,Chemical Engineering,2,1,1
Northeastern University,Massachusetts Institute of Technology,Field,Chemical Engineering,3,1,2
Texas A&M University,Massachusetts Institute of Technology,Field,Chemical Engineering,2,1,1
Tufts University,Massachusetts Institute of Technology,Field,Chemical Engineering,4,1,2
"University of California, Berkeley",Massachusetts Institute of Technology,Field,Chemical Engineering,4,1,1
"University of California, Davis",Massachusetts Institute of Technology,Field,Chemical Engineering,3,1,2
"University of California, Irvine",Massachusetts Institute of Technology,Field,Chemical Engineering,3,1,2
University of Delaware,Massachusetts Institute of Technology,Field,Chemical Engineering,6,1,4
University of Wisconsin - Madison,Massachusetts Institute of Technology,Field,Chemical Engineering,4,1,3
Yale University,Massachusetts Institute of Technology,Field,Chemical Engineering,2,1,1
Michigan State University,Michigan State University,Field,Chemical Engineering,6,1,3
Montana State University,Montana State University,Field,Chemical Engineering,5,3,2
Iowa State University,North Carolina State University,Field,Chemical Engineering,2,1,1
Louisiana State University,North Carolina State University,Field,Chemical Engineering,3,1,2
"University of Alabama, The",North Carolina State University,Field,Chemical Engineering,3,1,1
University of Dayton,North Carolina State University,Field,Chemical Engineering,2,1,1
"University of California, Los Angeles",Northwestern University,Field,Chemical Engineering,2,1,1
University of Pittsburgh,Northwestern University,Field,Chemical Engineering,3,1,2
