InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Chemistry,5,1,3
University of Missouri,Arizona State University,Field,Chemistry,2,1,1
Ball State University,Bowling Green State University,Field,Chemistry,2,1,1
Brigham Young University,Brigham Young University,Field,Chemistry,3,1,2
Duke University,California Institute of Technology,Field,Chemistry,3,1,2
"Stony Brook University, State University of New York",California Institute of Technology,Field,Chemistry,3,1,2
"University of California, Los Angeles",California Institute of Technology,Field,Chemistry,4,1,3
"University of California, Riverside",California Institute of Technology,Field,Chemistry,5,1,4
University of Colorado Boulder,California Institute of Technology,Field,Chemistry,4,1,3
University of Florida,California Institute of Technology,Field,Chemistry,3,1,2
University of Georgia,California Institute of Technology,Field,Chemistry,3,1,2
University of Massachusetts Amherst,California Institute of Technology,Field,Chemistry,2,1,1
"University of Minnesota, Twin Cities",California Institute of Technology,Field,Chemistry,6,1,5
University of North Carolina at Chapel Hill,California Institute of Technology,Field,Chemistry,2,1,1
University of Rochester,California Institute of Technology,Field,Chemistry,2,1,1
"University of Texas at Austin, The",California Institute of Technology,Field,Chemistry,3,1,2
"University of Utah, The",California Institute of Technology,Field,Chemistry,2,1,1
Wayne State University,California Institute of Technology,Field,Chemistry,5,4,1
Baruch College (CUNY),"City University of New York, The",Field,Chemistry,2,1,1
Fordham University,"City University of New York, The",Field,Chemistry,2,1,1
North Carolina State University,Clemson University,Field,Chemistry,2,1,1
"University of Southern Mississippi, The",Clemson University,Field,Chemistry,2,1,1
Brown University,Columbia University,Field,Chemistry,3,1,2
California Institute of Technology,Columbia University,Field,Chemistry,3,1,1
Georgia Institute of Technology,Columbia University,Field,Chemistry,2,1,1
New York University,Columbia University,Field,Chemistry,2,1,1
University of Delaware,Columbia University,Field,Chemistry,6,2,4
"University of Maine, The",Columbia University,Field,Chemistry,2,1,1
University of Pennsylvania,Columbia University,Field,Chemistry,3,1,2
University of Rochester,Columbia University,Field,Chemistry,3,1,2
University of Wyoming,Columbia University,Field,Chemistry,2,1,1
Miami University,Cornell University,Field,Chemistry,3,1,2
"Ohio State University, The",Cornell University,Field,Chemistry,2,1,1
Rutgers - New Brunswick,Cornell University,Field,Chemistry,3,1,1
"Stony Brook University, State University of New York",Cornell University,Field,Chemistry,3,1,2
Texas A&M University,Cornell University,Field,Chemistry,2,1,1
"University of California, Berkeley",Cornell University,Field,Chemistry,4,1,3
"University of California, San Diego",Cornell University,Field,Chemistry,2,1,1
University of Michigan,Cornell University,Field,Chemistry,2,1,1
University of Oregon,Cornell University,Field,Chemistry,2,1,1
Northeastern University,Duke University,Field,Chemistry,2,1,1
Wake Forest University,Duke University,Field,Chemistry,2,1,1
University of South Carolina,Emory University,Field,Chemistry,2,1,1
Washington State University,Florida State University,Field,Chemistry,2,1,1
Fordham University,Fordham University,Field,Chemistry,3,1,1
Georgetown University,George Washington University,Field,Chemistry,2,1,1
North Carolina State University,Georgia Institute of Technology,Field,Chemistry,2,1,1
Rice University,Georgia Institute of Technology,Field,Chemistry,2,1,1
University of Central Florida,Georgia Institute of Technology,Field,Chemistry,2,1,1
University of Kentucky,Georgia Institute of Technology,Field,Chemistry,3,1,2
Dartmouth College,Harvard University,Field,Chemistry,2,1,1
Harvard University,Harvard University,Field,Chemistry,5,1,4
Johns Hopkins University,Harvard University,Field,Chemistry,3,1,1
Northwestern University,Harvard University,Field,Chemistry,3,1,2
Princeton University,Harvard University,Field,Chemistry,5,1,4
"University of California, Santa Barbara",Harvard University,Field,Chemistry,2,1,1
University of Delaware,Harvard University,Field,Chemistry,3,1,2
University of Florida,Harvard University,Field,Chemistry,3,1,2
University of Illinois at Urbana-Champaign,Harvard University,Field,Chemistry,4,1,3
"University of Iowa, The",Harvard University,Field,Chemistry,2,1,1
"University of Minnesota, Twin Cities",Harvard University,Field,Chemistry,5,1,4
University of Notre Dame,Harvard University,Field,Chemistry,2,1,1
University of South Carolina,Harvard University,Field,Chemistry,2,1,1
University of Washington,Harvard University,Field,Chemistry,5,1,4
Illinois Institute of Technology,Illinois Institute of Technology,Field,Chemistry,6,2,3
Vanderbilt University,Indiana University - Bloomington,Field,Chemistry,2,1,1
Iowa State University,Iowa State University,Field,Chemistry,3,1,2
"University of North Dakota, The",Iowa State University,Field,Chemistry,2,1,1
Virginia Polytechnic Institute and State University,Iowa State University,Field,Chemistry,2,1,1
