InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Florida Institute of Technology,Air Force Institute of Technology,Field,Civil Engineering,2,1,1
Arizona State University,Arizona State University,Field,Civil Engineering,12,3,8
Clemson University,Arizona State University,Field,Civil Engineering,3,1,2
Johns Hopkins University,California Institute of Technology,Field,Civil Engineering,2,1,1
Purdue University,California Institute of Technology,Field,Civil Engineering,4,1,3
Syracuse University,California Institute of Technology,Field,Civil Engineering,2,1,1
University of Illinois at Urbana-Champaign,California Institute of Technology,Field,Civil Engineering,2,1,1
University of Michigan,California Institute of Technology,Field,Civil Engineering,4,1,3
Washington State University,California Institute of Technology,Field,Civil Engineering,3,1,2
Carnegie Mellon University,Carnegie Mellon University,Field,Civil Engineering,5,1,3
Drexel University,Carnegie Mellon University,Field,Civil Engineering,2,1,1
"University of Texas at Austin, The",Carnegie Mellon University,Field,Civil Engineering,3,1,2
Virginia Polytechnic Institute and State University,Clemson University,Field,Civil Engineering,3,1,2
Colorado School of Mines,Colorado School of Mines,Field,Civil Engineering,4,1,3
University of Colorado Boulder,Columbia University,Field,Civil Engineering,2,1,1
"University of California, Davis",Cornell University,Field,Civil Engineering,2,1,1
"University of California, Irvine",Cornell University,Field,Civil Engineering,2,1,1
University of Illinois at Urbana-Champaign,Cornell University,Field,Civil Engineering,3,1,2
University of New Hampshire,Cornell University,Field,Civil Engineering,2,1,1
"University of Tennessee, The",Cornell University,Field,Civil Engineering,2,1,1
Arizona State University,Georgia Institute of Technology,Field,Civil Engineering,3,2,1
Clemson University,Georgia Institute of Technology,Field,Civil Engineering,2,1,1
Georgia Institute of Technology,Georgia Institute of Technology,Field,Civil Engineering,5,1,2
Tennessee Technological University,Georgia Institute of Technology,Field,Civil Engineering,2,1,1
Texas A&M University,Georgia Institute of Technology,Field,Civil Engineering,4,1,2
University of Nebraska - Lincoln,Georgia Institute of Technology,Field,Civil Engineering,2,1,1
Virginia Polytechnic Institute and State University,Georgia Institute of Technology,Field,Civil Engineering,3,1,1
Massachusetts Institute of Technology,Harvard University,Field,Civil Engineering,3,1,2
Tufts University,Harvard University,Field,Civil Engineering,3,1,2
University of Southern California,Harvard University,Field,Civil Engineering,2,1,1
George Mason University,Johns Hopkins University,Field,Civil Engineering,2,1,1
University of Massachusetts Amherst,Johns Hopkins University,Field,Civil Engineering,3,1,2
Louisiana State University,Louisiana State University,Field,Civil Engineering,4,1,3
"University of New Orleans, The",Louisiana State University,Field,Civil Engineering,3,1,2
Carnegie Mellon University,Massachusetts Institute of Technology,Field,Civil Engineering,3,1,1
George Washington University,Massachusetts Institute of Technology,Field,Civil Engineering,3,1,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Civil Engineering,13,3,10
North Carolina State University,Massachusetts Institute of Technology,Field,Civil Engineering,3,1,1
Northwestern University,Massachusetts Institute of Technology,Field,Civil Engineering,3,2,1
"Ohio State University, The",Massachusetts Institute of Technology,Field,Civil Engineering,3,1,1
Purdue University,Massachusetts Institute of Technology,Field,Civil Engineering,4,1,3
"University of California, Berkeley",Massachusetts Institute of Technology,Field,Civil Engineering,3,1,2
"University of California, Los Angeles",Massachusetts Institute of Technology,Field,Civil Engineering,3,1,2
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Field,Civil Engineering,2,1,1
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,Civil Engineering,3,1,2
"University of Vermont, The",Massachusetts Institute of Technology,Field,Civil Engineering,2,1,1
University of Washington,Massachusetts Institute of Technology,Field,Civil Engineering,4,1,3
Michigan State University,Michigan State University,Field,Civil Engineering,5,1,3
University of North Carolina Charlotte,Michigan State University,Field,Civil Engineering,2,1,1
"University of Missouri - Kansas City, The",Missouri University of Science and Technology,Field,Civil Engineering,2,1,1
Montana State University,Montana State University,Field,Civil Engineering,7,4,3
North Carolina State University,North Carolina State University,Field,Civil Engineering,10,2,8
University of North Carolina Charlotte,North Carolina State University,Field,Civil Engineering,3,1,2
Columbia University,Northwestern University,Field,Civil Engineering,3,1,2
Michigan State University,Northwestern University,Field,Civil Engineering,2,1,1
University of Colorado Boulder,Northwestern University,Field,Civil Engineering,5,2,2
University of Illinois at Urbana-Champaign,Northwestern University,Field,Civil Engineering,2,1,1
University of Pittsburgh,Northwestern University,Field,Civil Engineering,3,1,2
