InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
"Pennsylvania State University, The",Bowling Green State University,Field,Communication Disorders and Sciences,3,2,1
Brigham Young University,Brigham Young University,Field,Communication Disorders and Sciences,2,1,1
"University of Texas at Dallas, The",Brown University,Field,Communication Disorders and Sciences,3,1,2
"University of Texas at Dallas, The",Harvard University,Field,Communication Disorders and Sciences,2,1,1
Michigan State University,Indiana University - Bloomington,Field,Communication Disorders and Sciences,2,1,1
"University at Buffalo, State University of New York",Indiana University - Bloomington,Field,Communication Disorders and Sciences,2,1,1
"University of Cincinnati, The",Indiana University - Bloomington,Field,Communication Disorders and Sciences,2,1,1
University of Connecticut,Michigan State University,Field,Communication Disorders and Sciences,6,2,4
Indiana University - Bloomington,Northwestern University,Field,Communication Disorders and Sciences,3,2,1
University of Massachusetts Amherst,Northwestern University,Field,Communication Disorders and Sciences,2,1,1
Case Western Reserve University,"Ohio State University, The",Field,Communication Disorders and Sciences,2,1,1
University of Florida,"Ohio State University, The",Field,Communication Disorders and Sciences,2,1,1
University of Arkansas,"Pennsylvania State University, The",Field,Communication Disorders and Sciences,2,1,1
Michigan State University,Purdue University,Field,Communication Disorders and Sciences,2,1,1
Texas State University,Purdue University,Field,Communication Disorders and Sciences,2,1,1
"University of Iowa, The",Purdue University,Field,Communication Disorders and Sciences,4,2,1
"University of Texas at Austin, The",Purdue University,Field,Communication Disorders and Sciences,3,1,1
West Virginia University,Purdue University,Field,Communication Disorders and Sciences,2,1,1
Temple University,Temple University,Field,Communication Disorders and Sciences,2,1,1
"University of Texas at Dallas, The",Temple University,Field,Communication Disorders and Sciences,2,1,1
Texas Tech University Health Sciences Center,Texas Tech University Health Sciences Center,Field,Communication Disorders and Sciences,3,1,1
"University at Buffalo, State University of New York","University at Buffalo, State University of New York",Field,Communication Disorders and Sciences,6,4,1
University of Arkansas,University of Arkansas,Field,Communication Disorders and Sciences,8,4,3
"University of Texas at Dallas, The","University of California, Los Angeles",Field,Communication Disorders and Sciences,2,1,1
University of Georgia,"University of California, Santa Barbara",Field,Communication Disorders and Sciences,3,1,2
"University of Cincinnati, The","University of Cincinnati, The",Field,Communication Disorders and Sciences,4,2,1
University of Colorado Boulder,University of Colorado Boulder,Field,Communication Disorders and Sciences,5,3,2
University of Connecticut,University of Connecticut,Field,Communication Disorders and Sciences,3,1,2
University of Central Florida,University of Florida,Field,Communication Disorders and Sciences,5,1,1
University of Florida,University of Florida,Field,Communication Disorders and Sciences,6,5,1
University of Oklahoma,University of Florida,Field,Communication Disorders and Sciences,3,2,1
University of South Florida,University of Florida,Field,Communication Disorders and Sciences,7,4,3
University of Georgia,University of Georgia,Field,Communication Disorders and Sciences,2,1,1
University of Arkansas,University of Illinois at Urbana-Champaign,Field,Communication Disorders and Sciences,2,1,1
Bowling Green State University,"University of Iowa, The",Field,Communication Disorders and Sciences,2,1,1
Temple University,"University of Iowa, The",Field,Communication Disorders and Sciences,2,1,1
"University of Alabama, The","University of Iowa, The",Field,Communication Disorders and Sciences,3,2,1
"University of Iowa, The","University of Iowa, The",Field,Communication Disorders and Sciences,8,5,2
University of Wyoming,"University of Iowa, The",Field,Communication Disorders and Sciences,2,1,1
University of Arkansas for Medical Sciences,"University of Kansas, The",Field,Communication Disorders and Sciences,2,1,1
