InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Computer Engineering,8,3,2
Syracuse University,Arizona State University,Field,Computer Engineering,3,1,1
"Binghamton University, State University of New York","Binghamton University, State University of New York",Field,Computer Engineering,3,1,2
Marquette University,Boston College,Field,Computer Engineering,2,1,1
University of Illinois at Urbana-Champaign,Boston University,Field,Computer Engineering,2,1,1
Georgia Institute of Technology,California Institute of Technology,Field,Computer Engineering,6,1,3
Lehigh University,California Institute of Technology,Field,Computer Engineering,2,1,1
"University of California, San Diego",California Institute of Technology,Field,Computer Engineering,8,1,6
University of Colorado Boulder,California Institute of Technology,Field,Computer Engineering,6,1,5
"University of Maryland, College Park",California Institute of Technology,Field,Computer Engineering,2,1,1
Carnegie Mellon University,Carnegie Mellon University,Field,Computer Engineering,14,1,9
University of Connecticut,Carnegie Mellon University,Field,Computer Engineering,2,1,1
University of Florida,Carnegie Mellon University,Field,Computer Engineering,6,1,3
University of Michigan,Carnegie Mellon University,Field,Computer Engineering,8,1,7
"University of Minnesota, Twin Cities",Carnegie Mellon University,Field,Computer Engineering,6,2,2
University of Wisconsin - Madison,Carnegie Mellon University,Field,Computer Engineering,2,1,1
Virginia Polytechnic Institute and State University,Carnegie Mellon University,Field,Computer Engineering,3,1,2
"University of Akron, The",Case Western Reserve University,Field,Computer Engineering,2,1,1
Marquette University,"Catholic University of America, The",Field,Computer Engineering,2,1,1
City College (CUNY),"City University of New York, The",Field,Computer Engineering,4,1,3
Colorado State University,Colorado State University,Field,Computer Engineering,5,1,4
Michigan State University,Colorado State University,Field,Computer Engineering,2,1,1
Carnegie Mellon University,Columbia University,Field,Computer Engineering,3,1,1
"University of Maryland, College Park",Columbia University,Field,Computer Engineering,2,1,1
Drexel University,Cornell University,Field,Computer Engineering,2,1,1
Georgia Institute of Technology,Cornell University,Field,Computer Engineering,3,1,2
Johns Hopkins University,Cornell University,Field,Computer Engineering,3,1,2
Louisiana State University,Cornell University,Field,Computer Engineering,2,1,1
North Carolina State University,Cornell University,Field,Computer Engineering,4,2,1
Purdue University,Cornell University,Field,Computer Engineering,2,1,1
University of Connecticut,Cornell University,Field,Computer Engineering,2,1,1
University of Washington,Cornell University,Field,Computer Engineering,2,1,1
University of Idaho,Duke University,Field,Computer Engineering,2,1,1
Virginia Polytechnic Institute and State University,Duke University,Field,Computer Engineering,4,1,3
Florida Atlantic University,Florida Atlantic University,Field,Computer Engineering,4,1,1
Florida A&M University,Florida State University,Field,Computer Engineering,2,1,1
Florida State University,Florida State University,Field,Computer Engineering,2,1,1
George Mason University,George Mason University,Field,Computer Engineering,5,1,3
Auburn University,Georgia Institute of Technology,Field,Computer Engineering,3,1,1
Georgia Institute of Technology,Georgia Institute of Technology,Field,Computer Engineering,24,3,20
Illinois Institute of Technology,Georgia Institute of Technology,Field,Computer Engineering,3,2,1
Louisiana State University,Georgia Institute of Technology,Field,Computer Engineering,3,1,1
"Ohio State University, The",Georgia Institute of Technology,Field,Computer Engineering,4,1,1
Rutgers - New Brunswick,Georgia Institute of Technology,Field,Computer Engineering,2,1,1
Texas A&M University,Georgia Institute of Technology,Field,Computer Engineering,8,1,3
"University of Alabama in Huntsville, The",Georgia Institute of Technology,Field,Computer Engineering,2,1,1
University of Florida,Georgia Institute of Technology,Field,Computer Engineering,5,2,2
"University of Texas at San Antonio, The",Georgia Institute of Technology,Field,Computer Engineering,3,1,2
Wright State University,Georgia Institute of Technology,Field,Computer Engineering,3,1,1
Cornell University,Harvard University,Field,Computer Engineering,2,1,1
Howard University,Howard University,Field,Computer Engineering,3,1,2
Drexel University,Illinois Institute of Technology,Field,Computer Engineering,2,1,1
Iowa State University,Iowa State University,Field,Computer Engineering,4,1,3
University of North Texas,Iowa State University,Field,Computer Engineering,3,1,2
Lehigh University,Lehigh University,Field,Computer Engineering,3,1,2
Marquette University,Marquette University,Field,Computer Engineering,6,1,5
Arizona State University,Massachusetts Institute of Technology,Field,Computer Engineering,3,1,2
Boston University,Massachusetts Institute of Technology,Field,Computer Engineering,7,1,5
Carnegie Mellon University,Massachusetts Institute of Technology,Field,Computer Engineering,7,1,4
Cornell University,Massachusetts Institute of Technology,Field,Computer Engineering,5,1,3
George Mason University,Massachusetts Institute of Technology,Field,Computer Engineering,4,1,3
Georgia Institute of Technology,Massachusetts Institute of Technology,Field,Computer Engineering,5,1,4
Johns Hopkins University,Massachusetts Institute of Technology,Field,Computer Engineering,3,2,1
New York University,Massachusetts Institute of Technology,Field,Computer Engineering,2,1,1
Northeastern University,Massachusetts Institute of Technology,Field,Computer Engineering,5,1,3
"Pennsylvania State University, The",Massachusetts Institute of Technology,Field,Computer Engineering,3,1,2
Texas A&M University,Massachusetts Institute of Technology,Field,Computer Engineering,5,3,1
"University of California, San Diego",Massachusetts Institute of Technology,Field,Computer Engineering,13,3,10
"University of California, Santa Barbara",Massachusetts Institute of Technology,Field,Computer Engineering,4,1,3
University of Colorado Boulder,Massachusetts Institute of Technology,Field,Computer Engineering,8,1,5
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,Computer Engineering,8,1,7
University of Michigan,Massachusetts Institute of Technology,Field,Computer Engineering,18,1,17
"University of Minnesota, Twin Cities",Massachusetts Institute of Technology,Field,Computer Engineering,4,1,2
"University of New Mexico, The",Massachusetts Institute of Technology,Field,Computer Engineering,2,1,1
University of Rochester,Massachusetts Institute of Technology,Field,Computer Engineering,2,1,1
"University of Texas at Austin, The",Massachusetts Institute of Technology,Field,Computer Engineering,7,2,5
University of Washington,Massachusetts Institute of Technology,Field,Computer Engineering,12,2,8
Michigan State University,Michigan State University,Field,Computer Engineering,7,1,5
University of Colorado Boulder,Michigan State University,Field,Computer Engineering,2,1,1
Mississippi State University,Mississippi State University,Field,Computer Engineering,20,1,13
Missouri University of Science and Technology,Missouri University of Science and Technology,Field,Computer Engineering,11,4,5
