InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Computer Science,6,1,3
Syracuse University,Arizona State University,Field,Computer Science,3,1,1
Indiana University - Bloomington,"Binghamton University, State University of New York",Field,Computer Science,3,1,2
Brandeis University,Brown University,Field,Computer Science,2,1,1
University of Illinois at Chicago,Brown University,Field,Computer Science,2,1,1
Carnegie Mellon University,Carnegie Mellon University,Field,Computer Science,14,3,10
Columbia University,Carnegie Mellon University,Field,Computer Science,3,1,1
Drexel University,Carnegie Mellon University,Field,Computer Science,2,1,1
Georgia Institute of Technology,Carnegie Mellon University,Field,Computer Science,5,1,3
Massachusetts Institute of Technology,Carnegie Mellon University,Field,Computer Science,5,1,4
Northeastern University,Carnegie Mellon University,Field,Computer Science,2,1,1
Northwestern University,Carnegie Mellon University,Field,Computer Science,4,1,2
Oregon State University,Carnegie Mellon University,Field,Computer Science,5,2,2
Princeton University,Carnegie Mellon University,Field,Computer Science,3,1,2
Stanford University,Carnegie Mellon University,Field,Computer Science,7,2,5
"Stony Brook University, State University of New York",Carnegie Mellon University,Field,Computer Science,6,1,3
University of Central Florida,Carnegie Mellon University,Field,Computer Science,2,1,1
University of Connecticut,Carnegie Mellon University,Field,Computer Science,2,1,1
"University of Maryland, College Park",Carnegie Mellon University,Field,Computer Science,2,1,1
University of Michigan,Carnegie Mellon University,Field,Computer Science,8,1,7
"University of Minnesota, Twin Cities",Carnegie Mellon University,Field,Computer Science,5,2,1
University of North Carolina Charlotte,Carnegie Mellon University,Field,Computer Science,3,1,2
University of Southern California,Carnegie Mellon University,Field,Computer Science,13,1,10
University of Washington,Carnegie Mellon University,Field,Computer Science,7,1,6
University of Wisconsin - Madison,Carnegie Mellon University,Field,Computer Science,7,1,5
City College (CUNY),"City University of New York, The",Field,Computer Science,4,1,3
George Mason University,"College of William & Mary, The",Field,Computer Science,3,1,1
Utah State University,Colorado State University,Field,Computer Science,2,1,1
Rutgers  - Newark,Columbia University,Field,Computer Science,3,1,1
"University of California, Irvine",Columbia University,Field,Computer Science,2,1,1
University of Pennsylvania,Columbia University,Field,Computer Science,2,1,1
Yale University,Columbia University,Field,Computer Science,3,1,2
Dartmouth College,Cornell University,Field,Computer Science,2,1,1
Emory University,Cornell University,Field,Computer Science,3,1,1
Harvard University,Cornell University,Field,Computer Science,2,1,1
Indiana University - Bloomington,Cornell University,Field,Computer Science,2,1,1
Lehman College (CUNY),Cornell University,Field,Computer Science,3,1,2
"Stony Brook University, State University of New York",Cornell University,Field,Computer Science,3,1,1
University of Central Florida,Cornell University,Field,Computer Science,2,1,1
"University of Chicago, The",Cornell University,Field,Computer Science,3,1,2
University of Colorado Boulder,Cornell University,Field,Computer Science,3,1,1
University of Pennsylvania,Cornell University,Field,Computer Science,3,1,2
"University of Texas at Austin, The",Cornell University,Field,Computer Science,4,1,1
University of Washington,Cornell University,Field,Computer Science,2,1,1
University of Wisconsin - Madison,Cornell University,Field,Computer Science,4,1,3
Yale University,Cornell University,Field,Computer Science,3,2,1
Drexel University,Drexel University,Field,Computer Science,2,1,1
Florida A&M University,Florida A&M University,Field,Computer Science,2,1,1
Florida Atlantic University,Florida Atlantic University,Field,Computer Science,4,1,1
Florida International University,Florida International University,Field,Computer Science,2,1,1
Florida A&M University,Florida State University,Field,Computer Science,16,5,9
"Catholic University of America, The",George Washington University,Field,Computer Science,3,1,1
Howard University,George Washington University,Field,Computer Science,3,1,1
Clemson University,Georgia Institute of Technology,Field,Computer Science,5,3,2
Georgia Institute of Technology,Georgia Institute of Technology,Field,Computer Science,3,2,1
Texas A&M University,Georgia Institute of Technology,Field,Computer Science,5,1,2
University of Central Florida,Georgia Institute of Technology,Field,Computer Science,3,1,1
University of Georgia,Georgia Institute of Technology,Field,Computer Science,4,2,1
"University of Maryland, Baltimore County",Georgia Institute of Technology,Field,Computer Science,2,1,1
University of North Carolina Charlotte,Georgia Institute of Technology,Field,Computer Science,6,1,4
Virginia Polytechnic Institute and State University,Georgia Institute of Technology,Field,Computer Science,6,1,5
Wright State University,Georgia Institute of Technology,Field,Computer Science,3,1,1
Cornell University,Harvard University,Field,Computer Science,2,1,1
Drexel University,Harvard University,Field,Computer Science,2,1,1
Northeastern University,Harvard University,Field,Computer Science,6,1,5
University of Massachusetts Boston,Harvard University,Field,Computer Science,2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Computer Science,8,2,5
Worcester Polytechnic Institute,Indiana University - Bloomington,Field,Computer Science,2,1,1
Kansas State University,Iowa State University,Field,Computer Science,4,2,2
Purdue University,Iowa State University,Field,Computer Science,3,1,2
University of North Texas,Iowa State University,Field,Computer Science,3,1,2
Northeastern University,Johns Hopkins University,Field,Computer Science,3,1,2
Purdue University,Johns Hopkins University,Field,Computer Science,2,1,1
Kent State University,Kent State University,Field,Computer Science,3,2,1
"University of Akron, The",Kent State University,Field,Computer Science,3,1,2
Boston University,Massachusetts Institute of Technology,Field,Computer Science,7,3,4
