InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Andrews University,Andrews University,Field,Curriculum and Instruction,4,3,1
Iowa State University,Arizona State University,Field,Curriculum and Instruction,2,1,1
"Pennsylvania State University, The",Arizona State University,Field,Curriculum and Instruction,2,1,1
University of Georgia,Arizona State University,Field,Curriculum and Instruction,2,1,1
"University of Texas at Austin, The",Arizona State University,Field,Curriculum and Instruction,4,2,2
Washington State University,Arizona State University,Field,Curriculum and Instruction,4,2,2
Auburn University,Auburn University,Field,Curriculum and Instruction,3,1,2
Baylor University,Baylor University,Field,Curriculum and Instruction,5,4,1
"College of William & Mary, The",Columbia University,Field,Curriculum and Instruction,2,1,1
Michigan State University,Columbia University,Field,Curriculum and Instruction,2,1,1
American University,Cornell University,Field,Curriculum and Instruction,2,1,1
"College of William & Mary, The",Cornell University,Field,Curriculum and Instruction,3,2,1
Temple University,Cornell University,Field,Curriculum and Instruction,2,1,1
Clemson University,Emory University,Field,Curriculum and Instruction,2,1,1
"University of Maryland, College Park",Emory University,Field,Curriculum and Instruction,2,1,1
Florida International University,Florida International University,Field,Curriculum and Instruction,3,1,1
"University of Alabama, The",Florida State University,Field,Curriculum and Instruction,2,1,1
University of Florida,Florida State University,Field,Curriculum and Instruction,5,4,1
"University of Nevada, Las Vegas",George Mason University,Field,Curriculum and Instruction,2,1,1
Boston College,Harvard University,Field,Curriculum and Instruction,4,2,1
Boston University,Harvard University,Field,Curriculum and Instruction,2,1,1
New York University,Harvard University,Field,Curriculum and Instruction,5,3,2
"University of Maryland, College Park",Harvard University,Field,Curriculum and Instruction,5,2,2
University of Massachusetts Boston,Harvard University,Field,Curriculum and Instruction,3,1,2
University of Washington,Harvard University,Field,Curriculum and Instruction,2,1,1
Vanderbilt University,Harvard University,Field,Curriculum and Instruction,3,2,1
"University of North Dakota, The",Indiana State University,Field,Curriculum and Instruction,2,1,1
Clemson University,Indiana University - Bloomington,Field,Curriculum and Instruction,2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Curriculum and Instruction,7,4,3
Kent State University,Indiana University - Bloomington,Field,Curriculum and Instruction,3,2,1
North Carolina State University,Indiana University - Bloomington,Field,Curriculum and Instruction,2,1,1
