InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
University of Florida,Auburn University,Field,Ecology,2,1,1
Colorado State University,Colorado State University,Field,Ecology,7,1,5
"Pennsylvania State University, The",Colorado State University,Field,Ecology,3,1,2
University of Colorado Boulder,Colorado State University,Field,Ecology,2,1,1
Columbia University,Cornell University,Field,Ecology,2,1,1
Rutgers - New Brunswick,Cornell University,Field,Ecology,3,1,2
University of Colorado Boulder,Cornell University,Field,Ecology,3,1,2
"University of Kansas, The",Cornell University,Field,Ecology,6,2,4
University of Michigan,Cornell University,Field,Ecology,3,1,2
"University of Minnesota, Twin Cities",Cornell University,Field,Ecology,2,1,1
"University of Montana, Missoula",Cornell University,Field,Ecology,3,1,2
"University of Tennessee, The",Cornell University,Field,Ecology,3,1,2
Colorado State University,Duke University,Field,Ecology,2,1,1
Iowa State University,Duke University,Field,Ecology,3,1,2
Tulane University,Duke University,Field,Ecology,2,1,1
"University of Arizona, The",Duke University,Field,Ecology,2,1,1
"University of California, Berkeley",Duke University,Field,Ecology,3,2,1
"University of California, Santa Barbara",Duke University,Field,Ecology,2,1,1
"University of Kansas, The",Duke University,Field,Ecology,6,3,3
"University of Tennessee, The",Duke University,Field,Ecology,3,1,2
Brown University,Harvard University,Field,Ecology,5,2,3
"University of California, Berkeley",Harvard University,Field,Ecology,4,1,3
"University of California, Davis",Harvard University,Field,Ecology,3,1,2
"University of Kansas, The",Harvard University,Field,Ecology,2,1,1
Texas A&M University,Indiana University - Bloomington,Field,Ecology,2,1,1
"University of Minnesota, Twin Cities",Iowa State University,Field,Ecology,3,1,2
"University of California, Los Angeles",Johns Hopkins University,Field,Ecology,2,1,1
"Pennsylvania State University, The",Michigan State University,Field,Ecology,5,1,2
University of Colorado Boulder,Michigan State University,Field,Ecology,2,1,1
University of Michigan,Michigan State University,Field,Ecology,2,1,1
Montana State University,Montana State University,Field,Ecology,5,3,2
Montana State University,Northern Arizona University,Field,Ecology,2,1,1
"University of Tennessee, The",Northern Arizona University,Field,Ecology,3,2,1
University of Connecticut,"Ohio State University, The",Field,Ecology,3,1,2
University of Florida,Oregon State University,Field,Ecology,2,1,1
"University of Montana, Missoula",Oregon State University,Field,Ecology,7,1,5
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Ecology,8,1,7
"University of Montana, Missoula","Pennsylvania State University, The",Field,Ecology,3,2,1
Cornell University,Princeton University,Field,Ecology,2,1,1
University of Georgia,Princeton University,Field,Ecology,2,1,1
"University of Montana, Missoula",Princeton University,Field,Ecology,3,1,2
Brown University,Stanford University,Field,Ecology,2,1,1
"University of California, Davis",Stanford University,Field,Ecology,2,1,1
"University of California, Irvine",Stanford University,Field,Ecology,3,2,1
"University of California, Merced",Stanford University,Field,Ecology,3,2,1
"University of California, Santa Barbara",Stanford University,Field,Ecology,5,3,2
"University of Minnesota, Twin Cities",Stanford University,Field,Ecology,2,1,1
"University of Vermont, The",Stanford University,Field,Ecology,2,1,1
Iowa State University,"Stony Brook University, State University of New York",Field,Ecology,2,1,1
University of Florida,Texas A&M University,Field,Ecology,2,1,1
Montana State University,"University of Arizona, The",Field,Ecology,2,1,1
University of Michigan,"University of Arizona, The",Field,Ecology,2,1,1
Colorado State University,"University of California, Berkeley",Field,Ecology,2,1,1
Columbia University,"University of California, Berkeley",Field,Ecology,2,1,1
"University of California, Santa Barbara","University of California, Berkeley",Field,Ecology,7,1,6
"University of California, Santa Cruz","University of California, Berkeley",Field,Ecology,3,1,2
University of Connecticut,"University of California, Berkeley",Field,Ecology,7,3,3
University of Michigan,"University of California, Berkeley",Field,Ecology,2,1,1
"University of Minnesota, Twin Cities","University of California, Berkeley",Field,Ecology,4,2,2
"University of California, Santa Barbara","University of California, Davis",Field,Ecology,4,3,1
University of Florida,"University of California, Davis",Field,Ecology,3,2,1
Vanderbilt University,"University of California, Davis",Field,Ecology,2,1,1
Rutgers - New Brunswick,"University of California, Los Angeles",Field,Ecology,2,1,1
Vanderbilt University,"University of California, Los Angeles",Field,Ecology,2,1,1
"University of California, Santa Cruz","University of California, Santa Barbara",Field,Ecology,6,2,4
"University of California, Santa Cruz","University of California, Santa Cruz",Field,Ecology,5,2,3
Brown University,"University of Chicago, The",Field,Ecology,2,1,1
Iowa State University,"University of Chicago, The",Field,Ecology,2,1,1
"University of California, Davis","University of Chicago, The",Field,Ecology,2,1,1
"University of California, Los Angeles","University of Chicago, The",Field,Ecology,3,1,1
University of Colorado Boulder,University of Colorado Boulder,Field,Ecology,6,2,3
"University of Kansas, The",University of Connecticut,Field,Ecology,2,1,1
"Ohio State University, The",University of Georgia,Field,Ecology,2,1,1
University of Georgia,University of Georgia,Field,Ecology,5,1,4
University of Louisiana at Lafayette,University of Georgia,Field,Ecology,3,1,2
University of Michigan,University of Georgia,Field,Ecology,2,1,1
University of Florida,University of Illinois at Urbana-Champaign,Field,Ecology,2,1,1
"University of Maine, The",University of Illinois at Urbana-Champaign,Field,Ecology,2,1,1
"University of Montana, Missoula","University of Iowa, The",Field,Ecology,2,1,1
"University of Tennessee, The","University of Kansas, The",Field,Ecology,3,1,2
"Ohio State University, The",University of Michigan,Field,Ecology,4,1,2
"University of California, Berkeley",University of Michigan,Field,Ecology,5,1,4
"University of California, Irvine",University of Michigan,Field,Ecology,4,1,2
"University of Chicago, The",University of Michigan,Field,Ecology,2,1,1
"University of Minnesota, Twin Cities",University of Michigan,Field,Ecology,5,2,3
"University of Montana, Missoula",University of Michigan,Field,Ecology,3,1,1
"University of Montana, Missoula","University of Montana, Missoula",Field,Ecology,12,3,9
University of Florida,"University of New Mexico, The",Field,Ecology,2,1,1
"University of Maine, The",University of North Carolina at Chapel Hill,Field,Ecology,2,1,1
"University of California, Berkeley",University of Southern California,Field,Ecology,2,1,1
"University of Montana, Missoula","University of Utah, The",Field,Ecology,2,1,1
Cornell University,University of Washington,Field,Ecology,4,3,1
"University of California, Santa Cruz",University of Washington,Field,Ecology,2,1,1
"University of Chicago, The",University of Washington,Field,Ecology,3,2,1
"University of Maine, The",University of Washington,Field,Ecology,3,2,1
University of Michigan,University of Washington,Field,Ecology,2,1,1
"University of Montana, Missoula",University of Washington,Field,Ecology,7,1,5
"University of Tennessee, The",University of Washington,Field,Ecology,2,1,1
North Carolina State University,University of Wisconsin - Madison,Field,Ecology,2,1,1
"Pennsylvania State University, The",University of Wisconsin - Madison,Field,Ecology,3,1,2
University of Colorado Boulder,University of Wisconsin - Madison,Field,Ecology,2,1,1
University of Michigan,University of Wisconsin - Madison,Field,Ecology,2,1,1
"University of Montana, Missoula",University of Wisconsin - Madison,Field,Ecology,6,2,4
Brown University,Yale University,Field,Ecology,3,1,1
Rutgers - New Brunswick,Yale University,Field,Ecology,3,1,1
University of Michigan,Yale University,Field,Ecology,2,1,1
