InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Howard University,American University,Field,"Economics, General",2,1,1
University of Louisiana at Lafayette,Auburn University,Field,"Economics, General",2,1,1
University of Pittsburgh,Boston University,Field,"Economics, General",2,1,1
"University of California, Irvine",Brown University,Field,"Economics, General",2,1,1
University of Connecticut,Brown University,Field,"Economics, General",2,1,1
Vanderbilt University,Brown University,Field,"Economics, General",2,1,1
"University of Mississippi, The",Carnegie Mellon University,Field,"Economics, General",2,1,1
Baruch College (CUNY),"City University of New York, The",Field,"Economics, General",3,1,2
Brooklyn College (CUNY),"City University of New York, The",Field,"Economics, General",7,2,3
Lehman College (CUNY),"City University of New York, The",Field,"Economics, General",2,1,1
University of Louisville,Clemson University,Field,"Economics, General",2,1,1
Baruch College (CUNY),Columbia University,Field,"Economics, General",4,1,3
Brown University,Columbia University,Field,"Economics, General",3,1,2
Columbia University,Columbia University,Field,"Economics, General",3,1,2
Fordham University,Columbia University,Field,"Economics, General",4,2,2
Johns Hopkins University,Columbia University,Field,"Economics, General",4,2,1
New York University,Columbia University,Field,"Economics, General",5,1,4
"University of California, Los Angeles",Columbia University,Field,"Economics, General",2,1,1
"University of Maryland, College Park",Columbia University,Field,"Economics, General",4,1,1
University of Pittsburgh,Columbia University,Field,"Economics, General",2,1,1
Iowa State University,Cornell University,Field,"Economics, General",2,1,1
Temple University,Cornell University,Field,"Economics, General",3,1,2
Arizona State University,Duke University,Field,"Economics, General",5,1,4
Drexel University,Duke University,Field,"Economics, General",2,1,1
University of Colorado Boulder,Duke University,Field,"Economics, General",2,1,1
University of Colorado Denver,Duke University,Field,"Economics, General",2,1,1
"University of Texas at Dallas, The",Duke University,Field,"Economics, General",4,1,2
Middle Tennessee State University,Florida State University,Field,"Economics, General",3,1,2
Ohio University,Florida State University,Field,"Economics, General",2,1,1
University of North Carolina Charlotte,Florida State University,Field,"Economics, General",3,1,2
"University of Texas at Dallas, The",Florida State University,Field,"Economics, General",3,1,2
Arizona State University,Harvard University,Field,"Economics, General",2,1,1
Boston University,Harvard University,Field,"Economics, General",12,1,10
Brandeis University,Harvard University,Field,"Economics, General",2,1,1
Brown University,Harvard University,Field,"Economics, General",10,2,8
Case Western Reserve University,Harvard University,Field,"Economics, General",2,1,1
Columbia University,Harvard University,Field,"Economics, General",16,4,12
Cornell University,Harvard University,Field,"Economics, General",2,1,1
George Mason University,Harvard University,Field,"Economics, General",3,1,2
Lehigh University,Harvard University,Field,"Economics, General",2,1,1
Massachusetts Institute of Technology,Harvard University,Field,"Economics, General",14,2,12
Michigan State University,Harvard University,Field,"Economics, General",4,1,3
Northwestern University,Harvard University,Field,"Economics, General",4,1,3
"Ohio State University, The",Harvard University,Field,"Economics, General",3,1,1
Princeton University,Harvard University,Field,"Economics, General",9,2,7
Stanford University,Harvard University,Field,"Economics, General",10,1,6
Tufts University,Harvard University,Field,"Economics, General",6,2,4
"University of California, Davis",Harvard University,Field,"Economics, General",4,2,1
"University of California, Los Angeles",Harvard University,Field,"Economics, General",4,1,3
"University of Chicago, The",Harvard University,Field,"Economics, General",4,1,3
University of Illinois at Urbana-Champaign,Harvard University,Field,"Economics, General",2,1,1
"University of Maryland, College Park",Harvard University,Field,"Economics, General",3,2,1
University of Massachusetts Amherst,Harvard University,Field,"Economics, General",5,1,3
University of Michigan,Harvard University,Field,"Economics, General",9,1,8
University of Notre Dame,Harvard University,Field,"Economics, General",2,1,1
University of Pennsylvania,Harvard University,Field,"Economics, General",3,1,2
University of Southern California,Harvard University,Field,"Economics, General",5,1,4
"University of Texas at Austin, The",Harvard University,Field,"Economics, General",3,1,2
Yale University,Harvard University,Field,"Economics, General",3,1,2
Jackson State University,Howard University,Field,"Economics, General",3,1,1
Auburn University,Indiana University - Bloomington,Field,"Economics, General",3,1,2
Emory University,Indiana University - Bloomington,Field,"Economics, General",2,1,1
George Washington University,Indiana University - Bloomington,Field,"Economics, General",2,1,1
North Carolina State University,Indiana University - Bloomington,Field,"Economics, General",2,1,1
Iowa State University,Iowa State University,Field,"Economics, General",4,1,3
West Virginia University,Johns Hopkins University,Field,"Economics, General",2,1,1
"University of Texas at Tyler, The",Louisiana State University,Field,"Economics, General",2,1,1
American University,Massachusetts Institute of Technology,Field,"Economics, General",3,1,2
Brown University,Massachusetts Institute of Technology,Field,"Economics, General",3,1,2
Columbia University,Massachusetts Institute of Technology,Field,"Economics, General",18,4,13
Dartmouth College,Massachusetts Institute of Technology,Field,"Economics, General",8,2,6
Harvard University,Massachusetts Institute of Technology,Field,"Economics, General",16,4,11
Iowa State University,Massachusetts Institute of Technology,Field,"Economics, General",3,1,2
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,"Economics, General",14,3,10
Northeastern University,Massachusetts Institute of Technology,Field,"Economics, General",2,1,1
Northwestern University,Massachusetts Institute of Technology,Field,"Economics, General",11,2,9
Stanford University,Massachusetts Institute of Technology,Field,"Economics, General",12,1,10
"University of California, Berkeley",Massachusetts Institute of Technology,Field,"Economics, General",10,1,9
"University of California, Davis",Massachusetts Institute of Technology,Field,"Economics, General",6,2,4
"University of California, San Diego",Massachusetts Institute of Technology,Field,"Economics, General",5,2,3
"University of Chicago, The",Massachusetts Institute of Technology,Field,"Economics, General",4,1,3
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,"Economics, General",5,1,4
University of Southern California,Massachusetts Institute of Technology,Field,"Economics, General",5,1,4
University of Virginia,Massachusetts Institute of Technology,Field,"Economics, General",3,1,2
University of Wisconsin - Madison,Massachusetts Institute of Technology,Field,"Economics, General",3,1,2
Yale University,Massachusetts Institute of Technology,Field,"Economics, General",14,2,11
Florida State University,Michigan State University,Field,"Economics, General",2,1,1
University of North Texas,Michigan State University,Field,"Economics, General",3,1,1
Western Michigan University,Michigan State University,Field,"Economics, General",2,1,1
John Jay College of Criminal Justice (CUNY),"New School, The",Field,"Economics, General",3,2,1
University of Massachusetts Amherst,"New School, The",Field,"Economics, General",2,1,1
"University of Missouri - Kansas City, The","New School, The",Field,"Economics, General",3,1,2
"University of Utah, The","New School, The",Field,"Economics, General",4,1,2
Baruch College (CUNY),New York University,Field,"Economics, General",7,3,4
Brown University,New York University,Field,"Economics, General",3,1,2
Columbia University,New York University,Field,"Economics, General",7,1,5
Lehman College (CUNY),New York University,Field,"Economics, General",2,1,1
Rutgers  - Newark,New York University,Field,"Economics, General",5,2,2
