InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,"Education, General",14,8,5
Clemson University,Auburn University,Field,"Education, General",2,1,1
Barry University,Barry University,Field,"Education, General",9,5,3
Lesley University,Boston College,Field,"Education, General",10,8,1
Lesley University,Boston University,Field,"Education, General",12,8,4
"University of California, Irvine",Boston University,Field,"Education, General",2,1,1
Robert Morris University,"Catholic University of America, The",Field,"Education, General",2,1,1
Colorado State University,Colorado State University,Field,"Education, General",9,7,2
Arizona State University,Columbia University,Field,"Education, General",2,1,1
"Catholic University of America, The",Columbia University,Field,"Education, General",2,1,1
Stanford University,Columbia University,Field,"Education, General",3,2,1
American University,Cornell University,Field,"Education, General",2,1,1
University of Southern California,Cornell University,Field,"Education, General",3,1,2
Clemson University,Emory University,Field,"Education, General",2,1,1
Florida Atlantic University,Florida State University,Field,"Education, General",3,2,1
"University of California, Davis",Florida State University,Field,"Education, General",2,1,1
Gallaudet University,Gallaudet University,Field,"Education, General",3,2,1
Regent University,George Washington University,Field,"Education, General",4,1,2
Arizona State University,Harvard University,Field,"Education, General",4,3,1
Boston University,Harvard University,Field,"Education, General",3,1,2
Brandeis University,Harvard University,Field,"Education, General",2,1,1
Drexel University,Harvard University,Field,"Education, General",2,1,1
Harvard University,Harvard University,Field,"Education, General",19,9,8
Lesley University,Harvard University,Field,"Education, General",9,5,4
Northwestern University,Harvard University,Field,"Education, General",4,1,2
Stanford University,Harvard University,Field,"Education, General",3,1,2
Teachers College Columbia University,Harvard University,Field,"Education, General",4,2,2
"University of California, Davis",Harvard University,Field,"Education, General",3,1,2
University of Delaware,Harvard University,Field,"Education, General",3,2,1
University of Massachusetts Lowell,Harvard University,Field,"Education, General",3,1,1
University of Michigan,Harvard University,Field,"Education, General",5,4,1
University of North Carolina at Chapel Hill,Harvard University,Field,"Education, General",3,1,1
University of Pennsylvania,Harvard University,Field,"Education, General",5,2,3
University of Southern California,Harvard University,Field,"Education, General",2,1,1
University of Washington,Harvard University,Field,"Education, General",2,1,1
Arizona State University,Indiana University - Bloomington,Field,"Education, General",3,1,1
Ball State University,Indiana University - Bloomington,Field,"Education, General",4,2,2
Clemson University,Indiana University - Bloomington,Field,"Education, General",3,2,1
East Carolina University,Indiana University - Bloomington,Field,"Education, General",2,1,1
Indiana University-Purdue University Indianapolis,Indiana University - Bloomington,Field,"Education, General",4,2,2
University of Pennsylvania,Indiana University - Bloomington,Field,"Education, General",2,1,1
Ball State University,Iowa State University,Field,"Education, General",2,1,1
University of Delaware,Johns Hopkins University,Field,"Education, General",2,1,1
North Dakota State University,Kent State University,Field,"Education, General",3,1,2
Lesley University,Lesley University,Field,"Education, General",5,3,2
Louisiana State University,Louisiana State University,Field,"Education, General",5,4,1
University of Louisiana at Lafayette,Louisiana State University,Field,"Education, General",13,9,3
Loyola University Chicago,Loyola University Chicago,Field,"Education, General",3,2,1
American University,Michigan State University,Field,"Education, General",3,1,2
University of Georgia,Michigan State University,Field,"Education, General",3,1,1
University of North Carolina at Chapel Hill,Michigan State University,Field,"Education, General",3,1,1
Virginia Polytechnic Institute and State University,Michigan State University,Field,"Education, General",3,1,1
Montana State University,Montana State University,Field,"Education, General",4,2,1
Lesley University,New York University,Field,"Education, General",2,1,1
Clemson University,North Carolina State University,Field,"Education, General",2,1,1
University of North Carolina at Chapel Hill,North Carolina State University,Field,"Education, General",4,3,1
Northwestern University,Northwestern University,Field,"Education, General",10,7,3
Stanford University,Northwestern University,Field,"Education, General",3,1,2
Teachers College Columbia University,Northwestern University,Field,"Education, General",2,1,1
University of Colorado Boulder,Northwestern University,Field,"Education, General",2,1,1
University of Michigan,Northwestern University,Field,"Education, General",2,1,1
Barry University,Nova Southeastern University,Field,"Education, General",2,1,1
Indiana University-Purdue University Indianapolis,"Ohio State University, The",Field,"Education, General",3,1,2
"Ohio State University, The","Ohio State University, The",Field,"Education, General",9,5,4
"University of Cincinnati, The","Ohio State University, The",Field,"Education, General",5,4,1
University of Colorado Denver,"Ohio State University, The",Field,"Education, General",3,2,1
"University of Maine, The","Ohio State University, The",Field,"Education, General",3,1,2
