InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Andrews University,Andrews University,Field,Education Administration,5,2,3
Arizona State University,Arizona State University,Field,Education Administration,14,8,5
Auburn University,Arizona State University,Field,Education Administration,2,1,1
Iowa State University,Arizona State University,Field,Education Administration,2,1,1
University of Virginia,Arizona State University,Field,Education Administration,2,1,1
Ball State University,Ball State University,Field,Education Administration,2,1,1
Arizona State University,Columbia University,Field,Education Administration,2,1,1
North Carolina State University,Columbia University,Field,Education Administration,2,1,1
"Pennsylvania State University, The",Columbia University,Field,Education Administration,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Education Administration,2,1,1
Teachers College Columbia University,Columbia University,Field,Education Administration,3,2,1
University of Louisville,Columbia University,Field,Education Administration,2,1,1
"University of Minnesota, Twin Cities",Columbia University,Field,Education Administration,3,1,2
University of Wisconsin - Madison,Columbia University,Field,Education Administration,2,1,1
"Pennsylvania State University, The",Cornell University,Field,Education Administration,4,1,2
"University of Maryland, College Park",Emory University,Field,Education Administration,2,1,1
Florida Atlantic University,Florida Atlantic University,Field,Education Administration,2,1,1
Florida State University,Florida State University,Field,Education Administration,4,2,2
Gallaudet University,Gallaudet University,Field,Education Administration,3,2,1
George Washington University,George Washington University,Field,Education Administration,4,2,2
Texas State University,Georgia State University,Field,Education Administration,2,1,1
University of North Carolina Charlotte,Georgia State University,Field,Education Administration,2,1,1
Arizona State University,Harvard University,Field,Education Administration,4,3,1
Michigan State University,Harvard University,Field,Education Administration,3,1,2
"Pennsylvania State University, The",Harvard University,Field,Education Administration,3,2,1
Teachers College Columbia University,Harvard University,Field,Education Administration,2,1,1
University of Connecticut,Harvard University,Field,Education Administration,3,1,1
"University of Maryland, College Park",Harvard University,Field,Education Administration,5,2,2
University of Pennsylvania,Harvard University,Field,Education Administration,3,1,2
University of San Diego,Harvard University,Field,Education Administration,2,1,1
"University of Texas at Austin, The",Harvard University,Field,Education Administration,3,2,1
University of Virginia,Harvard University,Field,Education Administration,3,1,2
Illinois State University,Illinois State University,Field,Education Administration,2,1,1
Indiana State University,Indiana State University,Field,Education Administration,2,1,1
Arizona State University,Indiana University - Bloomington,Field,Education Administration,3,1,1
Ball State University,Indiana University - Bloomington,Field,Education Administration,3,2,1
Indiana State University,Indiana University - Bloomington,Field,Education Administration,3,1,2
Indiana University - Bloomington,Indiana University - Bloomington,Field,Education Administration,4,2,2
"Pennsylvania State University, The",Indiana University - Bloomington,Field,Education Administration,2,1,1
"University of Akron, The",Indiana University - Bloomington,Field,Education Administration,2,1,1
University of Georgia,Indiana University - Bloomington,Field,Education Administration,2,1,1
University of Kentucky,Indiana University - Bloomington,Field,Education Administration,3,1,2
University of Louisville,Indiana University - Bloomington,Field,Education Administration,2,1,1
University of South Carolina,Indiana University - Bloomington,Field,Education Administration,3,1,2
University of Wisconsin - Madison,Indiana University - Bloomington,Field,Education Administration,2,1,1
Iowa State University,Iowa State University,Field,Education Administration,10,7,3
South Dakota State University,Iowa State University,Field,Education Administration,3,2,1
"University of North Dakota, The",Iowa State University,Field,Education Administration,2,1,1
Kansas State University,Kansas State University,Field,Education Administration,8,4,4
Cleveland State University,Kent State University,Field,Education Administration,3,1,1
Kent State University,Kent State University,Field,Education Administration,7,4,3
Louisiana State University,Louisiana State University,Field,Education Administration,5,4,1
University of Louisiana at Lafayette,Louisiana State University,Field,Education Administration,5,3,2
University of Oklahoma,Louisiana State University,Field,Education Administration,2,1,1
"University of Southern Mississippi, The",Louisiana State University,Field,Education Administration,4,1,3
Auburn University,Michigan State University,Field,Education Administration,2,1,1
Michigan State University,Michigan State University,Field,Education Administration,3,1,2
University of Idaho,Michigan State University,Field,Education Administration,2,1,1
"University of Maryland, College Park",Michigan State University,Field,Education Administration,2,1,1
University of Oklahoma,Michigan State University,Field,Education Administration,3,1,2
Wayne State University,Michigan State University,Field,Education Administration,3,1,2
Mississippi State University,Mississippi State University,Field,Education Administration,8,6,1
City College (CUNY),New York University,Field,Education Administration,3,2,1
Northern Illinois University,Northern Illinois University,Field,Education Administration,3,2,1
University of Colorado Boulder,Northwestern University,Field,Education Administration,2,1,1
"University of Maryland, College Park",Northwestern University,Field,Education Administration,2,1,1
Florida International University,"Ohio State University, The",Field,Education Administration,2,1,1
Iowa State University,"Ohio State University, The",Field,Education Administration,2,1,1
Kent State University,"Ohio State University, The",Field,Education Administration,3,1,1
"Ohio State University, The","Ohio State University, The",Field,Education Administration,9,5,4
University of Dayton,"Ohio State University, The",Field,Education Administration,2,1,1
University of Nebraska - Lincoln,"Ohio State University, The",Field,Education Administration,2,1,1
"Ohio State University, The",Ohio University,Field,Education Administration,3,1,1
Oklahoma State University,Oklahoma State University,Field,Education Administration,16,9,6
University of Oklahoma,Oklahoma State University,Field,Education Administration,5,1,3
Florida State University,"Pennsylvania State University, The",Field,Education Administration,3,1,2
Georgia State University,"Pennsylvania State University, The",Field,Education Administration,2,1,1
