InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Andrews University,Andrews University,Field,Educational Psychology,4,3,1
Arizona State University,Arizona State University,Field,Educational Psychology,6,4,2
Texas A&M University,Arizona State University,Field,Educational Psychology,4,1,1
"University of Minnesota, Twin Cities",Arizona State University,Field,Educational Psychology,2,1,1
"University of Nevada, Las Vegas",Arizona State University,Field,Educational Psychology,2,1,1
"University of Texas at San Antonio, The",Arizona State University,Field,Educational Psychology,2,1,1
Ball State University,Ball State University,Field,Educational Psychology,4,3,1
"University of Texas at San Antonio, The","College of William & Mary, The",Field,Educational Psychology,2,1,1
Arizona State University,Columbia University,Field,Educational Psychology,2,1,1
"University at Albany, State University of New York",Columbia University,Field,Educational Psychology,4,1,2
"Pennsylvania State University, The",Cornell University,Field,Educational Psychology,2,1,1
"University of Texas at Austin, The",Duke University,Field,Educational Psychology,2,1,1
Florida State University,Florida State University,Field,Educational Psychology,6,3,2
Mississippi State University,Florida State University,Field,Educational Psychology,2,1,1
Texas State University,Georgia State University,Field,Educational Psychology,2,1,1
University of Illinois at Urbana-Champaign,Harvard University,Field,Educational Psychology,2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Educational Psychology,4,2,2
North Carolina State University,Indiana University - Bloomington,Field,Educational Psychology,2,1,1
University of Illinois at Urbana-Champaign,Indiana University - Bloomington,Field,Educational Psychology,2,1,1
"University of Tennessee, The",Indiana University - Bloomington,Field,Educational Psychology,3,2,1
"University of Texas at Austin, The",Indiana University - Bloomington,Field,Educational Psychology,2,1,1
University of Memphis,Loyola University Chicago,Field,Educational Psychology,2,1,1
Michigan State University,Michigan State University,Field,Educational Psychology,10,4,4
University of Idaho,Michigan State University,Field,Educational Psychology,2,1,1
University of Miami,Michigan State University,Field,Educational Psychology,2,1,1
University of South Florida,Michigan State University,Field,Educational Psychology,2,1,1
Mississippi State University,Mississippi State University,Field,Educational Psychology,6,3,2
North Carolina State University,North Carolina State University,Field,Educational Psychology,2,1,1
Northern Arizona University,Northern Arizona University,Field,Educational Psychology,2,1,1
Northern Illinois University,Northern Illinois University,Field,Educational Psychology,3,2,1
University of Colorado Boulder,Northwestern University,Field,Educational Psychology,3,2,1
Georgia State University,"Ohio State University, The",Field,Educational Psychology,3,1,2
Miami University,"Ohio State University, The",Field,Educational Psychology,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Educational Psychology,9,5,4
Temple University,"Ohio State University, The",Field,Educational Psychology,3,2,1
"University at Albany, State University of New York","Ohio State University, The",Field,Educational Psychology,2,1,1
"Ohio State University, The",Ohio University,Field,Educational Psychology,3,1,1
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Educational Psychology,11,7,4
Teachers College Columbia University,"Pennsylvania State University, The",Field,Educational Psychology,2,1,1
University of Idaho,"Pennsylvania State University, The",Field,Educational Psychology,2,1,1
University of Colorado Boulder,Stanford University,Field,Educational Psychology,7,3,4
University of Illinois at Urbana-Champaign,Stanford University,Field,Educational Psychology,2,1,1
University of Missouri,Stanford University,Field,Educational Psychology,2,1,1
Michigan State University,Syracuse University,Field,Educational Psychology,2,1,1
University of Connecticut,Syracuse University,Field,Educational Psychology,2,1,1
Temple University,Temple University,Field,Educational Psychology,2,1,1
Texas A&M Corpus Christi,Texas A&M Corpus Christi,Field,Educational Psychology,2,1,1
University of Memphis,Texas A&M Corpus Christi,Field,Educational Psychology,2,1,1
Northern Arizona University,Texas A&M University,Field,Educational Psychology,2,1,1
"University of Texas at San Antonio, The",Texas A&M University,Field,Educational Psychology,4,1,2
Texas Tech University,Texas Tech University,Field,Educational Psychology,9,7,2
"University of Texas at San Antonio, The",Texas Tech University,Field,Educational Psychology,2,1,1
"University at Buffalo, State University of New York","University at Buffalo, State University of New York",Field,Educational Psychology,2,1,1
University of Memphis,"University of Alabama, The",Field,Educational Psychology,2,1,1
Mississippi State University,University of Arkansas,Field,Educational Psychology,2,1,1
University of Colorado Boulder,"University of California, Berkeley",Field,Educational Psychology,7,3,3
University of the Pacific,"University of California, Berkeley",Field,Educational Psychology,2,1,1
Indiana University - Bloomington,"University of California, Los Angeles",Field,Educational Psychology,3,2,1
"Ohio State University, The","University of California, Los Angeles",Field,Educational Psychology,3,2,1
University of Colorado Boulder,"University of California, Los Angeles",Field,Educational Psychology,4,2,1
Texas Tech University,"University of California, Riverside",Field,Educational Psychology,2,1,1
University of Missouri,"University of California, Santa Barbara",Field,Educational Psychology,2,1,1
Florida State University,"University of Chicago, The",Field,Educational Psychology,2,1,1
Michigan State University,"University of Chicago, The",Field,Educational Psychology,6,3,3
Northern Illinois University,"University of Chicago, The",Field,Educational Psychology,3,1,2
University of Illinois at Chicago,"University of Chicago, The",Field,Educational Psychology,2,1,1
"Ohio State University, The","University of Cincinnati, The",Field,Educational Psychology,2,1,1
University of Colorado Boulder,University of Colorado Boulder,Field,Educational Psychology,10,5,4
University of Kentucky,University of Colorado Boulder,Field,Educational Psychology,2,1,1
Arizona State University,University of Connecticut,Field,Educational Psychology,3,1,1
University of Connecticut,University of Connecticut,Field,Educational Psychology,7,4,1
University of Illinois at Chicago,University of Connecticut,Field,Educational Psychology,2,1,1
Georgia State University,University of Florida,Field,Educational Psychology,3,2,1
"Pennsylvania State University, The",University of Florida,Field,Educational Psychology,2,1,1
Indiana University - Bloomington,University of Georgia,Field,Educational Psychology,2,1,1
North Carolina State University,University of Georgia,Field,Educational Psychology,3,2,1
Texas State University,University of Georgia,Field,Educational Psychology,5,1,3
University of Florida,University of Georgia,Field,Educational Psychology,2,1,1
"University of Tennessee, The",University of Georgia,Field,Educational Psychology,4,1,3
Texas A&M University,University of Houston,Field,Educational Psychology,2,1,1
University of Houston,University of Houston,Field,Educational Psychology,5,4,1
University of Idaho,University of Idaho,Field,Educational Psychology,2,1,1
"Ohio State University, The",University of Illinois at Urbana-Champaign,Field,Educational Psychology,2,1,1
"Pennsylvania State University, The",University of Illinois at Urbana-Champaign,Field,Educational Psychology,2,1,1
"University of Alabama, The",University of Illinois at Urbana-Champaign,Field,Educational Psychology,2,1,1
University of Georgia,University of Illinois at Urbana-Champaign,Field,Educational Psychology,4,1,1
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Field,Educational Psychology,2,1,1
"University of Minnesota, Twin Cities",University of Illinois at Urbana-Champaign,Field,Educational Psychology,3,1,2
