InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Electrical Engineering,8,3,2
Syracuse University,Arizona State University,Field,Electrical Engineering,3,1,1
"Binghamton University, State University of New York","Binghamton University, State University of New York",Field,Electrical Engineering,3,1,2
Marquette University,Boston College,Field,Electrical Engineering,2,1,1
University of Illinois at Urbana-Champaign,Boston University,Field,Electrical Engineering,2,1,1
Georgia Institute of Technology,California Institute of Technology,Field,Electrical Engineering,6,1,3
Lehigh University,California Institute of Technology,Field,Electrical Engineering,2,1,1
Stanford University,California Institute of Technology,Field,Electrical Engineering,2,1,1
"University of California, San Diego",California Institute of Technology,Field,Electrical Engineering,8,1,6
University of Colorado Boulder,California Institute of Technology,Field,Electrical Engineering,6,1,5
"University of Maryland, College Park",California Institute of Technology,Field,Electrical Engineering,2,1,1
Carnegie Mellon University,Carnegie Mellon University,Field,Electrical Engineering,14,1,9
Massachusetts Institute of Technology,Carnegie Mellon University,Field,Electrical Engineering,5,1,4
Northwestern University,Carnegie Mellon University,Field,Electrical Engineering,4,1,2
Oregon State University,Carnegie Mellon University,Field,Electrical Engineering,5,2,2
University of Central Florida,Carnegie Mellon University,Field,Electrical Engineering,2,1,1
University of Hawaii,Carnegie Mellon University,Field,Electrical Engineering,2,1,1
University of Michigan,Carnegie Mellon University,Field,Electrical Engineering,8,1,7
University of Pittsburgh,Carnegie Mellon University,Field,Electrical Engineering,3,1,1
University of Wisconsin - Madison,Carnegie Mellon University,Field,Electrical Engineering,2,1,1
Virginia Polytechnic Institute and State University,Carnegie Mellon University,Field,Electrical Engineering,3,1,2
"University of Akron, The",Case Western Reserve University,Field,Electrical Engineering,2,1,1
Marquette University,"Catholic University of America, The",Field,Electrical Engineering,2,1,1
Colorado State University,Colorado State University,Field,Electrical Engineering,5,1,4
Michigan State University,Colorado State University,Field,Electrical Engineering,2,1,1
Carnegie Mellon University,Columbia University,Field,Electrical Engineering,3,1,1
"University of Maryland, College Park",Columbia University,Field,Electrical Engineering,2,1,1
Drexel University,Cornell University,Field,Electrical Engineering,2,1,1
Georgia Institute of Technology,Cornell University,Field,Electrical Engineering,3,1,2
Johns Hopkins University,Cornell University,Field,Electrical Engineering,3,1,2
Louisiana State University,Cornell University,Field,Electrical Engineering,2,1,1
North Carolina State University,Cornell University,Field,Electrical Engineering,4,2,1
Purdue University,Cornell University,Field,Electrical Engineering,2,1,1
University of Central Florida,Cornell University,Field,Electrical Engineering,2,1,1
University of Connecticut,Cornell University,Field,Electrical Engineering,2,1,1
University of Idaho,Duke University,Field,Electrical Engineering,2,1,1
Virginia Polytechnic Institute and State University,Duke University,Field,Electrical Engineering,4,1,3
Florida Atlantic University,Florida Atlantic University,Field,Electrical Engineering,4,1,1
Florida A&M University,Florida State University,Field,Electrical Engineering,2,1,1
Florida State University,Florida State University,Field,Electrical Engineering,2,1,1
George Mason University,George Mason University,Field,Electrical Engineering,5,1,3
"Catholic University of America, The",George Washington University,Field,Electrical Engineering,3,1,1
Georgia Institute of Technology,Georgia Institute of Technology,Field,Electrical Engineering,24,3,20
Illinois Institute of Technology,Georgia Institute of Technology,Field,Electrical Engineering,3,2,1
Louisiana State University,Georgia Institute of Technology,Field,Electrical Engineering,3,1,1
"Ohio State University, The",Georgia Institute of Technology,Field,Electrical Engineering,3,1,1
Rutgers - New Brunswick,Georgia Institute of Technology,Field,Electrical Engineering,2,1,1
"University of Alabama in Huntsville, The",Georgia Institute of Technology,Field,Electrical Engineering,2,1,1
University of Central Florida,Georgia Institute of Technology,Field,Electrical Engineering,3,1,1
University of Florida,Georgia Institute of Technology,Field,Electrical Engineering,4,1,2
"University of Maryland, Baltimore County",Georgia Institute of Technology,Field,Electrical Engineering,2,1,1
"University of Texas at San Antonio, The",Georgia Institute of Technology,Field,Electrical Engineering,3,1,2
University of Washington,Georgia Institute of Technology,Field,Electrical Engineering,3,1,1
Cornell University,Harvard University,Field,Electrical Engineering,2,1,1
Princeton University,Harvard University,Field,Electrical Engineering,3,1,2
Howard University,Howard University,Field,Electrical Engineering,3,1,2
Drexel University,Illinois Institute of Technology,Field,Electrical Engineering,2,1,1
Iowa State University,Iowa State University,Field,Electrical Engineering,4,1,3
Lehigh University,Lehigh University,Field,Electrical Engineering,3,1,2
Marquette University,Marquette University,Field,Electrical Engineering,6,1,5
Arizona State University,Massachusetts Institute of Technology,Field,Electrical Engineering,3,1,2
Boston University,Massachusetts Institute of Technology,Field,Electrical Engineering,7,1,5
Carnegie Mellon University,Massachusetts Institute of Technology,Field,Electrical Engineering,7,1,4
Columbia University,Massachusetts Institute of Technology,Field,Electrical Engineering,5,1,4
Cornell University,Massachusetts Institute of Technology,Field,Electrical Engineering,5,1,3
George Mason University,Massachusetts Institute of Technology,Field,Electrical Engineering,4,1,3
Georgia Institute of Technology,Massachusetts Institute of Technology,Field,Electrical Engineering,5,1,4
Johns Hopkins University,Massachusetts Institute of Technology,Field,Electrical Engineering,3,2,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Electrical Engineering,59,7,52
Northeastern University,Massachusetts Institute of Technology,Field,Electrical Engineering,5,1,3
Northwestern University,Massachusetts Institute of Technology,Field,Electrical Engineering,8,1,6
Texas A&M University,Massachusetts Institute of Technology,Field,Electrical Engineering,2,1,1
"University of California, Berkeley",Massachusetts Institute of Technology,Field,Electrical Engineering,16,2,13
"University of California, Los Angeles",Massachusetts Institute of Technology,Field,Electrical Engineering,3,1,1
"University of California, San Diego",Massachusetts Institute of Technology,Field,Electrical Engineering,5,1,4
"University of California, Santa Barbara",Massachusetts Institute of Technology,Field,Electrical Engineering,4,1,3
University of Colorado Boulder,Massachusetts Institute of Technology,Field,Electrical Engineering,8,1,5
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,Electrical Engineering,8,1,7
University of Michigan,Massachusetts Institute of Technology,Field,Electrical Engineering,18,1,17
"University of New Mexico, The",Massachusetts Institute of Technology,Field,Electrical Engineering,2,1,1
University of Pennsylvania,Massachusetts Institute of Technology,Field,Electrical Engineering,5,1,4
University of Rochester,Massachusetts Institute of Technology,Field,Electrical Engineering,2,1,1
University of Southern California,Massachusetts Institute of Technology,Field,Electrical Engineering,10,3,4
"University of Tennessee, The",Massachusetts Institute of Technology,Field,Electrical Engineering,2,1,1
"University of Texas at Austin, The",Massachusetts Institute of Technology,Field,Electrical Engineering,7,2,5
Michigan State University,Michigan State University,Field,Electrical Engineering,6,1,4
University of Colorado Boulder,Michigan State University,Field,Electrical Engineering,2,1,1
West Virginia University,Mississippi State University,Field,Electrical Engineering,2,1,1
Missouri University of Science and Technology,Missouri University of Science and Technology,Field,Electrical Engineering,11,4,5
"University of Kansas, The",Missouri University of Science and Technology,Field,Electrical Engineering,2,1,1
Rutgers - New Brunswick,New York University,Field,Electrical Engineering,2,1,1
North Carolina State University,North Carolina State University,Field,Electrical Engineering,12,1,7
Northeastern University,Northeastern University,Field,Electrical Engineering,6,2,4
University of Wisconsin - Madison,Northwestern University,Field,Electrical Engineering,3,2,1
Air Force Institute of Technology,"Ohio State University, The",Field,Electrical Engineering,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Electrical Engineering,16,2,12
"University of Maryland, Baltimore County","Ohio State University, The",Field,Electrical Engineering,2,1,1
Oregon State University,Oregon State University,Field,Electrical Engineering,5,1,3
Cornell University,Princeton University,Field,Electrical Engineering,2,1,1
Purdue University,Princeton University,Field,Electrical Engineering,5,1,3
Rice University,Princeton University,Field,Electrical Engineering,2,1,1
Syracuse University,Princeton University,Field,Electrical Engineering,2,1,1
University of Illinois at Urbana-Champaign,Princeton University,Field,Electrical Engineering,2,1,1
"University of Maryland, Baltimore County",Princeton University,Field,Electrical Engineering,2,1,1
University of Michigan,Princeton University,Field,Electrical Engineering,10,1,6
Indiana University-Purdue University Indianapolis,Purdue University,Field,Electrical Engineering,5,2,2
Michigan State University,Purdue University,Field,Electrical Engineering,2,1,1
