InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,English Language and Literature,4,2,2
"University of New Mexico, The",Arizona State University,Field,English Language and Literature,3,2,1
Ball State University,Ball State University,Field,English Language and Literature,12,7,5
Texas Tech University,Ball State University,Field,English Language and Literature,2,1,1
"University at Albany, State University of New York","Binghamton University, State University of New York",Field,English Language and Literature,2,1,1
Virginia Commonwealth University,"Binghamton University, State University of New York",Field,English Language and Literature,2,1,1
Boston University,Boston University,Field,English Language and Literature,2,1,1
University of Arkansas,Boston University,Field,English Language and Literature,2,1,1
Kent State University,Bowling Green State University,Field,English Language and Literature,3,1,2
"College of William & Mary, The",Brandeis University,Field,English Language and Literature,3,1,1
University of South Carolina,Brandeis University,Field,English Language and Literature,2,1,1
Brigham Young University,Brigham Young University,Field,English Language and Literature,3,1,2
Arizona State University,Brown University,Field,English Language and Literature,3,1,2
"Binghamton University, State University of New York",Brown University,Field,English Language and Literature,2,1,1
Fordham University,Brown University,Field,English Language and Literature,2,1,1
Indiana University - Bloomington,Brown University,Field,English Language and Literature,4,1,3
Louisiana State University,Brown University,Field,English Language and Literature,2,1,1
Michigan State University,Brown University,Field,English Language and Literature,2,1,1
Northeastern University,Brown University,Field,English Language and Literature,3,2,1
"Pennsylvania State University, The",Brown University,Field,English Language and Literature,2,1,1
Rice University,Brown University,Field,English Language and Literature,3,2,1
Rutgers  - Newark,Brown University,Field,English Language and Literature,3,1,2
Southern Methodist University,Brown University,Field,English Language and Literature,2,1,1
"University of California, Davis",Brown University,Field,English Language and Literature,2,1,1
"University of California, Los Angeles",Brown University,Field,English Language and Literature,3,2,1
University of Florida,Brown University,Field,English Language and Literature,2,1,1
University of New Hampshire,Brown University,Field,English Language and Literature,2,1,1
University of Rochester,Brown University,Field,English Language and Literature,2,1,1
University of Washington,Brown University,Field,English Language and Literature,2,1,1
Georgia Institute of Technology,Carnegie Mellon University,Field,English Language and Literature,3,1,1
Baruch College (CUNY),"City University of New York, The",Field,English Language and Literature,6,1,5
John Jay College of Criminal Justice (CUNY),"City University of New York, The",Field,English Language and Literature,7,2,5
