InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Clemson University,Clemson University,Field,Entomology,5,1,4
"University of Tennessee, The",Clemson University,Field,Entomology,2,1,1
Colorado State University,Cornell University,Field,Entomology,4,2,1
"Ohio State University, The",Cornell University,Field,Entomology,4,1,1
Texas A&M University,Cornell University,Field,Entomology,2,1,1
University of Arkansas,Cornell University,Field,Entomology,2,1,1
University of Florida,Cornell University,Field,Entomology,2,1,1
"University of Maryland, College Park",Cornell University,Field,Entomology,2,1,1
University of Massachusetts Amherst,Cornell University,Field,Entomology,6,1,5
Iowa State University,Iowa State University,Field,Entomology,2,1,1
University of Florida,Louisiana State University,Field,Entomology,2,1,1
University of Georgia,Louisiana State University,Field,Entomology,3,1,2
Michigan State University,Michigan State University,Field,Entomology,10,2,8
North Carolina State University,Michigan State University,Field,Entomology,3,1,2
"Ohio State University, The",Michigan State University,Field,Entomology,2,1,1
University of Florida,Michigan State University,Field,Entomology,2,1,1
Mississippi State University,Mississippi State University,Field,Entomology,9,2,6
New Mexico State University,New Mexico State University,Field,Entomology,3,1,2
North Carolina State University,North Carolina State University,Field,Entomology,7,1,6
University of Idaho,North Carolina State University,Field,Entomology,5,1,4
"University of Tennessee, The",North Carolina State University,Field,Entomology,6,2,4
University of Rhode Island,Oregon State University,Field,Entomology,2,1,1
"University of Montana, Missoula",Princeton University,Field,Entomology,3,1,2
Rutgers - New Brunswick,Rutgers - New Brunswick,Field,Entomology,2,1,1
Oklahoma State University,Texas A&M University,Field,Entomology,4,3,1
University of Florida,Texas A&M University,Field,Entomology,5,1,4
"University of Arizona, The","University of Arizona, The",Field,Entomology,2,1,1
Oklahoma State University,University of Arkansas,Field,Entomology,2,1,1
Cornell University,"University of California, Berkeley",Field,Entomology,3,1,2
"Pennsylvania State University, The","University of California, Berkeley",Field,Entomology,2,1,1
University of Florida,"University of California, Berkeley",Field,Entomology,2,1,1
University of Illinois at Urbana-Champaign,"University of California, Berkeley",Field,Entomology,2,1,1
Cornell University,"University of California, Davis",Field,Entomology,3,1,2
North Carolina State University,"University of California, Davis",Field,Entomology,4,2,2
"Pennsylvania State University, The","University of California, Davis",Field,Entomology,4,2,2
University of Arkansas,"University of California, Davis",Field,Entomology,2,1,1
"University of California, Davis","University of California, Davis",Field,Entomology,4,1,2
University of Idaho,"University of California, Davis",Field,Entomology,2,1,1
Texas A&M University,"University of California, Riverside",Field,Entomology,5,1,4
"University of California, Davis","University of California, Riverside",Field,Entomology,2,1,1
University of Idaho,"University of California, Riverside",Field,Entomology,3,2,1
University of Georgia,University of Colorado Boulder,Field,Entomology,2,1,1
Clemson University,University of Florida,Field,Entomology,3,1,1
North Carolina State University,University of Florida,Field,Entomology,4,1,3
University of Florida,University of Florida,Field,Entomology,9,2,7
University of Georgia,University of Florida,Field,Entomology,4,1,3
University of Kentucky,University of Florida,Field,Entomology,3,1,2
"University of Tennessee, The",University of Florida,Field,Entomology,3,2,1
New Mexico State University,University of Georgia,Field,Entomology,2,1,1
"Pennsylvania State University, The",University of Georgia,Field,Entomology,3,1,2
Auburn University,University of Illinois at Urbana-Champaign,Field,Entomology,3,1,2
Iowa State University,University of Illinois at Urbana-Champaign,Field,Entomology,2,1,1
"Ohio State University, The",University of Illinois at Urbana-Champaign,Field,Entomology,4,1,3
"Pennsylvania State University, The",University of Illinois at Urbana-Champaign,Field,Entomology,3,1,2
Washington State University,University of Illinois at Urbana-Champaign,Field,Entomology,3,1,2
"University of Montana, Missoula","University of Iowa, The",Field,Entomology,2,1,1
University of Florida,University of Kentucky,Field,Entomology,4,1,2
Washington State University,University of Kentucky,Field,Entomology,2,1,1
Texas A&M University,"University of Maryland, College Park",Field,Entomology,3,1,1
"University of Maryland, College Park","University of Maryland, College Park",Field,Entomology,3,2,1
"University of Montana, Missoula","University of Montana, Missoula",Field,Entomology,8,1,7
University of Nebraska - Lincoln,University of Nebraska - Lincoln,Field,Entomology,8,3,5
Mississippi State University,"University of Tennessee, The",Field,Entomology,2,1,1
"University of Tennessee, The","University of Tennessee, The",Field,Entomology,5,1,4
"University of Montana, Missoula",University of Washington,Field,Entomology,6,1,4
North Carolina State University,University of Wisconsin - Madison,Field,Entomology,4,2,2
Clemson University,Virginia Polytechnic Institute and State University,Field,Entomology,3,1,2
University of Idaho,Washington State University,Field,Entomology,4,2,2
