InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
University of Colorado Denver,Arizona State University,Field,Environmental Sciences,3,1,1
"University of Texas Health Science Center at Houston, The",Baylor College of Medicine,Field,Environmental Sciences,2,1,1
University of North Carolina at Chapel Hill,Carnegie Mellon University,Field,Environmental Sciences,2,1,1
Lehman College (CUNY),"City University of New York, The",Field,Environmental Sciences,2,1,1
Clemson University,Clemson University,Field,Environmental Sciences,7,1,6
Colorado School of Mines,Colorado School of Mines,Field,Environmental Sciences,4,1,3
Colorado State University,Colorado State University,Field,Environmental Sciences,12,5,7
Michigan Technological University,Colorado State University,Field,Environmental Sciences,3,2,1
University of Alaska Fairbanks,Colorado State University,Field,Environmental Sciences,2,1,1
University of Florida,Colorado State University,Field,Environmental Sciences,3,1,2
Columbia University,Columbia University,Field,Environmental Sciences,12,3,8
Tulane University,Columbia University,Field,Environmental Sciences,2,1,1
Rutgers - New Brunswick,Cornell University,Field,Environmental Sciences,3,1,2
SUNY College of Environmental Science and Forestry,Cornell University,Field,Environmental Sciences,2,1,1
"University of California, Berkeley",Cornell University,Field,Environmental Sciences,5,2,2
"University of California, Davis",Cornell University,Field,Environmental Sciences,5,2,3
"University of Maine, The",Cornell University,Field,Environmental Sciences,3,1,1
University of Virginia,Cornell University,Field,Environmental Sciences,3,2,1
Virginia Polytechnic Institute and State University,Cornell University,Field,Environmental Sciences,6,2,4
Washington State University,Dartmouth College,Field,Environmental Sciences,2,1,1
Indiana University - Bloomington,Duke University,Field,Environmental Sciences,3,1,1
"University of Texas Health Science Center at Houston, The",Emory University,Field,Environmental Sciences,2,1,1
Florida Institute of Technology,Florida Institute of Technology,Field,Environmental Sciences,2,1,1
"University of Nevada, Las Vegas",Florida State University,Field,Environmental Sciences,2,1,1
George Mason University,George Mason University,Field,Environmental Sciences,4,1,1
Columbia University,Harvard University,Field,Environmental Sciences,7,1,5
Duke University,Harvard University,Field,Environmental Sciences,3,1,2
Indiana University - Bloomington,Harvard University,Field,Environmental Sciences,5,1,2
North Carolina State University,Harvard University,Field,Environmental Sciences,2,1,1
"University of California, Berkeley",Harvard University,Field,Environmental Sciences,4,1,3
University of Michigan,Harvard University,Field,Environmental Sciences,3,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Environmental Sciences,7,2,4
"Ohio State University, The",Iowa State University,Field,Environmental Sciences,5,1,4
University of Arkansas,Iowa State University,Field,Environmental Sciences,2,1,1
Louisiana State University,Louisiana State University,Field,Environmental Sciences,14,2,11
University of Louisiana at Lafayette,Louisiana State University,Field,Environmental Sciences,3,2,1
Columbia University,Massachusetts Institute of Technology,Field,Environmental Sciences,4,1,3
Tulane University,Massachusetts Institute of Technology,Field,Environmental Sciences,3,2,1
University of Colorado Boulder,Michigan State University,Field,Environmental Sciences,2,1,1
University of Florida,Michigan State University,Field,Environmental Sciences,2,1,1
University of Missouri,Michigan State University,Field,Environmental Sciences,2,1,1
Michigan Technological University,Michigan Technological University,Field,Environmental Sciences,6,3,3
Montana State University,Montana State University,Field,Environmental Sciences,3,1,1
New Mexico State University,New Mexico State University,Field,Environmental Sciences,6,2,3
North Carolina State University,North Carolina State University,Field,Environmental Sciences,5,2,3
Virginia Polytechnic Institute and State University,North Carolina State University,Field,Environmental Sciences,4,2,2
University of Texas Arlington,Northwestern University,Field,Environmental Sciences,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Environmental Sciences,3,1,1
University of Illinois at Urbana-Champaign,"Ohio State University, The",Field,Environmental Sciences,2,1,1
Texas A&M Corpus Christi,Old Dominion University,Field,Environmental Sciences,2,1,1
Montana State University,Oregon State University,Field,Environmental Sciences,3,1,2
Portland State University,Oregon State University,Field,Environmental Sciences,3,2,1
University of Alaska Fairbanks,Oregon State University,Field,Environmental Sciences,4,1,3
Utah State University,Oregon State University,Field,Environmental Sciences,2,1,1
"Binghamton University, State University of New York","Pennsylvania State University, The",Field,Environmental Sciences,2,1,1
Cleveland State University,"Pennsylvania State University, The",Field,Environmental Sciences,2,1,1
"University of Montana, Missoula","Pennsylvania State University, The",Field,Environmental Sciences,2,1,1
"University of Nevada, Las Vegas","Pennsylvania State University, The",Field,Environmental Sciences,2,1,1
New Jersey Institute of Technology,Princeton University,Field,Environmental Sciences,2,1,1
"University of California, Davis",Princeton University,Field,Environmental Sciences,2,1,1
University of Pennsylvania,Princeton University,Field,Environmental Sciences,2,1,1
Michigan Technological University,Purdue University,Field,Environmental Sciences,2,1,1
New Jersey Institute of Technology,Rutgers - New Brunswick,Field,Environmental Sciences,2,1,1
Rutgers - New Brunswick,Rutgers - New Brunswick,Field,Environmental Sciences,6,2,3
Colorado School of Mines,Stanford University,Field,Environmental Sciences,2,1,1
Stanford University,Stanford University,Field,Environmental Sciences,9,3,6
Temple University,Stanford University,Field,Environmental Sciences,2,1,1
"University of California, Merced",Stanford University,Field,Environmental Sciences,3,2,1
