InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Albert Einstein College of Medicine of Yeshiva University,Albert Einstein College of Medicine of Yeshiva University,Field,Epidemiology,6,2,4
"University of Texas Health Science Center at Houston, The",Baylor College of Medicine,Field,Epidemiology,2,1,1
Boston University,Boston University,Field,Epidemiology,17,10,5
Harvard University,Boston University,Field,Epidemiology,3,1,1
Boston University,Case Western Reserve University,Field,Epidemiology,3,2,1
Case Western Reserve University,Case Western Reserve University,Field,Epidemiology,13,5,4
Columbia University,Case Western Reserve University,Field,Epidemiology,2,1,1
Johns Hopkins University,Case Western Reserve University,Field,Epidemiology,2,1,1
Kent State University,Case Western Reserve University,Field,Epidemiology,3,2,1
Albert Einstein College of Medicine of Yeshiva University,"City University of New York, The",Field,Epidemiology,2,1,1
University of Colorado Denver,Colorado State University,Field,Epidemiology,2,1,1
Albert Einstein College of Medicine of Yeshiva University,Columbia University,Field,Epidemiology,11,6,4
Columbia University,Columbia University,Field,Epidemiology,40,21,17
Harvard University,Columbia University,Field,Epidemiology,3,2,1
Johns Hopkins University,Columbia University,Field,Epidemiology,3,1,2
"University at Albany, State University of New York",Columbia University,Field,Epidemiology,2,1,1
"University of California, San Francisco",Columbia University,Field,Epidemiology,2,1,1
University of North Carolina at Chapel Hill,Columbia University,Field,Epidemiology,2,1,1
University of Pennsylvania,Columbia University,Field,Epidemiology,5,2,2
Yale University,Columbia University,Field,Epidemiology,2,1,1
"University of California, San Francisco",Cornell University,Field,Epidemiology,3,1,2
University of Pennsylvania,Drexel University,Field,Epidemiology,2,1,1
University of Washington,Duke University,Field,Epidemiology,2,1,1
Emory University,Emory University,Field,Epidemiology,10,6,4
"University of Texas Health Science Center at Houston, The",Emory University,Field,Epidemiology,2,1,1
George Washington University,George Washington University,Field,Epidemiology,9,6,3
Albert Einstein College of Medicine of Yeshiva University,Harvard University,Field,Epidemiology,4,1,2
Boston University,Harvard University,Field,Epidemiology,11,8,3
Brown University,Harvard University,Field,Epidemiology,5,1,2
Columbia University,Harvard University,Field,Epidemiology,6,3,2
Emory University,Harvard University,Field,Epidemiology,4,1,2
Harvard University,Harvard University,Field,Epidemiology,37,20,12
Indiana University - Bloomington,Harvard University,Field,Epidemiology,3,1,1
Johns Hopkins University,Harvard University,Field,Epidemiology,7,3,4
