InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
American University,American University,Field,"Exercise Science, Kinesiology, Rehab, Health",3,1,2
Arizona State University,Arizona State University,Field,"Exercise Science, Kinesiology, Rehab, Health",4,1,3
University of Michigan,Arizona State University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Clemson University,Auburn University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
University of Kentucky,Auburn University,Field,"Exercise Science, Kinesiology, Rehab, Health",3,1,2
University of Kentucky,Augusta University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Ball State University,Ball State University,Field,"Exercise Science, Kinesiology, Rehab, Health",6,1,5
Boston University,Boston University,Field,"Exercise Science, Kinesiology, Rehab, Health",3,1,2
"Pennsylvania State University, The",Boston University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
University of Rhode Island,Boston University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Brooklyn College (CUNY),Brandeis University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Brigham Young University,Brigham Young University,Field,"Exercise Science, Kinesiology, Rehab, Health",7,2,1
University of Michigan,Case Western Reserve University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
University of Pittsburgh,Case Western Reserve University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Brooklyn College (CUNY),"City University of New York, The",Field,"Exercise Science, Kinesiology, Rehab, Health",3,1,1
Temple University,Clemson University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Colorado State University,Colorado State University,Field,"Exercise Science, Kinesiology, Rehab, Health",8,5,2
Brooklyn College (CUNY),Columbia University,Field,"Exercise Science, Kinesiology, Rehab, Health",4,3,1
Columbia University,Columbia University,Field,"Exercise Science, Kinesiology, Rehab, Health",8,6,2
"Pennsylvania State University, The",Columbia University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
American University,Cornell University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
"Pennsylvania State University, The",Cornell University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
University of South Carolina,Cornell University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
"University of Texas Health Science Center at Houston, The",Cornell University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
University of Pittsburgh,Drexel University,Field,"Exercise Science, Kinesiology, Rehab, Health",3,1,1
East Carolina University,East Carolina University,Field,"Exercise Science, Kinesiology, Rehab, Health",4,1,3
Florida International University,Florida International University,Field,"Exercise Science, Kinesiology, Rehab, Health",4,3,1
Nova Southeastern University,Florida International University,Field,"Exercise Science, Kinesiology, Rehab, Health",3,2,1
Ball State University,Florida State University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
Texas Woman's University,Florida State University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
"University of Iowa, The",Florida State University,Field,"Exercise Science, Kinesiology, Rehab, Health",2,1,1
