InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
University of Louisiana at Lafayette,Auburn University,Field,Finance,2,1,1
George Washington University,Boston College,Field,Finance,2,1,1
Marquette University,Boston College,Field,Finance,2,1,1
Vanderbilt University,Brown University,Field,Finance,2,1,1
Marquette University,"Catholic University of America, The",Field,Finance,2,1,1
Baruch College (CUNY),"City University of New York, The",Field,Finance,3,1,2
Baruch College (CUNY),Columbia University,Field,Finance,4,1,3
Columbia University,Columbia University,Field,Finance,2,1,1
University of Colorado Boulder,Columbia University,Field,Finance,3,1,2
Temple University,Cornell University,Field,Finance,2,1,1
University of Miami,Cornell University,Field,Finance,2,1,1
University of Missouri,Drexel University,Field,Finance,2,1,1
University of Pennsylvania,Duke University,Field,Finance,3,1,2
East Carolina University,Florida Atlantic University,Field,Finance,2,1,1
University of Central Florida,Florida Atlantic University,Field,Finance,2,1,1
Kansas State University,Florida State University,Field,Finance,2,1,1
Louisiana State University,Florida State University,Field,Finance,2,1,1
Middle Tennessee State University,Florida State University,Field,Finance,3,1,2
"University of Akron, The",Florida State University,Field,Finance,2,1,1
University of Connecticut,Florida State University,Field,Finance,2,1,1
University of South Florida,Florida State University,Field,Finance,2,1,1
Howard University,George Washington University,Field,Finance,3,1,2
Florida Atlantic University,Georgia State University,Field,Finance,4,2,1
Florida International University,Georgia State University,Field,Finance,2,1,1
Northeastern University,Georgia State University,Field,Finance,2,1,1
Tulane University,Georgia State University,Field,Finance,2,1,1
University of Connecticut,Georgia State University,Field,Finance,3,1,2
Columbia University,Harvard University,Field,Finance,6,1,5
New York University,Harvard University,Field,Finance,7,1,6
Northwestern University,Harvard University,Field,Finance,6,2,4
University of Pennsylvania,Harvard University,Field,Finance,3,1,2
University of Southern California,Harvard University,Field,Finance,4,1,3
Jackson State University,Howard University,Field,Finance,3,1,1
West Virginia University,Johns Hopkins University,Field,Finance,2,1,1
"Binghamton University, State University of New York",Louisiana State University,Field,Finance,3,1,2
Marquette University,Marquette University,Field,Finance,6,1,5
Columbia University,Massachusetts Institute of Technology,Field,Finance,10,2,8
New York University,Massachusetts Institute of Technology,Field,Finance,3,1,2
Northwestern University,Massachusetts Institute of Technology,Field,Finance,9,2,7
"Ohio State University, The",Massachusetts Institute of Technology,Field,Finance,3,1,2
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Field,Finance,8,1,5
University of Southern California,Massachusetts Institute of Technology,Field,Finance,5,1,4
Tulane University,Michigan State University,Field,Finance,2,1,1
Baruch College (CUNY),New York University,Field,Finance,7,3,4
Boston College,New York University,Field,Finance,2,1,1
Columbia University,New York University,Field,Finance,4,1,2
Fordham University,New York University,Field,Finance,6,1,4
Harvard University,New York University,Field,Finance,2,1,1
New York University,New York University,Field,Finance,6,1,4
Rutgers  - Newark,New York University,Field,Finance,4,1,2
University of Colorado Boulder,New York University,Field,Finance,3,1,2
University of Illinois at Urbana-Champaign,New York University,Field,Finance,4,1,2
Columbia University,Northwestern University,Field,Finance,3,1,2
University of Houston,Northwestern University,Field,Finance,2,1,1
University of Wisconsin - Madison,Northwestern University,Field,Finance,3,2,1
Vanderbilt University,Northwestern University,Field,Finance,3,2,1
"University of Alabama, The","Ohio State University, The",Field,Finance,2,1,1
University of Georgia,"Ohio State University, The",Field,Finance,2,1,1
University of Pittsburgh,"Ohio State University, The",Field,Finance,2,1,1
Texas A&M Corpus Christi,Oklahoma State University,Field,Finance,2,1,1
Drexel University,"Pennsylvania State University, The",Field,Finance,4,1,3
Texas A&M University,"Pennsylvania State University, The",Field,Finance,2,1,1
"University of Texas at Austin, The",Princeton University,Field,Finance,2,1,1
"Pennsylvania State University, The",Purdue University,Field,Finance,3,1,1
"University of Utah, The",Purdue University,Field,Finance,2,1,1
University of Virginia,Purdue University,Field,Finance,2,1,1
Arizona State University,Stanford University,Field,Finance,3,1,2
Columbia University,Stanford University,Field,Finance,4,1,2
Harvard University,Stanford University,Field,Finance,2,1,1
New York University,Stanford University,Field,Finance,8,2,6
Northwestern University,Stanford University,Field,Finance,4,2,1
University of Colorado Boulder,Stanford University,Field,Finance,5,2,3
"University of Minnesota, Twin Cities",Stanford University,Field,Finance,2,1,1
"Binghamton University, State University of New York",Syracuse University,Field,Finance,2,1,1
Texas State University,Texas A&M University,Field,Finance,4,1,3
University of Texas Rio Grande Valley,Texas A&M University,Field,Finance,3,1,2
Clemson University,Texas Tech University,Field,Finance,3,1,2
"University of Akron, The","University of Akron, The",Field,Finance,2,1,1
Florida Atlantic University,"University of Alabama, The",Field,Finance,2,1,1
"University of Southern Mississippi, The","University of Alabama, The",Field,Finance,3,1,2
Oklahoma State University,"University of Arizona, The",Field,Finance,2,1,1
Utah State University,"University of Arizona, The",Field,Finance,4,1,2
Arizona State University,"University of California, Berkeley",Field,Finance,2,1,1
Columbia University,"University of California, Berkeley",Field,Finance,5,2,3
University of Colorado Boulder,"University of California, Berkeley",Field,Finance,3,2,1
"University of Utah, The","University of California, Berkeley",Field,Finance,2,1,1
University of Delaware,"University of California, Los Angeles",Field,Finance,2,1,1
University of Southern California,"University of California, Los Angeles",Field,Finance,10,1,8
"University of Texas at Austin, The","University of California, Los Angeles",Field,Finance,2,1,1
Arizona State University,"University of California, San Diego",Field,Finance,2,1,1
North Dakota State University,University of Central Florida,Field,Finance,2,1,1
Harvard University,"University of Chicago, The",Field,Finance,3,1,2
New York University,"University of Chicago, The",Field,Finance,6,1,5
"Ohio State University, The","University of Chicago, The",Field,Finance,4,1,2
University of Illinois at Urbana-Champaign,"University of Chicago, The",Field,Finance,5,1,4
University of Pennsylvania,"University of Chicago, The",Field,Finance,11,1,10
"University of Texas at Dallas, The","University of Chicago, The",Field,Finance,3,1,2
University of Virginia,"University of Chicago, The",Field,Finance,2,1,1
University of Washington,"University of Chicago, The",Field,Finance,4,1,3
Clemson University,University of Florida,Field,Finance,3,1,2
University of Kentucky,University of Florida,Field,Finance,3,2,1
"University of Tennessee, The",University of Florida,Field,Finance,2,1,1
Clemson University,University of Georgia,Field,Finance,3,2,1
Miami University,University of Georgia,Field,Finance,2,1,1
"University of Alabama, The",University of Georgia,Field,Finance,2,1,1
Texas A&M Corpus Christi,University of Houston,Field,Finance,4,2,2
University of Wyoming,"University of Kansas, The",Field,Finance,2,1,1
"University of Mississippi, The",University of Memphis,Field,Finance,2,1,1
"University of Iowa, The",University of Michigan,Field,Finance,2,1,1
University of Pittsburgh,University of Michigan,Field,Finance,2,1,1
Indiana University - Bloomington,"University of Minnesota, Twin Cities",Field,Finance,2,1,1
University of Pennsylvania,"University of Minnesota, Twin Cities",Field,Finance,4,1,3
University of Southern California,"University of Minnesota, Twin Cities",Field,Finance,2,1,1
Vanderbilt University,"University of Minnesota, Twin Cities",Field,Finance,3,1,2
"Binghamton University, State University of New York",University of Missouri,Field,Finance,3,1,2
Florida International University,University of Nebraska - Lincoln,Field,Finance,2,1,1
Mississippi State University,University of Nebraska - Lincoln,Field,Finance,2,1,1
Baruch College (CUNY),University of North Carolina at Chapel Hill,Field,Finance,2,1,1
"University of Alabama, The",University of North Carolina at Chapel Hill,Field,Finance,2,1,1
University of Virginia,University of North Carolina at Chapel Hill,Field,Finance,2,1,1
Clemson University,University of North Texas,Field,Finance,2,1,1
Marquette University,University of Notre Dame,Field,Finance,7,2,5
Boston College,University of Pennsylvania,Field,Finance,3,1,1
Johns Hopkins University,University of Pennsylvania,Field,Finance,3,1,2
New York University,University of Pennsylvania,Field,Finance,3,1,2
University of Colorado Boulder,University of Pennsylvania,Field,Finance,5,1,3
Vanderbilt University,University of Pennsylvania,Field,Finance,4,1,3
"Pennsylvania State University, The",University of Rochester,Field,Finance,3,1,2
Clemson University,University of South Carolina,Field,Finance,4,1,3
Texas A&M Corpus Christi,University of South Florida,Field,Finance,2,1,1
University of Southern California,University of Southern California,Field,Finance,6,2,1
Texas A&M University-Commerce,University of Texas Arlington,Field,Finance,3,2,1
Middle Tennessee State University,"University of Texas at Austin, The",Field,Finance,4,1,1
