InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Geology,9,1,7
"Stony Brook University, State University of New York",Arizona State University,Field,Geology,2,1,1
"University of Arizona, The",Brown University,Field,Geology,3,1,2
"University of Tennessee, The",Brown University,Field,Geology,3,1,2
California Institute of Technology,California Institute of Technology,Field,Geology,7,1,5
Cornell University,California Institute of Technology,Field,Geology,2,1,1
Harvard University,California Institute of Technology,Field,Geology,3,1,2
Johns Hopkins University,California Institute of Technology,Field,Geology,2,1,1
Massachusetts Institute of Technology,California Institute of Technology,Field,Geology,7,3,3
Northwestern University,California Institute of Technology,Field,Geology,3,1,2
Purdue University,California Institute of Technology,Field,Geology,3,1,1
University of Alaska Fairbanks,California Institute of Technology,Field,Geology,2,1,1
"University of California, Davis",California Institute of Technology,Field,Geology,5,2,3
"University of California, Santa Cruz",California Institute of Technology,Field,Geology,5,1,2
University of Washington,California Institute of Technology,Field,Geology,3,1,2
Lehman College (CUNY),"City University of New York, The",Field,Geology,2,1,1
Clemson University,Clemson University,Field,Geology,4,1,3
University of Houston,Colorado School of Mines,Field,Geology,3,1,2
George Mason University,Colorado State University,Field,Geology,2,1,1
Columbia University,Columbia University,Field,Geology,12,3,8
Duke University,Columbia University,Field,Geology,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Geology,6,1,5
Tulane University,Columbia University,Field,Geology,2,1,1
University of Alaska Fairbanks,Columbia University,Field,Geology,2,1,1
"University of Maryland, College Park",Columbia University,Field,Geology,2,1,1
University of Southern California,Columbia University,Field,Geology,3,1,2
University of South Carolina,Cornell University,Field,Geology,2,1,1
Arizona State University,Dartmouth College,Field,Geology,2,1,1
Washington State University,Dartmouth College,Field,Geology,2,1,1
Arizona State University,Harvard University,Field,Geology,2,1,1
Columbia University,Harvard University,Field,Geology,7,1,5
Johns Hopkins University,Harvard University,Field,Geology,4,1,3
Massachusetts Institute of Technology,Harvard University,Field,Geology,7,1,6
"University of California, Santa Barbara",Harvard University,Field,Geology,3,1,2
University of Michigan,Harvard University,Field,Geology,3,1,1
"University of Tennessee, The",Harvard University,Field,Geology,2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Geology,4,1,3
"University of Iowa, The",Johns Hopkins University,Field,Geology,3,2,1
University of Pittsburgh,Johns Hopkins University,Field,Geology,2,1,1
Kent State University,Kent State University,Field,Geology,3,2,1
Loma Linda University,Loma Linda University,Field,Geology,7,1,6
Auburn University,Louisiana State University,Field,Geology,2,1,1
University of Louisiana at Lafayette,Louisiana State University,Field,Geology,3,2,1
Arizona State University,Massachusetts Institute of Technology,Field,Geology,7,1,6
Boise State University,Massachusetts Institute of Technology,Field,Geology,4,1,2
Brown University,Massachusetts Institute of Technology,Field,Geology,4,1,3
California Institute of Technology,Massachusetts Institute of Technology,Field,Geology,4,1,3
Case Western Reserve University,Massachusetts Institute of Technology,Field,Geology,2,1,1
Columbia University,Massachusetts Institute of Technology,Field,Geology,4,1,3
Cornell University,Massachusetts Institute of Technology,Field,Geology,2,1,1
Florida State University,Massachusetts Institute of Technology,Field,Geology,5,1,4
George Mason University,Massachusetts Institute of Technology,Field,Geology,3,1,1
Harvard University,Massachusetts Institute of Technology,Field,Geology,4,1,3
Oregon State University,Massachusetts Institute of Technology,Field,Geology,9,2,7
Tulane University,Massachusetts Institute of Technology,Field,Geology,3,2,1
"University of Chicago, The",Massachusetts Institute of Technology,Field,Geology,4,1,3
University of Colorado Boulder,Massachusetts Institute of Technology,Field,Geology,5,1,4
"University of Minnesota, Twin Cities",Massachusetts Institute of Technology,Field,Geology,4,1,3
University of New Hampshire,Massachusetts Institute of Technology,Field,Geology,4,3,1
"University of New Mexico, The",Massachusetts Institute of Technology,Field,Geology,3,2,1
University of Oregon,Massachusetts Institute of Technology,Field,Geology,3,1,2
University of South Carolina,Massachusetts Institute of Technology,Field,Geology,2,1,1
University of Washington,Massachusetts Institute of Technology,Field,Geology,3,1,2
Yale University,Massachusetts Institute of Technology,Field,Geology,3,1,1
George Mason University,Michigan State University,Field,Geology,2,1,1
University of Colorado Boulder,Michigan State University,Field,Geology,2,1,1
Mississippi State University,Mississippi State University,Field,Geology,2,1,1
Colorado School of Mines,Missouri University of Science and Technology,Field,Geology,2,1,1
George Mason University,North Carolina State University,Field,Geology,2,1,1
University of Texas Arlington,Northwestern University,Field,Geology,2,1,1
George Mason University,"Ohio State University, The",Field,Geology,2,1,1
Texas Tech University,"Ohio State University, The",Field,Geology,2,1,1
"University of Maine, The","Ohio State University, The",Field,Geology,3,1,2
Kent State University,Oregon State University,Field,Geology,2,1,1
Oregon State University,Oregon State University,Field,Geology,23,6,15
"Binghamton University, State University of New York","Pennsylvania State University, The",Field,Geology,2,1,1
Cleveland State University,"Pennsylvania State University, The",Field,Geology,2,1,1
Missouri University of Science and Technology,"Pennsylvania State University, The",Field,Geology,2,1,1
Southern Illinois University Carbondale,"Pennsylvania State University, The",Field,Geology,2,1,1
"Stony Brook University, State University of New York","Pennsylvania State University, The",Field,Geology,2,1,1
Syracuse University,"Pennsylvania State University, The",Field,Geology,2,1,1
"University of California, Santa Cruz","Pennsylvania State University, The",Field,Geology,2,1,1
West Virginia University,"Pennsylvania State University, The",Field,Geology,6,1,4
Arizona State University,Princeton University,Field,Geology,3,1,2
"Pennsylvania State University, The",Princeton University,Field,Geology,4,1,3
South Dakota School of Mines & Technology,Princeton University,Field,Geology,2,1,1
University of Pennsylvania,Princeton University,Field,Geology,2,1,1
Ball State University,Purdue University,Field,Geology,2,1,1
West Virginia University,Rutgers - New Brunswick,Field,Geology,2,1,1
Colorado State University,Stanford University,Field,Geology,2,1,1
Cornell University,Stanford University,Field,Geology,3,2,1
Indiana University - Bloomington,Stanford University,Field,Geology,2,1,1
"Ohio State University, The",Stanford University,Field,Geology,2,1,1
Oregon State University,Stanford University,Field,Geology,5,1,4
Princeton University,Stanford University,Field,Geology,2,1,1
Stanford University,Stanford University,Field,Geology,9,3,6
Temple University,Stanford University,Field,Geology,2,1,1
Texas A&M University,Stanford University,Field,Geology,3,1,2
University of Alaska Fairbanks,Stanford University,Field,Geology,2,1,1
"University of California, Irvine",Stanford University,Field,Geology,4,1,3
University of Idaho,Stanford University,Field,Geology,2,1,1
University of Notre Dame,Stanford University,Field,Geology,2,1,1
University of Texas Arlington,Stanford University,Field,Geology,2,1,1
University of Washington,Stanford University,Field,Geology,2,1,1
West Virginia University,Stanford University,Field,Geology,2,1,1
Purdue University,"Stony Brook University, State University of New York",Field,Geology,3,1,2
Rutgers  - Newark,"Stony Brook University, State University of New York",Field,Geology,2,1,1
Tufts University,Syracuse University,Field,Geology,2,1,1
