InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Ball State University,Arizona State University,Field,History,2,1,1
Texas A&M University,Boston College,Field,History,2,1,1
Purdue University,Boston University,Field,History,3,2,1
Indiana University - Bloomington,Brandeis University,Field,History,3,1,2
University of Hawaii,Brandeis University,Field,History,2,1,1
Miami University,Brown University,Field,History,4,1,2
Michigan State University,Brown University,Field,History,2,1,1
Southern Illinois University Carbondale,Brown University,Field,History,2,1,1
"University of Chicago, The",Brown University,Field,History,2,1,1
University of Florida,Brown University,Field,History,2,1,1
University of Notre Dame,Brown University,Field,History,3,2,1
University of Wisconsin - Madison,Brown University,Field,History,2,1,1
"University of Nevada, Las Vegas",Carnegie Mellon University,Field,History,2,1,1
"University of Nevada, Las Vegas","City University of New York, The",Field,History,3,2,1
Middle Tennessee State University,"College of William & Mary, The",Field,History,3,1,1
Arizona State University,Columbia University,Field,History,3,2,1
Baruch College (CUNY),Columbia University,Field,History,4,2,2
Boston College,Columbia University,Field,History,4,2,2
Brown University,Columbia University,Field,History,4,2,1
City College (CUNY),Columbia University,Field,History,5,3,2
"College of William & Mary, The",Columbia University,Field,History,3,1,2
Columbia University,Columbia University,Field,History,11,6,5
Cornell University,Columbia University,Field,History,5,4,1
Drew University,Columbia University,Field,History,3,2,1
Fordham University,Columbia University,Field,History,3,1,2
George Mason University,Columbia University,Field,History,3,1,2
George Washington University,Columbia University,Field,History,5,2,3
Harvard University,Columbia University,Field,History,5,2,3
Johns Hopkins University,Columbia University,Field,History,5,2,3
Lehman College (CUNY),Columbia University,Field,History,3,1,2
New York University,Columbia University,Field,History,2,1,1
"Ohio State University, The",Columbia University,Field,History,6,1,5
Oregon State University,Columbia University,Field,History,2,1,1
"Pennsylvania State University, The",Columbia University,Field,History,4,3,1
Princeton University,Columbia University,Field,History,3,2,1
Rutgers  - Newark,Columbia University,Field,History,2,1,1
Rutgers - New Brunswick,Columbia University,Field,History,9,5,3
Stanford University,Columbia University,Field,History,3,1,2
"Stony Brook University, State University of New York",Columbia University,Field,History,2,1,1
Temple University,Columbia University,Field,History,2,1,1
Texas A&M University,Columbia University,Field,History,2,1,1
Tufts University,Columbia University,Field,History,3,1,1
"University of California, Berkeley",Columbia University,Field,History,6,2,4
"University of California, Los Angeles",Columbia University,Field,History,4,1,3
"University of California, San Diego",Columbia University,Field,History,5,4,1
"University of Chicago, The",Columbia University,Field,History,5,1,4
University of Connecticut,Columbia University,Field,History,7,1,6
University of Delaware,Columbia University,Field,History,4,2,2
University of Hawaii,Columbia University,Field,History,2,1,1
University of Houston,Columbia University,Field,History,3,1,2
University of Massachusetts Boston,Columbia University,Field,History,3,1,2
University of Massachusetts Lowell,Columbia University,Field,History,2,1,1
University of Miami,Columbia University,Field,History,4,2,1
University of Michigan,Columbia University,Field,History,7,2,4
"University of Mississippi, The",Columbia University,Field,History,2,1,1
University of Pennsylvania,Columbia University,Field,History,4,2,2
University of Pittsburgh,Columbia University,Field,History,3,1,2
University of Southern California,Columbia University,Field,History,4,1,3
"University of Texas at Austin, The",Columbia University,Field,History,3,2,1
University of Virginia,Columbia University,Field,History,3,1,2
University of Wisconsin - Madison,Columbia University,Field,History,7,3,4
Western Michigan University,Columbia University,Field,History,2,1,1
Yale University,Columbia University,Field,History,6,2,4
American University,Cornell University,Field,History,2,1,1
Cornell University,Cornell University,Field,History,3,1,1
Rice University,Cornell University,Field,History,3,1,2
Rutgers - New Brunswick,Cornell University,Field,History,4,3,1
Southern Methodist University,Cornell University,Field,History,2,1,1
"University of California, Los Angeles",Cornell University,Field,History,3,1,2
"University of California, Santa Cruz",Cornell University,Field,History,2,1,1
University of North Carolina at Chapel Hill,Cornell University,Field,History,2,1,1
University of Oklahoma,Cornell University,Field,History,2,1,1
"University of Texas at Austin, The",Cornell University,Field,History,3,1,2
University of Wisconsin - Milwaukee,Cornell University,Field,History,2,1,1
Virginia Polytechnic Institute and State University,Cornell University,Field,History,2,1,1
Wayne State University,Cornell University,Field,History,3,2,1
Auburn University,Duke University,Field,History,3,1,2
Emory University,Duke University,Field,History,2,1,1
Georgia State University,Duke University,Field,History,2,1,1
New York University,Duke University,Field,History,2,1,1
Texas A&M University,Duke University,Field,History,2,1,1
University of Florida,Duke University,Field,History,3,1,2
"University of North Carolina at Greensboro, The",Duke University,Field,History,2,1,1
University of Rhode Island,Duke University,Field,History,2,1,1
University of Virginia,Duke University,Field,History,2,1,1
Auburn University,Emory University,Field,History,2,1,1
George Mason University,Emory University,Field,History,2,1,1
Georgia State University,Emory University,Field,History,3,2,1
Rice University,Emory University,Field,History,2,1,1
"University of Alabama at Birmingham, The",Emory University,Field,History,3,1,2
"University of Missouri - Kansas City, The",Emory University,Field,History,3,2,1
University of South Carolina,Emory University,Field,History,2,1,1
Florida A&M University,Florida A&M University,Field,History,2,1,1
Florida A&M University,Florida State University,Field,History,16,5,9
University of Central Florida,Florida State University,Field,History,5,1,4
George Mason University,George Mason University,Field,History,2,1,1
Purdue University,Georgetown University,Field,History,2,1,1
American University,Harvard University,Field,History,4,1,3
Arizona State University,Harvard University,Field,History,3,1,1
Boston College,Harvard University,Field,History,5,1,2
Brandeis University,Harvard University,Field,History,3,1,2
Brown University,Harvard University,Field,History,9,3,4
Carnegie Mellon University,Harvard University,Field,History,3,1,2
"Catholic University of America, The",Harvard University,Field,History,2,1,1
"College of William & Mary, The",Harvard University,Field,History,7,1,5
Columbia University,Harvard University,Field,History,11,3,8
Cornell University,Harvard University,Field,History,6,1,4
Drew University,Harvard University,Field,History,2,1,1
Duke University,Harvard University,Field,History,3,1,2
Florida State University,Harvard University,Field,History,3,1,2
George Mason University,Harvard University,Field,History,3,1,2
Georgetown University,Harvard University,Field,History,7,1,5
Harvard University,Harvard University,Field,History,11,4,6
Indiana University - Bloomington,Harvard University,Field,History,4,1,2
Johns Hopkins University,Harvard University,Field,History,2,1,1
Lehman College (CUNY),Harvard University,Field,History,3,1,2
Massachusetts Institute of Technology,Harvard University,Field,History,5,2,3
New York University,Harvard University,Field,History,3,2,1
North Carolina State University,Harvard University,Field,History,2,1,1
Northwestern University,Harvard University,Field,History,5,1,4
"Ohio State University, The",Harvard University,Field,History,2,1,1
Oregon State University,Harvard University,Field,History,3,2,1
Princeton University,Harvard University,Field,History,7,3,4
Rutgers - New Brunswick,Harvard University,Field,History,6,2,3
Saint Louis University,Harvard University,Field,History,2,1,1
Sam Houston State University,Harvard University,Field,History,2,1,1
Stanford University,Harvard University,Field,History,9,3,4
"Stony Brook University, State University of New York",Harvard University,Field,History,3,1,2
Temple University,Harvard University,Field,History,3,2,1
Tufts University,Harvard University,Field,History,6,2,3
"University at Buffalo, State University of New York",Harvard University,Field,History,2,1,1
"University of California, Berkeley",Harvard University,Field,History,10,5,5
"University of California, San Diego",Harvard University,Field,History,6,1,5
"University of California, Santa Cruz",Harvard University,Field,History,4,1,3
"University of Chicago, The",Harvard University,Field,History,7,1,5
University of Colorado Boulder,Harvard University,Field,History,3,1,2
University of Connecticut,Harvard University,Field,History,3,1,2
University of Houston,Harvard University,Field,History,2,1,1
University of Illinois at Urbana-Champaign,Harvard University,Field,History,3,1,2
"University of Maryland, College Park",Harvard University,Field,History,4,1,3
University of Massachusetts Boston,Harvard University,Field,History,3,1,1
University of Michigan,Harvard University,Field,History,6,1,4
"University of Minnesota, Twin Cities",Harvard University,Field,History,2,1,1
"University of Mississippi, The",Harvard University,Field,History,4,2,2
University of Missouri,Harvard University,Field,History,2,1,1
University of Missouri - St. Louis,Harvard University,Field,History,2,1,1
University of North Carolina at Chapel Hill,Harvard University,Field,History,6,1,5
University of Notre Dame,Harvard University,Field,History,4,1,3
University of Pennsylvania,Harvard University,Field,History,12,4,7
University of Pittsburgh,Harvard University,Field,History,4,1,3
"University of Tennessee, The",Harvard University,Field,History,3,1,2
"University of Texas at Austin, The",Harvard University,Field,History,2,1,1
"University of Texas at Dallas, The",Harvard University,Field,History,3,1,1
University of Virginia,Harvard University,Field,History,4,1,3
University of Washington,Harvard University,Field,History,4,1,3
Vanderbilt University,Harvard University,Field,History,7,2,4
Virginia Polytechnic Institute and State University,Harvard University,Field,History,2,1,1
Wake Forest University,Harvard University,Field,History,3,2,1
Washington University in St. Louis,Harvard University,Field,History,6,3,3
Western Michigan University,Harvard University,Field,History,2,1,1
Yale University,Harvard University,Field,History,12,5,7
Michigan State University,Howard University,Field,History,2,1,1
Morgan State University,Howard University,Field,History,5,2,3
Arizona State University,Indiana University - Bloomington,Field,History,3,2,1
Ball State University,Indiana University - Bloomington,Field,History,4,2,1
Michigan State University,Indiana University - Bloomington,Field,History,2,1,1
Texas Christian University,Indiana University - Bloomington,Field,History,2,1,1
University of Houston,Indiana University - Bloomington,Field,History,3,2,1
"University of Kansas, The",Indiana University - Bloomington,Field,History,2,1,1
"University of New Mexico, The",Indiana University - Bloomington,Field,History,2,1,1
Virginia Commonwealth University,Indiana University - Bloomington,Field,History,3,1,2
Wake Forest University,Indiana University - Bloomington,Field,History,2,1,1
Duke University,Johns Hopkins University,Field,History,3,1,2
George Mason University,Johns Hopkins University,Field,History,4,3,1
Indiana University - Bloomington,Johns Hopkins University,Field,History,2,1,1
