InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
University of Missouri,Arizona State University,Field,"Human Development and Family Sciences, General",5,3,2
University of Oregon,Arizona State University,Field,"Human Development and Family Sciences, General",2,1,1
Clemson University,Auburn University,Field,"Human Development and Family Sciences, General",2,1,1
East Carolina University,Auburn University,Field,"Human Development and Family Sciences, General",2,1,1
"University of Alabama at Birmingham, The",Auburn University,Field,"Human Development and Family Sciences, General",6,3,3
Tufts University,Boston College,Field,"Human Development and Family Sciences, General",2,1,1
Brigham Young University,Brigham Young University,Field,"Human Development and Family Sciences, General",8,2,4
"University of Tennessee, The",Brigham Young University,Field,"Human Development and Family Sciences, General",2,1,1
Utah State University,Brigham Young University,Field,"Human Development and Family Sciences, General",6,1,3
Clemson University,Clemson University,Field,"Human Development and Family Sciences, General",3,2,1
University of Connecticut,Columbia University,Field,"Human Development and Family Sciences, General",2,1,1
"Ohio State University, The",Cornell University,Field,"Human Development and Family Sciences, General",4,3,1
"University of California, Davis",Cornell University,Field,"Human Development and Family Sciences, General",4,1,3
University of Illinois at Urbana-Champaign,Cornell University,Field,"Human Development and Family Sciences, General",2,1,1
"University of North Carolina at Greensboro, The",Cornell University,Field,"Human Development and Family Sciences, General",3,1,2
"University of Vermont, The",Cornell University,Field,"Human Development and Family Sciences, General",3,1,2
Texas Woman's University,Florida State University,Field,"Human Development and Family Sciences, General",2,1,1
University of South Florida,Florida State University,Field,"Human Development and Family Sciences, General",2,1,1
George Washington University,George Washington University,Field,"Human Development and Family Sciences, General",5,4,1
"University of Vermont, The",Georgia Institute of Technology,Field,"Human Development and Family Sciences, General",2,1,1
Vanderbilt University,Georgia State University,Field,"Human Development and Family Sciences, General",2,1,1
Cornell University,Harvard University,Field,"Human Development and Family Sciences, General",4,2,1
Fielding Graduate University,Harvard University,Field,"Human Development and Family Sciences, General",2,1,1
Harvard University,Harvard University,Field,"Human Development and Family Sciences, General",6,3,2
Northwestern University,Harvard University,Field,"Human Development and Family Sciences, General",4,1,2
University of Connecticut,Harvard University,Field,"Human Development and Family Sciences, General",3,2,1
Vanderbilt University,Harvard University,Field,"Human Development and Family Sciences, General",2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,"Human Development and Family Sciences, General",9,4,4
"Ohio State University, The",Indiana University - Bloomington,Field,"Human Development and Family Sciences, General",2,1,1
North Dakota State University,Iowa State University,Field,"Human Development and Family Sciences, General",3,2,1
Oklahoma State University,Iowa State University,Field,"Human Development and Family Sciences, General",3,1,2
University of Illinois at Urbana-Champaign,Iowa State University,Field,"Human Development and Family Sciences, General",4,1,3
University of Kentucky,Iowa State University,Field,"Human Development and Family Sciences, General",2,1,1
Washington State University,Iowa State University,Field,"Human Development and Family Sciences, General",2,1,1
University of Pittsburgh,Johns Hopkins University,Field,"Human Development and Family Sciences, General",3,2,1
"University of Southern Mississippi, The",Louisiana State University,Field,"Human Development and Family Sciences, General",2,1,1
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Field,"Human Development and Family Sciences, General",2,1,1
Michigan State University,Michigan State University,Field,"Human Development and Family Sciences, General",21,10,8
Oregon State University,Michigan State University,Field,"Human Development and Family Sciences, General",4,2,1
Montana State University,Montana State University,Field,"Human Development and Family Sciences, General",3,2,1
North Carolina State University,North Carolina State University,Field,"Human Development and Family Sciences, General",7,5,2
Northwestern University,Northwestern University,Field,"Human Development and Family Sciences, General",10,7,3
"University of Texas at Austin, The",Northwestern University,Field,"Human Development and Family Sciences, General",2,1,1
North Carolina Agricultural and Technical State University,"Ohio State University, The",Field,"Human Development and Family Sciences, General",2,1,1
North Carolina State University,"Ohio State University, The",Field,"Human Development and Family Sciences, General",2,1,1
"Ohio State University, The","Ohio State University, The",Field,"Human Development and Family Sciences, General",24,10,11
University of Colorado Denver,"Ohio State University, The",Field,"Human Development and Family Sciences, General",3,2,1
University of Kentucky,"Ohio State University, The",Field,"Human Development and Family Sciences, General",5,3,2
Texas Woman's University,Oklahoma State University,Field,"Human Development and Family Sciences, General",3,1,2
University of Illinois at Urbana-Champaign,Oklahoma State University,Field,"Human Development and Family Sciences, General",2,1,1
Montana State University,Oregon State University,Field,"Human Development and Family Sciences, General",3,2,1
Oklahoma State University,Oregon State University,Field,"Human Development and Family Sciences, General",2,1,1
Oregon State University,Oregon State University,Field,"Human Development and Family Sciences, General",8,4,3
Purdue University,Oregon State University,Field,"Human Development and Family Sciences, General",2,1,1
Washington State University,Oregon State University,Field,"Human Development and Family Sciences, General",2,1,1
Arizona State University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",2,1,1
Colorado State University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",3,1,2
Iowa State University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",5,4,1
"Ohio State University, The","Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",7,4,2
Oklahoma State University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",3,1,2
"Pennsylvania State University, The","Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",4,2,2
Purdue University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",4,3,1
"University of California, Davis","Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",3,1,1
University of Illinois at Urbana-Champaign,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",2,1,1
University of Kentucky,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",3,1,2
"University of Maryland, College Park","Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",3,1,2
University of Wisconsin - Madison,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",2,1,1
Utah State University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",5,2,2
Washington State University,"Pennsylvania State University, The",Field,"Human Development and Family Sciences, General",3,2,1
Oregon State University,Portland State University,Field,"Human Development and Family Sciences, General",2,1,1
Indiana University - Bloomington,Purdue University,Field,"Human Development and Family Sciences, General",2,1,1
Michigan State University,Purdue University,Field,"Human Development and Family Sciences, General",3,2,1
"University of Alabama at Birmingham, The",Purdue University,Field,"Human Development and Family Sciences, General",2,1,1
University of Nebraska - Lincoln,Purdue University,Field,"Human Development and Family Sciences, General",2,1,1
"University of North Carolina at Greensboro, The",Purdue University,Field,"Human Development and Family Sciences, General",2,1,1
Cornell University,Stanford University,Field,"Human Development and Family Sciences, General",2,1,1
Michigan State University,Stanford University,Field,"Human Development and Family Sciences, General",2,1,1
Northwestern University,Stanford University,Field,"Human Development and Family Sciences, General",5,4,1
Teachers College Columbia University,Stanford University,Field,"Human Development and Family Sciences, General",2,1,1
Tufts University,Stanford University,Field,"Human Development and Family Sciences, General",2,1,1
University of Colorado Denver,Stanford University,Field,"Human Development and Family Sciences, General",2,1,1
"University of Maryland, College Park",Stanford University,Field,"Human Development and Family Sciences, General",2,1,1
North Carolina State University,Texas A&M University,Field,"Human Development and Family Sciences, General",2,1,1
"Ohio State University, The",Texas A&M University,Field,"Human Development and Family Sciences, General",2,1,1
Brigham Young University,Texas Tech University,Field,"Human Development and Family Sciences, General",3,1,2
Oklahoma State University,Texas Tech University,Field,"Human Development and Family Sciences, General",3,1,2
Utah State University,"University of Arizona, The",Field,"Human Development and Family Sciences, General",2,1,1
"University of Alabama, The",University of Arkansas,Field,"Human Development and Family Sciences, General",2,1,1
Northwestern University,"University of California, Berkeley",Field,"Human Development and Family Sciences, General",4,2,2
"University of California, Davis","University of California, Berkeley",Field,"Human Development and Family Sciences, General",9,3,6
