InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Indiana University - Bloomington,"Binghamton University, State University of New York",Field,Information Science,3,1,2
Boston University,Boston University,Field,Information Science,2,1,1
Cornell University,Carnegie Mellon University,Field,Information Science,2,1,1
Drexel University,Carnegie Mellon University,Field,Information Science,2,1,1
Northeastern University,Carnegie Mellon University,Field,Information Science,2,1,1
University of Illinois at Urbana-Champaign,Carnegie Mellon University,Field,Information Science,2,1,1
University of Michigan,Carnegie Mellon University,Field,Information Science,5,2,2
"University of California, Los Angeles",Columbia University,Field,Information Science,3,2,1
University of Pennsylvania,Columbia University,Field,Information Science,4,1,3
Indiana University - Bloomington,Cornell University,Field,Information Science,2,1,1
University of Pennsylvania,Cornell University,Field,Information Science,3,1,2
Drexel University,Drexel University,Field,Information Science,2,1,1
Kent State University,Emporia State University,Field,Information Science,2,1,1
Florida A&M University,Florida A&M University,Field,Information Science,2,1,1
Florida A&M University,Florida State University,Field,Information Science,16,5,9
Florida State University,Florida State University,Field,Information Science,2,1,1
Texas Woman's University,Florida State University,Field,Information Science,3,1,1
"University of Tennessee, The",Florida State University,Field,Information Science,2,1,1
"University of California, Irvine",Georgia Institute of Technology,Field,Information Science,2,1,1
Boston University,Harvard University,Field,Information Science,2,1,1
Drexel University,Harvard University,Field,Information Science,2,1,1
Northeastern University,Harvard University,Field,Information Science,6,1,5
East Carolina University,Indiana University - Bloomington,Field,Information Science,2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Information Science,8,2,5
Kansas State University,Iowa State University,Field,Information Science,4,2,2
Purdue University,Iowa State University,Field,Information Science,2,1,1
Northeastern University,Johns Hopkins University,Field,Information Science,3,1,2
Indiana University - Bloomington,Massachusetts Institute of Technology,Field,Information Science,3,1,2
Northeastern University,Massachusetts Institute of Technology,Field,Information Science,9,1,7
"University of California, Irvine",Massachusetts Institute of Technology,Field,Information Science,2,1,1
University of Michigan,Massachusetts Institute of Technology,Field,Information Science,5,1,4
Michigan State University,Michigan State University,Field,Information Science,3,2,1
Brooklyn College (CUNY),New York University,Field,Information Science,10,1,8
Oregon Health & Science University,Northwestern University,Field,Information Science,2,1,1
Nova Southeastern University,Nova Southeastern University,Field,Information Science,9,3,6
Drexel University,"Ohio State University, The",Field,Information Science,3,1,2
Oregon Health & Science University,Oregon Health & Science University,Field,Information Science,4,2,1
Michigan State University,"Pennsylvania State University, The",Field,Information Science,2,1,1
University of Pennsylvania,Princeton University,Field,Information Science,3,2,1
Purdue University,Purdue University,Field,Information Science,16,7,8
Drexel University,Rutgers - New Brunswick,Field,Information Science,4,3,1
University of North Texas,Rutgers - New Brunswick,Field,Information Science,2,1,1
Cornell University,Stanford University,Field,Information Science,5,2,2
University of Michigan,Stanford University,Field,Information Science,2,1,1
University of Washington,Stanford University,Field,Information Science,2,1,1
Florida State University,Syracuse University,Field,Information Science,3,1,1
Rutgers - New Brunswick,Syracuse University,Field,Information Science,2,1,1
Syracuse University,Syracuse University,Field,Information Science,6,3,3
"University of Maryland, College Park",Syracuse University,Field,Information Science,2,1,1
University of North Carolina at Chapel Hill,Syracuse University,Field,Information Science,3,1,2
