InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
"University of Kansas, The",Brown University,Field,Linguistics,2,1,1
University of Oklahoma,Columbia University,Field,Linguistics,2,1,1
Indiana University - Bloomington,Cornell University,Field,Linguistics,3,1,2
"Stony Brook University, State University of New York",Cornell University,Field,Linguistics,2,1,1
"University of Vermont, The",Cornell University,Field,Linguistics,2,1,1
Florida State University,Florida State University,Field,Linguistics,2,1,1
Gallaudet University,Gallaudet University,Field,Linguistics,5,3,1
Michigan State University,Georgetown University,Field,Linguistics,3,2,1
Brown University,Harvard University,Field,Linguistics,6,2,2
Massachusetts Institute of Technology,Harvard University,Field,Linguistics,2,1,1
University of Massachusetts Amherst,Harvard University,Field,Linguistics,2,1,1
Florida State University,Indiana University - Bloomington,Field,Linguistics,2,1,1
University of Pittsburgh,Indiana University - Bloomington,Field,Linguistics,2,1,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Linguistics,9,2,6
New York University,Massachusetts Institute of Technology,Field,Linguistics,6,1,4
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Linguistics,4,1,3
Stanford University,Massachusetts Institute of Technology,Field,Linguistics,4,1,3
"University of Arizona, The",Massachusetts Institute of Technology,Field,Linguistics,5,3,1
University of Connecticut,Massachusetts Institute of Technology,Field,Linguistics,5,2,3
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,Linguistics,6,1,5
University of Massachusetts Amherst,Massachusetts Institute of Technology,Field,Linguistics,6,2,4
University of Pennsylvania,Massachusetts Institute of Technology,Field,Linguistics,5,1,4
University of Southern California,Massachusetts Institute of Technology,Field,Linguistics,4,3,1
Michigan State University,Michigan State University,Field,Linguistics,8,6,2
Florida State University,Princeton University,Field,Linguistics,2,1,1
Brown University,Stanford University,Field,Linguistics,5,1,4
Northwestern University,Stanford University,Field,Linguistics,3,1,2
"Ohio State University, The",Stanford University,Field,Linguistics,5,4,1
