InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Management,6,4,2
Boston College,Arizona State University,Field,Management,2,1,1
Brigham Young University,Arizona State University,Field,Management,2,1,1
Iowa State University,Arizona State University,Field,Management,3,1,2
North Carolina State University,Arizona State University,Field,Management,4,1,3
"University of Cincinnati, The",Arizona State University,Field,Management,2,1,1
University of Georgia,Arizona State University,Field,Management,2,1,1
"University of New Mexico, The",Arizona State University,Field,Management,3,1,2
Maharishi University of Management,Boston University,Field,Management,2,1,1
"Ohio State University, The",Boston University,Field,Management,2,1,1
Cornell University,Carnegie Mellon University,Field,Management,3,1,1
Georgia Institute of Technology,Carnegie Mellon University,Field,Management,2,1,1
Purdue University,Carnegie Mellon University,Field,Management,8,1,4
"University of California, San Diego",Carnegie Mellon University,Field,Management,3,1,2
University of Miami,Carnegie Mellon University,Field,Management,3,1,1
Case Western Reserve University,Case Western Reserve University,Field,Management,5,1,3
"University of New Mexico, The",Case Western Reserve University,Field,Management,2,1,1
University of Rochester,Case Western Reserve University,Field,Management,3,1,2
Marquette University,Central Michigan University,Field,Management,2,1,1
Morgan State University,"City University of New York, The",Field,Management,2,1,1
Clemson University,Clemson University,Field,Management,7,1,5
"Pennsylvania State University, The",Clemson University,Field,Management,2,1,1
Baruch College (CUNY),Columbia University,Field,Management,4,1,1
Cornell University,Columbia University,Field,Management,4,2,2
Massachusetts Institute of Technology,Columbia University,Field,Management,2,1,1
"New School, The",Columbia University,Field,Management,4,3,1
Purdue University,Columbia University,Field,Management,2,1,1
Rutgers  - Newark,Columbia University,Field,Management,6,1,5
Rutgers - New Brunswick,Columbia University,Field,Management,5,2,3
"University of California, Los Angeles",Columbia University,Field,Management,4,1,1
University of Colorado Boulder,Columbia University,Field,Management,3,1,2
"University of Minnesota, Twin Cities",Columbia University,Field,Management,3,1,1
University of Pennsylvania,Columbia University,Field,Management,3,1,2
Yale University,Columbia University,Field,Management,3,2,1
Cornell University,Cornell University,Field,Management,12,3,9
Miami University,Cornell University,Field,Management,3,1,2
"New School, The",Cornell University,Field,Management,2,1,1
Northwestern University,Cornell University,Field,Management,5,1,4
Rutgers - New Brunswick,Cornell University,Field,Management,3,1,1
"University of California, Davis",Cornell University,Field,Management,2,1,1
University of Massachusetts Boston,Cornell University,Field,Management,2,1,1
University of Southern California,Cornell University,Field,Management,3,1,1
Rice University,Duke University,Field,Management,3,1,2
Vanderbilt University,Duke University,Field,Management,3,1,2
Clemson University,Emory University,Field,Management,2,1,1
Florida International University,Florida International University,Field,Management,2,1,1
University of Massachusetts Lowell,Florida International University,Field,Management,2,1,1
Auburn University,Florida State University,Field,Management,4,1,3
Florida State University,Florida State University,Field,Management,3,2,1
Old Dominion University,Florida State University,Field,Management,2,1,1
"University at Buffalo, State University of New York",Florida State University,Field,Management,2,1,1
"University of Alabama, The",Florida State University,Field,Management,3,1,2
West Virginia University,Florida State University,Field,Management,2,1,1
"New School, The",Fordham University,Field,Management,2,1,1
Morgan State University,George Washington University,Field,Management,6,3,1
Florida International University,Georgia Institute of Technology,Field,Management,2,1,1
Georgia State University,Georgia Institute of Technology,Field,Management,2,1,1
Purdue University,Georgia Institute of Technology,Field,Management,3,1,1
"University of Iowa, The",Georgia Institute of Technology,Field,Management,2,1,1
Florida International University,Georgia State University,Field,Management,2,1,1
University of Wyoming,Georgia State University,Field,Management,2,1,1
Claremont Graduate University,Harvard University,Field,Management,3,2,1
Columbia University,Harvard University,Field,Management,3,2,1
Cornell University,Harvard University,Field,Management,10,2,7
Harvard University,Harvard University,Field,Management,16,4,11
Massachusetts Institute of Technology,Harvard University,Field,Management,22,4,16
New York University,Harvard University,Field,Management,3,2,1
Northeastern University,Harvard University,Field,Management,4,1,3
Northwestern University,Harvard University,Field,Management,7,2,3
Rutgers - New Brunswick,Harvard University,Field,Management,3,1,2
"University of California, Irvine",Harvard University,Field,Management,3,1,2
"University of California, Los Angeles",Harvard University,Field,Management,7,1,5
University of Illinois at Chicago,Harvard University,Field,Management,2,1,1
University of Pennsylvania,Harvard University,Field,Management,11,4,6
University of Southern California,Harvard University,Field,Management,5,1,3
"University of Texas at Dallas, The",Harvard University,Field,Management,2,1,1
University of Virginia,Harvard University,Field,Management,4,1,3
Yale University,Harvard University,Field,Management,10,4,6
Illinois Institute of Technology,Illinois Institute of Technology,Field,Management,3,1,1
Clemson University,Indiana University - Bloomington,Field,Management,3,2,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Management,3,1,2
Kansas State University,Indiana University - Bloomington,Field,Management,2,1,1
Michigan State University,Indiana University - Bloomington,Field,Management,3,1,2
Saint Louis University,Indiana University - Bloomington,Field,Management,3,1,2
Texas A&M Kingsville,Indiana University - Bloomington,Field,Management,4,3,1
University of Washington,Indiana University - Bloomington,Field,Management,2,1,1
Vanderbilt University,Indiana University - Bloomington,Field,Management,2,1,1
Cornell University,Iowa State University,Field,Management,2,1,1
Iowa State University,Iowa State University,Field,Management,2,1,1
"University of Akron, The",Kent State University,Field,Management,2,1,1
"University of Texas at Tyler, The",Kent State University,Field,Management,2,1,1
"Binghamton University, State University of New York",Louisiana State University,Field,Management,3,1,2
"University of Alabama at Birmingham, The",Louisiana State University,Field,Management,2,1,1
University of Louisiana at Lafayette,Louisiana State University,Field,Management,4,2,1
"University of Texas at Tyler, The",Louisiana State University,Field,Management,2,1,1
University of Texas Rio Grande Valley,Louisiana Tech University,Field,Management,2,1,1
Maharishi University of Management,Maharishi University of Management,Field,Management,10,4,5
Cornell University,Massachusetts Institute of Technology,Field,Management,6,1,4
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Management,40,4,35
Northwestern University,Massachusetts Institute of Technology,Field,Management,9,3,4
Rice University,Massachusetts Institute of Technology,Field,Management,2,1,1
Rutgers  - Newark,Massachusetts Institute of Technology,Field,Management,2,1,1
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Management,4,2,2
Stevens Institute of Technology,Massachusetts Institute of Technology,Field,Management,5,1,4
"University of California, Los Angeles",Massachusetts Institute of Technology,Field,Management,10,3,7
"University of Texas at Dallas, The",Massachusetts Institute of Technology,Field,Management,3,2,1
Yale University,Massachusetts Institute of Technology,Field,Management,14,3,10
Arizona State University,Michigan State University,Field,Management,9,2,7
Iowa State University,Michigan State University,Field,Management,3,1,2
Marquette University,Michigan State University,Field,Management,2,1,1
Michigan State University,Michigan State University,Field,Management,7,3,3
North Carolina State University,Michigan State University,Field,Management,2,1,1
"Ohio State University, The",Michigan State University,Field,Management,4,1,3
Texas A&M University,Michigan State University,Field,Management,3,1,2
University of Dayton,Michigan State University,Field,Management,2,1,1
"University of Nevada, Las Vegas",Michigan State University,Field,Management,2,1,1
