InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Marketing,4,2,2
Florida State University,Arizona State University,Field,Marketing,2,1,1
Northeastern University,Arizona State University,Field,Marketing,3,2,1
Rutgers  - Newark,Arizona State University,Field,Marketing,2,1,1
"University of Tennessee, The",Arizona State University,Field,Marketing,2,1,1
"University of Texas at San Antonio, The",Arizona State University,Field,Marketing,2,1,1
Boston University,Boston University,Field,Marketing,2,1,1
Case Western Reserve University,Case Western Reserve University,Field,Marketing,5,1,3
Fordham University,"City University of New York, The",Field,Marketing,4,2,2
Baruch College (CUNY),Columbia University,Field,Marketing,2,1,1
University of Colorado Boulder,Columbia University,Field,Marketing,3,1,2
University of Pennsylvania,Columbia University,Field,Marketing,5,2,3
University of Massachusetts Boston,Cornell University,Field,Marketing,2,1,1
Northwestern University,Duke University,Field,Marketing,3,1,1
Rice University,Duke University,Field,Marketing,2,1,1
"University of Maryland, College Park",Duke University,Field,Marketing,2,1,1
University of Pennsylvania,Duke University,Field,Marketing,2,1,1
"University of Alabama, The",Florida State University,Field,Marketing,3,1,2
University of South Florida,Florida State University,Field,Marketing,2,1,1
Rutgers  - Newark,Georgia State University,Field,Marketing,2,1,1
University of Wyoming,Georgia State University,Field,Marketing,2,1,1
Virginia Commonwealth University,Georgia State University,Field,Marketing,2,1,1
University of Connecticut,Harvard University,Field,Marketing,2,1,1
University of Virginia,Harvard University,Field,Marketing,3,1,1
Baylor University,Indiana University - Bloomington,Field,Marketing,2,1,1
Bentley University,Indiana University - Bloomington,Field,Marketing,2,1,1
Texas A&M Kingsville,Indiana University - Bloomington,Field,Marketing,4,3,1
University of Central Florida,Indiana University - Bloomington,Field,Marketing,2,1,1
University of Virginia,Indiana University - Bloomington,Field,Marketing,2,1,1
"University of Akron, The",Kent State University,Field,Marketing,2,1,1
"University of Texas at Tyler, The",Kent State University,Field,Marketing,2,1,1
West Virginia University,Kent State University,Field,Marketing,2,1,1
"Binghamton University, State University of New York",Louisiana State University,Field,Marketing,3,1,2
Louisiana Tech University,Louisiana State University,Field,Marketing,3,1,2
University of Louisiana at Lafayette,Louisiana State University,Field,Marketing,3,1,2
"University of Texas at Tyler, The",Louisiana State University,Field,Marketing,2,1,1
University of Texas Rio Grande Valley,Louisiana Tech University,Field,Marketing,2,1,1
Marquette University,Marquette University,Field,Marketing,2,1,1
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,Marketing,2,1,1
University of Southern California,Massachusetts Institute of Technology,Field,Marketing,2,1,1
"University of Utah, The",Massachusetts Institute of Technology,Field,Marketing,2,1,1
Miami University,Michigan State University,Field,Marketing,3,1,1
University of Dayton,Michigan State University,Field,Marketing,2,1,1
"University of Texas at Austin, The",Michigan State University,Field,Marketing,8,1,7
Western Michigan University,Michigan State University,Field,Marketing,5,1,4
Texas A&M Corpus Christi,New Mexico State University,Field,Marketing,2,1,1
Baruch College (CUNY),New York University,Field,Marketing,2,1,1
Columbia University,New York University,Field,Marketing,2,1,1
Rutgers  - Newark,New York University,Field,Marketing,2,1,1
University of Colorado Boulder,New York University,Field,Marketing,3,1,2
University of Washington,New York University,Field,Marketing,2,1,1
New York University,Northwestern University,Field,Marketing,5,1,3
Northwestern University,Northwestern University,Field,Marketing,2,1,1
"University of Minnesota, Twin Cities",Northwestern University,Field,Marketing,3,2,1
University of Missouri,Northwestern University,Field,Marketing,2,1,1
University of Notre Dame,Northwestern University,Field,Marketing,2,1,1
Georgetown University,"Ohio State University, The",Field,Marketing,2,1,1
"University of North Carolina at Greensboro, The","Ohio State University, The",Field,Marketing,2,1,1
"University of Tennessee, The","Ohio State University, The",Field,Marketing,2,1,1
Ohio University,Ohio University,Field,Marketing,3,1,1
Arizona State University,"Pennsylvania State University, The",Field,Marketing,3,1,2
Ball State University,Purdue University,Field,Marketing,2,1,1
Northwestern University,Stanford University,Field,Marketing,4,2,2
University of Colorado Boulder,Stanford University,Field,Marketing,5,2,3
University of Notre Dame,Stanford University,Field,Marketing,2,1,1
University of Pennsylvania,Stanford University,Field,Marketing,6,1,5
"Binghamton University, State University of New York",Syracuse University,Field,Marketing,2,1,1
"University of Texas at El Paso, The",Texas A&M University,Field,Marketing,2,1,1
Louisiana State University,"University of Alabama, The",Field,Marketing,2,1,1
Mississippi State University,"University of Alabama, The",Field,Marketing,5,2,3
"University of Alabama, The","University of Alabama, The",Field,Marketing,3,1,2
Clemson University,University of Arkansas,Field,Marketing,3,2,1
