InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,California Institute of Technology,Field,Materials Engineering,4,1,2
Stanford University,California Institute of Technology,Field,Materials Engineering,4,2,2
"University of California, Irvine",California Institute of Technology,Field,Materials Engineering,5,2,3
"University of Minnesota, Twin Cities",California Institute of Technology,Field,Materials Engineering,3,1,1
University of Southern California,California Institute of Technology,Field,Materials Engineering,5,1,2
University of Kentucky,Carnegie Mellon University,Field,Materials Engineering,2,1,1
Michigan State University,Case Western Reserve University,Field,Materials Engineering,3,1,2
"University of Akron, The",Case Western Reserve University,Field,Materials Engineering,3,1,2
Colorado School of Mines,Colorado School of Mines,Field,Materials Engineering,11,2,8
"College of William & Mary, The",Columbia University,Field,Materials Engineering,2,1,1
"College of William & Mary, The",Cornell University,Field,Materials Engineering,3,2,1
Cornell University,Cornell University,Field,Materials Engineering,2,1,1
Massachusetts Institute of Technology,Cornell University,Field,Materials Engineering,3,1,2
"University of Minnesota, Twin Cities",Cornell University,Field,Materials Engineering,2,1,1
University of Wisconsin - Madison,Cornell University,Field,Materials Engineering,2,1,1
Yale University,Cornell University,Field,Materials Engineering,3,1,2
Arizona State University,Georgia Institute of Technology,Field,Materials Engineering,6,2,3
Missouri University of Science and Technology,Georgia Institute of Technology,Field,Materials Engineering,2,1,1
Yale University,Harvard University,Field,Materials Engineering,2,1,1
Illinois Institute of Technology,Illinois Institute of Technology,Field,Materials Engineering,4,1,3
Michigan State University,Iowa State University,Field,Materials Engineering,3,1,1
"College of William & Mary, The",Johns Hopkins University,Field,Materials Engineering,3,1,2
Case Western Reserve University,Massachusetts Institute of Technology,Field,Materials Engineering,4,1,3
Georgia Institute of Technology,Massachusetts Institute of Technology,Field,Materials Engineering,5,1,3
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Materials Engineering,14,3,8
"Ohio State University, The",Massachusetts Institute of Technology,Field,Materials Engineering,4,1,3
"Pennsylvania State University, The",Massachusetts Institute of Technology,Field,Materials Engineering,4,1,2
Purdue University,Massachusetts Institute of Technology,Field,Materials Engineering,5,1,3
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Materials Engineering,3,1,2
"University of Akron, The",Massachusetts Institute of Technology,Field,Materials Engineering,2,1,1
"University of Arizona, The",Massachusetts Institute of Technology,Field,Materials Engineering,2,1,1
"University of California, Davis",Massachusetts Institute of Technology,Field,Materials Engineering,3,1,2
"University of California, Irvine",Massachusetts Institute of Technology,Field,Materials Engineering,3,1,2
"University of California, Santa Barbara",Massachusetts Institute of Technology,Field,Materials Engineering,4,1,3
"University of Chicago, The",Massachusetts Institute of Technology,Field,Materials Engineering,2,1,1
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,Materials Engineering,5,3,1
University of Virginia,Massachusetts Institute of Technology,Field,Materials Engineering,2,1,1
Michigan State University,Michigan State University,Field,Materials Engineering,6,1,3
Michigan Technological University,Michigan Technological University,Field,Materials Engineering,6,1,5
"University of Mississippi Medical Center, The",Mississippi State University,Field,Materials Engineering,2,1,1
Missouri University of Science and Technology,Missouri University of Science and Technology,Field,Materials Engineering,7,2,3
North Carolina State University,North Carolina State University,Field,Materials Engineering,6,1,5
University of Dayton,North Carolina State University,Field,Materials Engineering,2,1,1
University of Florida,North Carolina State University,Field,Materials Engineering,2,1,1
North Dakota State University,North Dakota State University,Field,Materials Engineering,2,1,1
University of Florida,Northwestern University,Field,Materials Engineering,3,2,1
University of Illinois at Urbana-Champaign,Northwestern University,Field,Materials Engineering,2,1,1
University of Michigan,Northwestern University,Field,Materials Engineering,3,2,1
"Ohio State University, The","Ohio State University, The",Field,Materials Engineering,6,3,3
"University of Alabama, The","Ohio State University, The",Field,Materials Engineering,2,1,1
"Binghamton University, State University of New York","Pennsylvania State University, The",Field,Materials Engineering,2,1,1
New Mexico Institute of Mining and Technology,"Pennsylvania State University, The",Field,Materials Engineering,2,1,1
North Carolina State University,"Pennsylvania State University, The",Field,Materials Engineering,3,1,2
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Materials Engineering,10,1,9
"University of California, Davis",Princeton University,Field,Materials Engineering,3,1,2
University of Massachusetts Amherst,Princeton University,Field,Materials Engineering,2,1,1
University of Central Florida,Purdue University,Field,Materials Engineering,3,1,1
"University of Cincinnati, The",Rensselaer Polytechnic Institute,Field,Materials Engineering,2,1,1
Arizona State University,Stanford University,Field,Materials Engineering,7,2,4
"University of California, Davis",Stanford University,Field,Materials Engineering,4,2,2
