InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Air Force Institute of Technology,Air Force Institute of Technology,Field,Mathematics,6,1,5
Arizona State University,Arizona State University,Field,Mathematics,7,4,2
North Carolina State University,Arizona State University,Field,Mathematics,2,1,1
Texas Tech University,Arizona State University,Field,Mathematics,3,1,1
University of Louisiana at Lafayette,Arizona State University,Field,Mathematics,2,1,1
Miami University,"Binghamton University, State University of New York",Field,Mathematics,2,1,1
"University of Vermont, The",Boston University,Field,Mathematics,2,1,1
Northeastern University,Brandeis University,Field,Mathematics,7,1,6
University of Missouri,Brandeis University,Field,Mathematics,2,1,1
Florida State University,Brown University,Field,Mathematics,2,1,1
University of Colorado Boulder,Brown University,Field,Mathematics,4,1,2
"University of Maryland, College Park",Brown University,Field,Mathematics,3,1,1
"University of Minnesota, Twin Cities",Brown University,Field,Mathematics,4,1,3
University of Southern California,Brown University,Field,Mathematics,3,1,2
"University of California, Merced",California Institute of Technology,Field,Mathematics,2,1,1
Southern Illinois University Carbondale,Carnegie Mellon University,Field,Mathematics,2,1,1
Kent State University,Case Western Reserve University,Field,Mathematics,2,1,1
Colorado State University,Colorado State University,Field,Mathematics,3,2,1
Montana State University,Colorado State University,Field,Mathematics,3,2,1
Washington State University,Colorado State University,Field,Mathematics,2,1,1
Brooklyn College (CUNY),Columbia University,Field,Mathematics,3,1,2
Fordham University,Columbia University,Field,Mathematics,2,1,1
Michigan State University,Columbia University,Field,Mathematics,5,2,3
Rutgers  - Newark,Columbia University,Field,Mathematics,3,1,1
Rutgers - New Brunswick,Columbia University,Field,Mathematics,4,1,2
"Stony Brook University, State University of New York",Columbia University,Field,Mathematics,2,1,1
Arizona State University,Cornell University,Field,Mathematics,5,2,3
Emory University,Cornell University,Field,Mathematics,3,1,1
Lehman College (CUNY),Cornell University,Field,Mathematics,3,1,2
Mississippi State University,Cornell University,Field,Mathematics,2,1,1
"Ohio State University, The",Cornell University,Field,Mathematics,3,1,2
Texas A&M University,Cornell University,Field,Mathematics,3,1,2
"University at Buffalo, State University of New York",Cornell University,Field,Mathematics,2,1,1
University of Connecticut,Cornell University,Field,Mathematics,7,3,3
University of Nebraska - Lincoln,Cornell University,Field,Mathematics,2,1,1
"University of Nevada, Reno",Cornell University,Field,Mathematics,2,1,1
University of Pittsburgh,Cornell University,Field,Mathematics,2,1,1
University of Rochester,Cornell University,Field,Mathematics,2,1,1
University of Washington,Cornell University,Field,Mathematics,3,1,2
University of Wisconsin - Milwaukee,Cornell University,Field,Mathematics,3,1,2
Washington University in St. Louis,Cornell University,Field,Mathematics,2,1,1
University of Colorado Boulder,Duke University,Field,Mathematics,2,1,1
University of Rhode Island,Emory University,Field,Mathematics,2,1,1
Florida A&M University,Florida Institute of Technology,Field,Mathematics,2,1,1
Florida Institute of Technology,Florida Institute of Technology,Field,Mathematics,6,1,5
Florida A&M University,Florida State University,Field,Mathematics,4,1,3
Arizona State University,Harvard University,Field,Mathematics,3,1,2
Boston University,Harvard University,Field,Mathematics,9,1,7
California Institute of Technology,Harvard University,Field,Mathematics,2,1,1
Dartmouth College,Harvard University,Field,Mathematics,4,1,3
Georgetown University,Harvard University,Field,Mathematics,2,1,1
Northeastern University,Harvard University,Field,Mathematics,3,1,2
Northwestern University,Harvard University,Field,Mathematics,7,2,5
Oklahoma State University,Harvard University,Field,Mathematics,3,1,2
Stanford University,Harvard University,Field,Mathematics,4,1,1
"Stony Brook University, State University of New York",Harvard University,Field,Mathematics,3,1,2
"University of Arizona, The",Harvard University,Field,Mathematics,2,1,1
University of Michigan,Harvard University,Field,Mathematics,3,1,2
University of Pennsylvania,Harvard University,Field,Mathematics,5,1,3
University of Rochester,Harvard University,Field,Mathematics,4,1,2
Illinois State University,Illinois State University,Field,Mathematics,4,2,2
Central Michigan University,Indiana University - Bloomington,Field,Mathematics,2,1,1
Florida State University,Indiana University - Bloomington,Field,Mathematics,2,1,1
University of Louisville,Indiana University - Bloomington,Field,Mathematics,5,1,2
Montana State University,Iowa State University,Field,Mathematics,2,1,1
Boston University,Johns Hopkins University,Field,Mathematics,2,1,1
Kent State University,Kent State University,Field,Mathematics,18,10,7
Louisiana Tech University,Louisiana State University,Field,Mathematics,3,1,1
"Binghamton University, State University of New York",Massachusetts Institute of Technology,Field,Mathematics,3,1,2
Boston University,Massachusetts Institute of Technology,Field,Mathematics,3,1,2
City College (CUNY),Massachusetts Institute of Technology,Field,Mathematics,2,1,1
Colorado State University,Massachusetts Institute of Technology,Field,Mathematics,2,1,1
Columbia University,Massachusetts Institute of Technology,Field,Mathematics,3,1,2
Cornell University,Massachusetts Institute of Technology,Field,Mathematics,9,5,4
Louisiana State University,Massachusetts Institute of Technology,Field,Mathematics,3,1,2
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Mathematics,14,2,12
Michigan State University,Massachusetts Institute of Technology,Field,Mathematics,3,1,1
New Mexico State University,Massachusetts Institute of Technology,Field,Mathematics,2,1,1
North Carolina State University,Massachusetts Institute of Technology,Field,Mathematics,3,1,1
Northeastern University,Massachusetts Institute of Technology,Field,Mathematics,5,1,4
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Mathematics,8,2,4
Tufts University,Massachusetts Institute of Technology,Field,Mathematics,3,1,2
"University of California, Berkeley",Massachusetts Institute of Technology,Field,Mathematics,8,1,6
University of Missouri,Massachusetts Institute of Technology,Field,Mathematics,2,1,1
University of Notre Dame,Massachusetts Institute of Technology,Field,Mathematics,3,1,1
University of Washington,Massachusetts Institute of Technology,Field,Mathematics,8,1,6
Wesleyan University,Massachusetts Institute of Technology,Field,Mathematics,2,1,1
Arizona State University,Michigan State University,Field,Mathematics,3,1,2
Florida International University,Michigan State University,Field,Mathematics,3,1,1
Texas State University,Michigan State University,Field,Mathematics,3,1,1
University of Arkansas,Michigan State University,Field,Mathematics,2,1,1
University of Delaware,Michigan State University,Field,Mathematics,3,1,2
University of Louisville,Michigan State University,Field,Mathematics,2,1,1
Montana State University,Montana State University,Field,Mathematics,3,1,1
Baruch College (CUNY),New York University,Field,Mathematics,10,3,6
Brooklyn College (CUNY),New York University,Field,Mathematics,4,1,3
Columbia University,New York University,Field,Mathematics,3,1,2
Lehman College (CUNY),New York University,Field,Mathematics,3,2,1
New Jersey Institute of Technology,New York University,Field,Mathematics,9,1,8
New York University,New York University,Field,Mathematics,5,1,3
Tulane University,New York University,Field,Mathematics,4,1,3
University of North Carolina at Chapel Hill,New York University,Field,Mathematics,3,2,1
"University of Utah, The",New York University,Field,Mathematics,6,2,4
University of Wyoming,New York University,Field,Mathematics,3,1,1
Air Force Institute of Technology,North Carolina State University,Field,Mathematics,3,1,2
Emory University,North Carolina State University,Field,Mathematics,2,1,1
North Carolina State University,North Carolina State University,Field,Mathematics,3,1,2
Virginia Commonwealth University,North Carolina State University,Field,Mathematics,5,2,3
Marquette University,Northwestern University,Field,Mathematics,2,1,1
University of Illinois at Urbana-Champaign,Northwestern University,Field,Mathematics,2,1,1
University of Michigan,Northwestern University,Field,Mathematics,2,1,1
"University of Texas at Dallas, The","Ohio State University, The",Field,Mathematics,2,1,1
"University of Vermont, The","Ohio State University, The",Field,Mathematics,3,1,2
Western Michigan University,"Ohio State University, The",Field,Mathematics,2,1,1
Arizona State University,Oregon State University,Field,Mathematics,2,1,1
Washington State University,Oregon State University,Field,Mathematics,2,1,1
Arizona State University,"Pennsylvania State University, The",Field,Mathematics,3,1,1
Missouri University of Science and Technology,"Pennsylvania State University, The",Field,Mathematics,2,1,1
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Mathematics,6,1,5
University of Houston,"Pennsylvania State University, The",Field,Mathematics,4,1,3
Brandeis University,Princeton University,Field,Mathematics,3,1,2
City College (CUNY),Princeton University,Field,Mathematics,3,1,2
Duke University,Princeton University,Field,Mathematics,8,1,6
Harvard University,Princeton University,Field,Mathematics,5,1,2
Indiana University - Bloomington,Princeton University,Field,Mathematics,3,1,2
Massachusetts Institute of Technology,Princeton University,Field,Mathematics,11,1,9
South Dakota School of Mines & Technology,Princeton University,Field,Mathematics,2,1,1
"University of California, Berkeley",Princeton University,Field,Mathematics,6,1,5
"University of California, Irvine",Princeton University,Field,Mathematics,3,1,2
"University of California, Los Angeles",Princeton University,Field,Mathematics,8,1,4
"University of California, San Diego",Princeton University,Field,Mathematics,4,1,3
