InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Florida Institute of Technology,Air Force Institute of Technology,Field,Mechanical Engineering,2,1,1
Boston University,Boston University,Field,Mechanical Engineering,3,1,2
Oregon State University,Brown University,Field,Mechanical Engineering,2,1,1
"University of California, Berkeley",Brown University,Field,Mechanical Engineering,3,1,2
University of Illinois at Urbana-Champaign,Brown University,Field,Mechanical Engineering,2,1,1
George Washington University,California Institute of Technology,Field,Mechanical Engineering,2,1,1
Johns Hopkins University,California Institute of Technology,Field,Mechanical Engineering,4,2,2
"Ohio State University, The",California Institute of Technology,Field,Mechanical Engineering,2,1,1
Princeton University,California Institute of Technology,Field,Mechanical Engineering,4,1,3
Purdue University,California Institute of Technology,Field,Mechanical Engineering,4,1,3
"University of California, Los Angeles",California Institute of Technology,Field,Mechanical Engineering,5,1,4
"University of California, Santa Barbara",California Institute of Technology,Field,Mechanical Engineering,4,1,3
University of Houston,California Institute of Technology,Field,Mechanical Engineering,4,1,2
University of Michigan,California Institute of Technology,Field,Mechanical Engineering,6,1,5
University of Pennsylvania,California Institute of Technology,Field,Mechanical Engineering,4,1,3
University of Southern California,California Institute of Technology,Field,Mechanical Engineering,7,1,4
Georgia Institute of Technology,Carnegie Mellon University,Field,Mechanical Engineering,4,1,3
Oregon State University,Carnegie Mellon University,Field,Mechanical Engineering,7,1,6
Virginia Polytechnic Institute and State University,Carnegie Mellon University,Field,Mechanical Engineering,3,1,1
Case Western Reserve University,Case Western Reserve University,Field,Mechanical Engineering,8,3,5
Rensselaer Polytechnic Institute,Cornell University,Field,Mechanical Engineering,2,1,1
"University of California, Los Angeles",Cornell University,Field,Mechanical Engineering,2,1,1
"University of California, Santa Barbara",Cornell University,Field,Mechanical Engineering,2,1,1
Yale University,Cornell University,Field,Mechanical Engineering,3,1,2
Arizona State University,Georgia Institute of Technology,Field,Mechanical Engineering,5,2,3
Colorado State University,Georgia Institute of Technology,Field,Mechanical Engineering,4,1,3
Georgia Institute of Technology,Georgia Institute of Technology,Field,Mechanical Engineering,6,1,5
Michigan Technological University,Georgia Institute of Technology,Field,Mechanical Engineering,2,1,1
"Pennsylvania State University, The",Georgia Institute of Technology,Field,Mechanical Engineering,4,1,2
Rensselaer Polytechnic Institute,Georgia Institute of Technology,Field,Mechanical Engineering,2,1,1
Texas A&M University,Georgia Institute of Technology,Field,Mechanical Engineering,4,2,2
