InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Albert Einstein College of Medicine of Yeshiva University,Albert Einstein College of Medicine of Yeshiva University,Field,Microbiology,4,2,2
Baylor College of Medicine,Baylor College of Medicine,Field,Microbiology,8,3,5
Rutgers - New Brunswick,Brandeis University,Field,Microbiology,2,1,1
"University of Texas Health Science Center at San Antonio, The",Brandeis University,Field,Microbiology,2,1,1
Iowa State University,Clemson University,Field,Microbiology,2,1,1
Colorado State University,Colorado State University,Field,Microbiology,20,11,7
"University of Arizona, The",Colorado State University,Field,Microbiology,2,1,1
"University of California, Davis",Colorado State University,Field,Microbiology,5,1,4
Florida International University,Columbia University,Field,Microbiology,2,1,1
New York University,Columbia University,Field,Microbiology,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Microbiology,6,2,3
Colorado State University,Cornell University,Field,Microbiology,2,1,1
Rutgers - New Brunswick,Cornell University,Field,Microbiology,3,1,2
University of Rochester,Cornell University,Field,Microbiology,2,1,1
"University of Texas Health Science Center at Houston, The",Cornell University,Field,Microbiology,2,1,1
Dartmouth College,Dartmouth College,Field,Microbiology,4,2,2
Rutgers - New Brunswick,Dartmouth College,Field,Microbiology,2,1,1
Drexel University,Drexel University,Field,Microbiology,4,2,2
Colorado State University,Duke University,Field,Microbiology,2,1,1
Duke University,Duke University,Field,Microbiology,5,1,4
University of Virginia,Duke University,Field,Microbiology,2,1,1
Vanderbilt University,Duke University,Field,Microbiology,3,1,2
"University of Tennessee, The",Emory University,Field,Microbiology,2,1,1
Emory University,Harvard University,Field,Microbiology,2,1,1
Harvard University,Harvard University,Field,Microbiology,12,5,6
Stanford University,Harvard University,Field,Microbiology,4,2,2
Tufts University,Harvard University,Field,Microbiology,2,1,1
"University of California, Davis",Harvard University,Field,Microbiology,4,3,1
University of Pennsylvania,Harvard University,Field,Microbiology,4,2,2
University of Virginia,Harvard University,Field,Microbiology,2,1,1
University of Wisconsin - Madison,Harvard University,Field,Microbiology,2,1,1
Vanderbilt University,Harvard University,Field,Microbiology,3,1,2
Howard University,Howard University,Field,Microbiology,5,3,2
University of Nebraska Medical Center,Icahn School of Medicine at Mount Sinai,Field,Microbiology,2,1,1
University of Florida,Indiana University-Purdue University Indianapolis,Field,Microbiology,2,1,1
Medical University of South Carolina,Iowa State University,Field,Microbiology,2,1,1
Johns Hopkins University,Johns Hopkins University,Field,Microbiology,6,2,3
Rutgers - New Brunswick,Johns Hopkins University,Field,Microbiology,3,1,2
Vanderbilt University,Johns Hopkins University,Field,Microbiology,7,2,3
University of Arkansas for Medical Sciences,Kansas State University,Field,Microbiology,3,1,1
Louisiana State University School of Medicine in New Orleans,Louisiana State University,Field,Microbiology,3,1,2
Louisiana State University School of Medicine in New Orleans,Louisiana State University School of Medicine in New Orleans,Field,Microbiology,3,1,1
Loyola University Chicago,Loyola University Chicago,Field,Microbiology,4,1,1
"Pennsylvania State University, The",Massachusetts Institute of Technology,Field,Microbiology,2,1,1
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Microbiology,2,1,1
Tufts University,Massachusetts Institute of Technology,Field,Microbiology,2,1,1
Michigan State University,Michigan State University,Field,Microbiology,3,1,2
University of Kentucky,Michigan State University,Field,Microbiology,3,1,2
University of Pittsburgh,Michigan State University,Field,Microbiology,2,1,1
Montana State University,Montana State University,Field,Microbiology,5,3,2
New York University,New York University,Field,Microbiology,6,2,4
Rutgers - New Brunswick,New York University,Field,Microbiology,4,2,1
"University at Buffalo, State University of New York",New York University,Field,Microbiology,2,1,1
