InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,"Music, General",4,1,3
Brigham Young University,Arizona State University,Field,"Music, General",5,1,4
"University of Arizona, The",Arizona State University,Field,"Music, General",4,3,1
University of Colorado Boulder,Arizona State University,Field,"Music, General",2,1,1
"University of Montana, Missoula",Arizona State University,Field,"Music, General",2,1,1
Ball State University,Ball State University,Field,"Music, General",4,1,2
Boston University,Boston University,Field,"Music, General",4,2,2
"University of Texas at Austin, The",Boston University,Field,"Music, General",2,1,1
Princeton University,Brandeis University,Field,"Music, General",3,1,2
"University of California, Davis",Brandeis University,Field,"Music, General",2,1,1
University of Georgia,Brandeis University,Field,"Music, General",3,2,1
Brigham Young University,Brigham Young University,Field,"Music, General",3,1,2
Carnegie Mellon University,Carnegie Mellon University,Field,"Music, General",3,1,2
George Mason University,"Catholic University of America, The",Field,"Music, General",4,2,2
"University of Maryland, College Park","Catholic University of America, The",Field,"Music, General",2,1,1
Florida State University,"City University of New York, The",Field,"Music, General",2,1,1
Indiana University - Bloomington,"City University of New York, The",Field,"Music, General",3,1,2
John Jay College of Criminal Justice (CUNY),"City University of New York, The",Field,"Music, General",5,3,2
Temple University,"City University of New York, The",Field,"Music, General",2,1,1
"University at Albany, State University of New York","City University of New York, The",Field,"Music, General",3,2,1
"College of William & Mary, The",Columbia University,Field,"Music, General",2,1,1
Fordham University,Columbia University,Field,"Music, General",2,1,1
New York University,Columbia University,Field,"Music, General",4,2,2
"University of California, Berkeley",Columbia University,Field,"Music, General",3,1,2
University of Connecticut,Columbia University,Field,"Music, General",3,1,2
University of Pennsylvania,Columbia University,Field,"Music, General",2,1,1
University of Pittsburgh,Columbia University,Field,"Music, General",2,1,1
University of Rochester,Columbia University,Field,"Music, General",4,1,3
Brown University,Cornell University,Field,"Music, General",2,1,1
"College of William & Mary, The",Cornell University,Field,"Music, General",3,2,1
"University of California, Berkeley",Cornell University,Field,"Music, General",2,1,1
Columbia University,Duke University,Field,"Music, General",2,1,1
University of Memphis,Duke University,Field,"Music, General",2,1,1
Florida A&M University,Florida A&M University,Field,"Music, General",2,1,1
Auburn University,Florida State University,Field,"Music, General",4,2,1
East Carolina University,Florida State University,Field,"Music, General",6,1,5
Florida A&M University,Florida State University,Field,"Music, General",16,5,9
Florida State University,Florida State University,Field,"Music, General",10,6,4
Kansas State University,Florida State University,Field,"Music, General",3,1,2
Louisiana State University,Florida State University,Field,"Music, General",2,1,1
Ohio University,Florida State University,Field,"Music, General",2,1,1
Oregon State University,Florida State University,Field,"Music, General",3,1,2
Syracuse University,Florida State University,Field,"Music, General",3,1,2
"University of Alabama, The",Florida State University,Field,"Music, General",3,2,1
"University of Arizona, The",Florida State University,Field,"Music, General",2,1,1
