InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Natural Resources,4,2,2
North Carolina State University,Clemson University,Field,Natural Resources,2,1,1
Arizona State University,Colorado State University,Field,Natural Resources,2,1,1
Colorado State University,Colorado State University,Field,Natural Resources,15,2,12
North Carolina State University,Colorado State University,Field,Natural Resources,3,1,2
"Pennsylvania State University, The",Colorado State University,Field,Natural Resources,3,1,2
University of Alaska Fairbanks,Colorado State University,Field,Natural Resources,2,1,1
University of Florida,Colorado State University,Field,Natural Resources,3,1,2
Clemson University,Cornell University,Field,Natural Resources,2,1,1
Cornell University,Cornell University,Field,Natural Resources,4,2,2
North Carolina State University,Cornell University,Field,Natural Resources,2,1,1
Rutgers - New Brunswick,Cornell University,Field,Natural Resources,3,1,2
University of Florida,Cornell University,Field,Natural Resources,2,1,1
Colorado State University,Duke University,Field,Natural Resources,3,2,1
North Carolina State University,Duke University,Field,Natural Resources,2,1,1
"University of Arizona, The",Duke University,Field,Natural Resources,2,1,1
University of Georgia,Duke University,Field,Natural Resources,2,1,1
University of Michigan,Duke University,Field,Natural Resources,2,1,1
University of Michigan,Harvard University,Field,Natural Resources,3,2,1
Texas A&M University,Indiana University - Bloomington,Field,Natural Resources,2,1,1
Iowa State University,Iowa State University,Field,Natural Resources,5,1,4
"Ohio State University, The",Iowa State University,Field,Natural Resources,5,1,4
West Virginia University,Iowa State University,Field,Natural Resources,2,1,1
University of Florida,Kansas State University,Field,Natural Resources,2,1,1
"University of Arizona, The",Massachusetts Institute of Technology,Field,Natural Resources,3,2,1
University of Michigan,Massachusetts Institute of Technology,Field,Natural Resources,4,2,2
Iowa State University,Michigan State University,Field,Natural Resources,3,2,1
North Carolina State University,Michigan State University,Field,Natural Resources,2,1,1
"Pennsylvania State University, The",Michigan State University,Field,Natural Resources,5,1,2
University of Florida,Michigan State University,Field,Natural Resources,4,1,3
University of Michigan,Michigan State University,Field,Natural Resources,3,1,2
University of Missouri,Michigan State University,Field,Natural Resources,2,1,1
University of Nebraska - Lincoln,Michigan State University,Field,Natural Resources,2,1,1
West Virginia University,Mississippi State University,Field,Natural Resources,2,1,1
Montana State University,Montana State University,Field,Natural Resources,3,1,1
North Carolina State University,North Carolina State University,Field,Natural Resources,20,3,14
University of Florida,North Carolina State University,Field,Natural Resources,2,1,1
North Dakota State University,North Dakota State University,Field,Natural Resources,5,1,4
North Carolina State University,"Ohio State University, The",Field,Natural Resources,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Natural Resources,3,1,1
University of Illinois at Urbana-Champaign,"Ohio State University, The",Field,Natural Resources,2,1,1
West Virginia University,"Ohio State University, The",Field,Natural Resources,6,3,2
Montana State University,Oregon State University,Field,Natural Resources,3,1,2
University of Alaska Fairbanks,Oregon State University,Field,Natural Resources,4,1,3
University of Florida,Oregon State University,Field,Natural Resources,3,1,2
Utah State University,Oregon State University,Field,Natural Resources,4,1,3
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Natural Resources,8,1,7
"University of Montana, Missoula","Pennsylvania State University, The",Field,Natural Resources,2,1,1
University of Georgia,Princeton University,Field,Natural Resources,2,1,1
Ball State University,Purdue University,Field,Natural Resources,2,1,1
Purdue University,Purdue University,Field,Natural Resources,5,1,4
SUNY College of Environmental Science and Forestry,SUNY College of Environmental Science and Forestry,Field,Natural Resources,10,3,7
South Dakota State University,South Dakota State University,Field,Natural Resources,4,1,3
University of Colorado Boulder,Stanford University,Field,Natural Resources,3,1,2
"University of Vermont, The",Stanford University,Field,Natural Resources,3,1,1
University of Nebraska - Lincoln,Texas A&M University,Field,Natural Resources,2,1,1
West Virginia University,Texas A&M University,Field,Natural Resources,2,1,1
University of Alaska Fairbanks,University of Alaska Fairbanks,Field,Natural Resources,3,1,1
Arizona State University,"University of Arizona, The",Field,Natural Resources,2,1,1
"University of Arizona, The","University of Arizona, The",Field,Natural Resources,18,4,10
"University of Nevada, Reno","University of Arizona, The",Field,Natural Resources,2,1,1
University of Wyoming,"University of Arizona, The",Field,Natural Resources,2,1,1
Colorado State University,"University of California, Berkeley",Field,Natural Resources,3,2,1
University of Alaska Fairbanks,"University of California, Berkeley",Field,Natural Resources,2,1,1
University of Florida,"University of California, Berkeley",Field,Natural Resources,3,2,1
University of Massachusetts Amherst,"University of California, Berkeley",Field,Natural Resources,3,1,1
"Ohio State University, The","University of California, Davis",Field,Natural Resources,2,1,1
"University of Arizona, The","University of California, Davis",Field,Natural Resources,2,1,1
University of Florida,"University of California, Davis",Field,Natural Resources,6,1,5
University of Georgia,"University of California, Davis",Field,Natural Resources,2,1,1
University of Nebraska - Lincoln,"University of California, Davis",Field,Natural Resources,2,1,1
"University of Nevada, Reno","University of California, Davis",Field,Natural Resources,8,2,6
University of Rhode Island,"University of California, Davis",Field,Natural Resources,3,1,2
Utah State University,"University of California, Davis",Field,Natural Resources,3,1,2
West Virginia University,"University of California, Davis",Field,Natural Resources,3,1,2
University of Wisconsin - Milwaukee,University of Colorado Boulder,Field,Natural Resources,2,1,1
University of Connecticut,University of Connecticut,Field,Natural Resources,3,1,1
Clemson University,University of Florida,Field,Natural Resources,2,1,1
University of Florida,University of Florida,Field,Natural Resources,16,3,13
Clemson University,University of Georgia,Field,Natural Resources,2,1,1
University of Georgia,University of Georgia,Field,Natural Resources,17,3,13
SUNY College of Environmental Science and Forestry,University of Idaho,Field,Natural Resources,2,1,1
University of Wyoming,University of Idaho,Field,Natural Resources,2,1,1
"University of Arizona, The",University of Illinois at Urbana-Champaign,Field,Natural Resources,2,1,1
Loyola University Chicago,University of Louisville,Field,Natural Resources,2,1,1
University of New Hampshire,"University of Maine, The",Field,Natural Resources,2,1,1
Colorado State University,"University of Maryland, College Park",Field,Natural Resources,2,1,1
University of Massachusetts Amherst,University of Massachusetts Amherst,Field,Natural Resources,6,1,4
"University of Arizona, The",University of Michigan,Field,Natural Resources,3,2,1
University of Illinois at Urbana-Champaign,University of Michigan,Field,Natural Resources,3,1,2
University of Michigan,University of Michigan,Field,Natural Resources,9,2,7
"University of Vermont, The",University of Michigan,Field,Natural Resources,2,1,1
Loyola University Chicago,"University of Minnesota, Twin Cities",Field,Natural Resources,2,1,1
Montana State University,"University of Minnesota, Twin Cities",Field,Natural Resources,5,1,4
University of Georgia,"University of Minnesota, Twin Cities",Field,Natural Resources,3,2,1
University of Missouri,"University of Minnesota, Twin Cities",Field,Natural Resources,2,1,1
University of Nebraska - Lincoln,"University of Minnesota, Twin Cities",Field,Natural Resources,3,1,1
University of Nebraska - Lincoln,University of Nebraska - Lincoln,Field,Natural Resources,13,3,10
"University of Nevada, Reno","University of Nevada, Reno",Field,Natural Resources,11,3,8
North Carolina State University,University of North Carolina at Chapel Hill,Field,Natural Resources,5,3,2
Colorado State University,University of Washington,Field,Natural Resources,5,1,4
Cornell University,University of Washington,Field,Natural Resources,3,1,2
Oregon State University,University of Washington,Field,Natural Resources,4,1,3
"University of California, Davis",University of Washington,Field,Natural Resources,3,1,2
"University of Vermont, The",University of Washington,Field,Natural Resources,2,1,1
Colorado State University,University of Wisconsin - Madison,Field,Natural Resources,2,1,1
Iowa State University,University of Wisconsin - Madison,Field,Natural Resources,4,1,3
Montana State University,University of Wisconsin - Madison,Field,Natural Resources,3,1,1
"Pennsylvania State University, The",University of Wisconsin - Madison,Field,Natural Resources,3,1,2
University of Connecticut,University of Wisconsin - Madison,Field,Natural Resources,3,1,2
University of Florida,University of Wisconsin - Madison,Field,Natural Resources,4,1,3
University of Illinois at Urbana-Champaign,University of Wisconsin - Madison,Field,Natural Resources,4,2,1
"University of Vermont, The",University of Wisconsin - Madison,Field,Natural Resources,5,4,1
University of Wyoming,University of Wyoming,Field,Natural Resources,5,1,2
