InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
University of Rochester,Albert Einstein College of Medicine of Yeshiva University,Field,Neuroscience,2,1,1
Weill Medical College of Cornell University,Albert Einstein College of Medicine of Yeshiva University,Field,Neuroscience,4,1,2
University of North Carolina at Chapel Hill,Arizona State University,Field,Neuroscience,3,2,1
Boston University,Boston University,Field,Neuroscience,11,9,2
University of Rochester,Boston University,Field,Neuroscience,3,2,1
Brown University,Brown University,Field,Neuroscience,4,1,3
University of North Carolina at Chapel Hill,Brown University,Field,Neuroscience,3,1,2
Harvard University,California Institute of Technology,Field,Neuroscience,5,1,4
"University of Chicago, The",California Institute of Technology,Field,Neuroscience,2,1,1
University of Colorado Boulder,Carnegie Mellon University,Field,Neuroscience,3,1,1
Drexel University,Case Western Reserve University,Field,Neuroscience,2,1,1
"Ohio State University, The",Case Western Reserve University,Field,Neuroscience,3,2,1
Albert Einstein College of Medicine of Yeshiva University,"City University of New York, The",Field,Neuroscience,4,2,2
Rutgers - New Brunswick,"City University of New York, The",Field,Neuroscience,2,1,1
"College of William & Mary, The",Columbia University,Field,Neuroscience,2,1,1
Columbia University,Columbia University,Field,Neuroscience,4,2,2
Duke University,Columbia University,Field,Neuroscience,3,1,1
New York University,Columbia University,Field,Neuroscience,3,1,1
University of Rochester,Columbia University,Field,Neuroscience,2,1,1
"College of William & Mary, The",Cornell University,Field,Neuroscience,3,2,1
Duke University,Cornell University,Field,Neuroscience,3,2,1
Georgia State University,Cornell University,Field,Neuroscience,3,1,2
University of Rochester,Cornell University,Field,Neuroscience,2,1,1
Weill Medical College of Cornell University,Cornell University,Field,Neuroscience,2,1,1
Duke University,Duke University,Field,Neuroscience,7,1,5
Washington University in St. Louis,Duke University,Field,Neuroscience,2,1,1
Weill Medical College of Cornell University,Georgetown University,Field,Neuroscience,3,1,2
Duke University,Harvard University,Field,Neuroscience,5,1,4
Harvard University,Harvard University,Field,Neuroscience,8,1,7
Johns Hopkins University,Harvard University,Field,Neuroscience,5,1,4
"University of North Dakota, The",Harvard University,Field,Neuroscience,2,1,1
"College of William & Mary, The",Johns Hopkins University,Field,Neuroscience,3,1,2
Duke University,Johns Hopkins University,Field,Neuroscience,3,1,2
Harvard University,Johns Hopkins University,Field,Neuroscience,2,1,1
Johns Hopkins University,Johns Hopkins University,Field,Neuroscience,12,3,7
Massachusetts Institute of Technology,Johns Hopkins University,Field,Neuroscience,2,1,1
"Louisiana State University Health Sciences Center, Shreveport","Louisiana State University Health Sciences Center, Shreveport",Field,Neuroscience,3,1,2
Boston University,Massachusetts Institute of Technology,Field,Neuroscience,3,1,2
Brown University,Massachusetts Institute of Technology,Field,Neuroscience,4,1,3
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Neuroscience,9,3,6
