InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Nursing,5,4,1
Augusta University,Augusta University,Field,Nursing,29,23,2
Azusa Pacific University,Azusa Pacific University,Field,Nursing,7,5,1
Barry University,Barry University,Field,Nursing,17,11,3
University of Massachusetts Medical School,Boston College,Field,Nursing,6,5,1
Case Western Reserve University,Case Western Reserve University,Field,Nursing,42,36,4
Purdue University,Case Western Reserve University,Field,Nursing,2,1,1
"Stony Brook University, State University of New York",Case Western Reserve University,Field,Nursing,2,1,1
"University of Akron, The",Case Western Reserve University,Field,Nursing,5,4,1
University of Florida,Case Western Reserve University,Field,Nursing,2,1,1
University of Louisiana at Lafayette,Case Western Reserve University,Field,Nursing,3,2,1
University of South Florida,Case Western Reserve University,Field,Nursing,2,1,1
Columbia University,Columbia University,Field,Nursing,31,27,2
University of Connecticut,Columbia University,Field,Nursing,2,1,1
Duke University,Duke University,Field,Nursing,5,1,4
University of North Carolina at Chapel Hill,Duke University,Field,Nursing,9,8,1
East Carolina University,East Carolina University,Field,Nursing,6,5,1
Nova Southeastern University,Florida Atlantic University,Field,Nursing,7,4,3
Wayne State University,Indiana University - Bloomington,Field,Nursing,2,1,1
Indiana University of Pennsylvania,Indiana University of Pennsylvania,Field,Nursing,4,2,1
"University of Maryland Baltimore, The",Johns Hopkins University,Field,Nursing,12,11,1
University of North Carolina at Chapel Hill,Johns Hopkins University,Field,Nursing,4,3,1
Kent State University,Kent State University,Field,Nursing,10,7,1
Southern University and A&M College,Louisiana State University,Field,Nursing,2,1,1
University of Illinois at Chicago,Loyola University Chicago,Field,Nursing,3,2,1
Michigan State University,Michigan State University,Field,Nursing,14,11,2
New Mexico State University,New Mexico State University,Field,Nursing,6,5,1
Rutgers  - Newark,New York University,Field,Nursing,4,3,1
Rutgers - New Brunswick,New York University,Field,Nursing,2,1,1
Arizona State University,North Carolina State University,Field,Nursing,2,1,1
North Dakota State University,North Dakota State University,Field,Nursing,5,4,1
"Ohio State University, The","Ohio State University, The",Field,Nursing,19,13,4
Oregon Health & Science University,Oregon Health & Science University,Field,Nursing,31,27,1
"Binghamton University, State University of New York","Pennsylvania State University, The",Field,Nursing,2,1,1
Oregon Health & Science University,Portland State University,Field,Nursing,4,3,1
Rutgers University-Camden,Rutgers - New Brunswick,Field,Nursing,3,2,1
Saint Louis University,Saint Louis University,Field,Nursing,16,15,1
University of Missouri - St. Louis,Saint Louis University,Field,Nursing,2,1,1
"Stony Brook University, State University of New York","Stony Brook University, State University of New York",Field,Nursing,4,3,1
Rutgers University-Camden,Temple University,Field,Nursing,2,1,1
Temple University,Temple University,Field,Nursing,4,3,1
Texas Tech University Health Sciences Center,Texas Tech University,Field,Nursing,10,8,1
Texas Tech University Health Sciences Center,Texas Woman's University,Field,Nursing,14,13,1
Uniformed Services University of the Health Sciences,Uniformed Services University of the Health Sciences,Field,Nursing,5,1,4
"University at Buffalo, State University of New York","University at Buffalo, State University of New York",Field,Nursing,23,20,2
