InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Nutrition Sciences,4,1,3
Brooklyn College (CUNY),Brandeis University,Field,Nutrition Sciences,2,1,1
Case Western Reserve University,Case Western Reserve University,Field,Nutrition Sciences,7,6,1
Brooklyn College (CUNY),"City University of New York, The",Field,Nutrition Sciences,3,1,1
Clemson University,Clemson University,Field,Nutrition Sciences,5,1,4
Colorado State University,Colorado State University,Field,Nutrition Sciences,9,5,4
Brooklyn College (CUNY),Columbia University,Field,Nutrition Sciences,4,3,1
Cornell University,Cornell University,Field,Nutrition Sciences,6,5,1
Iowa State University,Cornell University,Field,Nutrition Sciences,3,2,1
Michigan State University,Cornell University,Field,Nutrition Sciences,2,1,1
"Pennsylvania State University, The",Cornell University,Field,Nutrition Sciences,2,1,1
University of North Carolina at Chapel Hill,Cornell University,Field,Nutrition Sciences,3,2,1
Cornell University,Harvard University,Field,Nutrition Sciences,3,2,1
Tufts University,Harvard University,Field,Nutrition Sciences,8,5,3
Ball State University,Indiana University - Bloomington,Field,Nutrition Sciences,3,1,2
Indiana University - Bloomington,Indiana University - Bloomington,Field,Nutrition Sciences,9,4,4
Iowa State University,Iowa State University,Field,Nutrition Sciences,7,2,3
Tufts University,Iowa State University,Field,Nutrition Sciences,2,1,1
Kansas State University,Kansas State University,Field,Nutrition Sciences,11,7,3
Oklahoma State University,Kansas State University,Field,Nutrition Sciences,2,1,1
Tufts University,Massachusetts Institute of Technology,Field,Nutrition Sciences,3,2,1
Clemson University,Michigan State University,Field,Nutrition Sciences,2,1,1
Iowa State University,Michigan State University,Field,Nutrition Sciences,2,1,1
Michigan State University,Michigan State University,Field,Nutrition Sciences,7,3,4
University of Illinois at Urbana-Champaign,Michigan State University,Field,Nutrition Sciences,3,1,2
Mississippi State University,Mississippi State University,Field,Nutrition Sciences,7,3,2
Clemson University,North Carolina State University,Field,Nutrition Sciences,2,1,1
North Carolina State University,North Carolina State University,Field,Nutrition Sciences,7,1,5
North Dakota State University,North Dakota State University,Field,Nutrition Sciences,5,4,1
"University of Cincinnati, The","Ohio State University, The",Field,Nutrition Sciences,2,1,1
University of Dayton,"Ohio State University, The",Field,Nutrition Sciences,2,1,1
"University of Vermont, The",Oregon State University,Field,Nutrition Sciences,2,1,1
New York University,"Pennsylvania State University, The",Field,Nutrition Sciences,3,1,1
Purdue University,"Pennsylvania State University, The",Field,Nutrition Sciences,3,1,1
Rutgers - New Brunswick,"Pennsylvania State University, The",Field,Nutrition Sciences,4,3,1
University of Delaware,"Pennsylvania State University, The",Field,Nutrition Sciences,3,1,2
