InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Albert Einstein College of Medicine of Yeshiva University,Albany Medical College,Field,Pathology,2,1,1
Uniformed Services University of the Health Sciences,Albany Medical College,Field,Pathology,4,1,3
Albert Einstein College of Medicine of Yeshiva University,Albert Einstein College of Medicine of Yeshiva University,Field,Pathology,12,2,10
Columbia University,Albert Einstein College of Medicine of Yeshiva University,Field,Pathology,3,1,2
"Stony Brook University, State University of New York",Albert Einstein College of Medicine of Yeshiva University,Field,Pathology,3,1,1
Weill Medical College of Cornell University,Albert Einstein College of Medicine of Yeshiva University,Field,Pathology,2,1,1
Baylor College of Medicine,Baylor College of Medicine,Field,Pathology,20,5,12
Columbia University,Baylor College of Medicine,Field,Pathology,2,1,1
University of Pennsylvania,Baylor College of Medicine,Field,Pathology,4,2,2
Boston University,Boston University,Field,Pathology,5,1,3
Duke University,Boston University,Field,Pathology,3,2,1
,Boston University,Field,Pathology,2,1,1
University of Southern California,California Institute of Technology,Field,Pathology,3,1,2
Case Western Reserve University,Case Western Reserve University,Field,Pathology,15,4,5
University of Rochester,Case Western Reserve University,Field,Pathology,3,1,2
Albert Einstein College of Medicine of Yeshiva University,"City University of New York, The",Field,Pathology,4,2,2
Colorado State University,Colorado State University,Field,Pathology,20,11,7
"University of California, Davis",Colorado State University,Field,Pathology,5,1,4
Columbia University,Columbia University,Field,Pathology,18,5,10
University of Kentucky,Columbia University,Field,Pathology,2,1,1
Weill Medical College of Cornell University,Columbia University,Field,Pathology,3,1,2
Yale University,Columbia University,Field,Pathology,3,1,2
Colorado State University,Cornell University,Field,Pathology,2,1,1
University of Georgia,Cornell University,Field,Pathology,3,1,2
Weill Medical College of Cornell University,Drexel University,Field,Pathology,2,1,1
Colorado State University,Duke University,Field,Pathology,2,1,1
Duke University,Duke University,Field,Pathology,16,2,12
Johns Hopkins University,Duke University,Field,Pathology,2,1,1
University of North Carolina at Chapel Hill,Duke University,Field,Pathology,4,2,2
University of Pennsylvania,Duke University,Field,Pathology,3,1,2
University of Pittsburgh,Duke University,Field,Pathology,5,2,3
"University of Vermont, The",Duke University,Field,Pathology,4,2,2
Vanderbilt University,Duke University,Field,Pathology,3,1,2
Johns Hopkins University,George Washington University,Field,Pathology,3,1,1
Boston University,Harvard University,Field,Pathology,2,1,1
Duke University,Harvard University,Field,Pathology,4,1,2
New York University,Harvard University,Field,Pathology,5,1,4
Stanford University,Harvard University,Field,Pathology,2,1,1
Vanderbilt University,Harvard University,Field,Pathology,3,1,2
