InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
"University of California, San Diego",Albert Einstein College of Medicine of Yeshiva University,Field,Pharmacology,2,1,1
"University of Mississippi Medical Center, The",Augusta University,Field,Pharmacology,2,1,1
Yale University,Brandeis University,Field,Pharmacology,2,1,1
Case Western Reserve University,Case Western Reserve University,Field,Pharmacology,3,1,2
Columbia University,Columbia University,Field,Pharmacology,4,2,2
Thomas Jefferson University,Cornell University,Field,Pharmacology,2,1,1
Weill Medical College of Cornell University,Cornell University,Field,Pharmacology,3,1,2
Duke University,Duke University,Field,Pharmacology,4,2,2
Vanderbilt University,Duke University,Field,Pharmacology,3,1,1
Duke University,Georgetown University,Field,Pharmacology,2,1,1
Georgetown University,Georgetown University,Field,Pharmacology,5,3,2
Boston University,Harvard University,Field,Pharmacology,2,1,1
"University of California, Los Angeles",Harvard University,Field,Pharmacology,4,1,2
Vanderbilt University,Harvard University,Field,Pharmacology,2,1,1
Howard University,Howard University,Field,Pharmacology,2,1,1
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,Field,Pharmacology,7,2,4
Indiana University-Purdue University Indianapolis,Indiana University - Bloomington,Field,Pharmacology,3,1,1
Boston University,Johns Hopkins University,Field,Pharmacology,2,1,1
Johns Hopkins University,Johns Hopkins University,Field,Pharmacology,10,2,8
University of Colorado Denver,Johns Hopkins University,Field,Pharmacology,2,1,1
Loma Linda University,Loma Linda University,Field,Pharmacology,5,1,4
"Louisiana State University Health Sciences Center, Shreveport","Louisiana State University Health Sciences Center, Shreveport",Field,Pharmacology,3,1,2
Duke University,Massachusetts Institute of Technology,Field,Pharmacology,3,1,1
University of Washington,Massachusetts Institute of Technology,Field,Pharmacology,2,1,1
Medical College of Wisconsin,Medical College of Wisconsin,Field,Pharmacology,6,2,4
Michigan State University,Michigan State University,Field,Pharmacology,8,3,3
University of Houston,Michigan State University,Field,Pharmacology,2,1,1
"University of Toledo, The",Northwestern University,Field,Pharmacology,2,1,1
Vanderbilt University,Northwestern University,Field,Pharmacology,3,1,2
Washington State University,Northwestern University,Field,Pharmacology,3,1,2
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Pharmacology,4,2,2
"University of Iowa, The","Pennsylvania State University, The",Field,Pharmacology,2,1,1
University of Virginia,"Pennsylvania State University, The",Field,Pharmacology,2,1,1
Weill Medical College of Cornell University,Princeton University,Field,Pharmacology,2,1,1
University of Florida,Purdue University,Field,Pharmacology,4,2,2
University of Michigan,Purdue University,Field,Pharmacology,2,1,1
Wayne State University,Rutgers - New Brunswick,Field,Pharmacology,2,1,1
Saint Louis University,Saint Louis University,Field,Pharmacology,4,1,3
Emory University,Stanford University,Field,Pharmacology,2,1,1
Oregon Health & Science University,Stanford University,Field,Pharmacology,2,1,1
