InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Auburn University,Auburn University,Field,Pharmacy,23,15,6
"Ohio State University, The",Duquesne University,Field,Pharmacy,2,1,1
Florida A&M University,Florida A&M University,Field,Pharmacy,22,9,12
University of South Florida,Florida A&M University,Field,Pharmacy,2,1,1
University of Georgia,Georgia Institute of Technology,Field,Pharmacy,2,1,1
Northeastern University,Harvard University,Field,Pharmacy,3,2,1
Florida A&M University,Howard University,Field,Pharmacy,2,1,1
University of North Carolina at Chapel Hill,Johns Hopkins University,Field,Pharmacy,2,1,1
Florida A&M University,Meharry Medical College,Field,Pharmacy,2,1,1
University of Kentucky,Michigan State University,Field,Pharmacy,2,1,1
University of North Carolina at Chapel Hill,North Carolina State University,Field,Pharmacy,4,2,1
North Dakota State University,North Dakota State University,Field,Pharmacy,12,9,3
"Ohio State University, The","Ohio State University, The",Field,Pharmacy,8,6,1
"University of Cincinnati, The","Ohio State University, The",Field,Pharmacy,3,1,2
"University of Kansas, The","Ohio State University, The",Field,Pharmacy,3,1,2
Oregon State University,Oregon State University,Field,Pharmacy,5,1,4
Purdue University,Purdue University,Field,Pharmacy,20,10,8
South Dakota State University,Purdue University,Field,Pharmacy,2,1,1
Oregon State University,Rutgers  - Newark,Field,Pharmacy,2,1,1
University of Oklahoma,Rutgers - New Brunswick,Field,Pharmacy,2,1,1
South Dakota State University,South Dakota State University,Field,Pharmacy,14,8,6
Long Island University Brooklyn Campus,St. John's University,Field,Pharmacy,4,1,2
University of Wisconsin - Madison,Stanford University,Field,Pharmacy,3,1,2
"University at Buffalo, State University of New York","University at Buffalo, State University of New York",Field,Pharmacy,21,7,12
University of Georgia,"University at Buffalo, State University of New York",Field,Pharmacy,2,1,1
University of North Carolina at Chapel Hill,"University at Buffalo, State University of New York",Field,Pharmacy,3,2,1
"University of Arizona, The","University of Arizona, The",Field,Pharmacy,3,1,2
University of Georgia,"University of California, San Diego",Field,Pharmacy,2,1,1
Purdue University,"University of California, San Francisco",Field,Pharmacy,2,1,1
