InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Alabama A&M University,Alabama A&M University,Field,"Physics, General",5,2,3
Arizona State University,Arizona State University,Field,"Physics, General",5,1,3
North Carolina State University,Arizona State University,Field,"Physics, General",2,1,1
Boston College,Boston University,Field,"Physics, General",2,1,1
Purdue University,Boston University,Field,"Physics, General",3,1,2
Brown University,Brown University,Field,"Physics, General",2,1,1
Duke University,California Institute of Technology,Field,"Physics, General",4,3,1
Indiana University - Bloomington,California Institute of Technology,Field,"Physics, General",3,1,2
Massachusetts Institute of Technology,California Institute of Technology,Field,"Physics, General",12,1,10
University of Arkansas,California Institute of Technology,Field,"Physics, General",2,1,1
"University of California, Irvine",California Institute of Technology,Field,"Physics, General",3,1,2
"University of California, Los Angeles",California Institute of Technology,Field,"Physics, General",7,3,4
"University of Maryland, College Park",California Institute of Technology,Field,"Physics, General",2,1,1
University of Wisconsin - Milwaukee,California Institute of Technology,Field,"Physics, General",2,1,1
Baruch College (CUNY),"City University of New York, The",Field,"Physics, General",2,1,1
Brooklyn College (CUNY),"City University of New York, The",Field,"Physics, General",3,1,2
Fordham University,"City University of New York, The",Field,"Physics, General",4,1,3
University of Arkansas,"City University of New York, The",Field,"Physics, General",2,1,1
Clemson University,Clemson University,Field,"Physics, General",3,1,1
Massachusetts Institute of Technology,Columbia University,Field,"Physics, General",3,1,2
University of Washington,Columbia University,Field,"Physics, General",3,1,1
Florida State University,Cornell University,Field,"Physics, General",2,1,1
Harvard University,Cornell University,Field,"Physics, General",2,1,1
Michigan State University,Cornell University,Field,"Physics, General",2,1,1
North Carolina State University,Cornell University,Field,"Physics, General",2,1,1
"Ohio State University, The",Cornell University,Field,"Physics, General",6,2,3
"Pennsylvania State University, The",Cornell University,Field,"Physics, General",2,1,1
"University of California, Santa Barbara",Cornell University,Field,"Physics, General",2,1,1
University of Connecticut,Cornell University,Field,"Physics, General",3,1,1
University of Florida,Cornell University,Field,"Physics, General",4,1,3
University of Houston,Cornell University,Field,"Physics, General",3,1,1
University of Illinois at Urbana-Champaign,Cornell University,Field,"Physics, General",6,2,4
"University of Maryland, College Park",Cornell University,Field,"Physics, General",2,1,1
University of Pennsylvania,Cornell University,Field,"Physics, General",2,1,1
University of Rochester,Cornell University,Field,"Physics, General",3,1,2
University of Wisconsin - Madison,Cornell University,Field,"Physics, General",3,1,2
Baylor University,Duke University,Field,"Physics, General",3,1,2
"University of Texas at Dallas, The",Florida State University,Field,"Physics, General",2,1,1
George Mason University,George Mason University,Field,"Physics, General",7,1,4
Brown University,Harvard University,Field,"Physics, General",6,1,5
California Institute of Technology,Harvard University,Field,"Physics, General",8,1,7
Columbia University,Harvard University,Field,"Physics, General",5,1,4
Duke University,Harvard University,Field,"Physics, General",4,1,2
Harvard University,Harvard University,Field,"Physics, General",10,1,7
Massachusetts Institute of Technology,Harvard University,Field,"Physics, General",9,1,7
Michigan State University,Harvard University,Field,"Physics, General",5,2,2
New York University,Harvard University,Field,"Physics, General",2,1,1
"Stony Brook University, State University of New York",Harvard University,Field,"Physics, General",3,1,2
Syracuse University,Harvard University,Field,"Physics, General",2,1,1
"University of California, Los Angeles",Harvard University,Field,"Physics, General",6,1,5
"University of California, San Diego",Harvard University,Field,"Physics, General",6,1,4
"University of California, Santa Barbara",Harvard University,Field,"Physics, General",5,2,3
"University of Chicago, The",Harvard University,Field,"Physics, General",6,3,2
University of Florida,Harvard University,Field,"Physics, General",3,1,2
University of Illinois at Urbana-Champaign,Harvard University,Field,"Physics, General",3,1,1
University of Massachusetts Amherst,Harvard University,Field,"Physics, General",4,2,1
University of North Carolina at Chapel Hill,Harvard University,Field,"Physics, General",4,1,2
University of Oklahoma,Harvard University,Field,"Physics, General",2,1,1
University of Oregon,Harvard University,Field,"Physics, General",3,1,2
University of Pennsylvania,Harvard University,Field,"Physics, General",10,2,7
"University of Texas at Austin, The",Harvard University,Field,"Physics, General",6,1,4
University of Washington,Harvard University,Field,"Physics, General",2,1,1
Illinois Institute of Technology,Illinois Institute of Technology,Field,"Physics, General",6,2,3
George Washington University,Indiana University - Bloomington,Field,"Physics, General",2,1,1
University of Florida,Johns Hopkins University,Field,"Physics, General",2,1,1
University of Virginia,Johns Hopkins University,Field,"Physics, General",2,1,1
Louisiana State University,Louisiana State University,Field,"Physics, General",2,1,1
California Institute of Technology,Massachusetts Institute of Technology,Field,"Physics, General",4,1,1
Case Western Reserve University,Massachusetts Institute of Technology,Field,"Physics, General",5,1,4
Columbia University,Massachusetts Institute of Technology,Field,"Physics, General",4,1,3
Harvard University,Massachusetts Institute of Technology,Field,"Physics, General",3,1,2
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,"Physics, General",31,4,24
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,"Physics, General",5,1,4
Stanford University,Massachusetts Institute of Technology,Field,"Physics, General",4,1,3
"University of California, Riverside",Massachusetts Institute of Technology,Field,"Physics, General",3,1,2
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Field,"Physics, General",4,1,2
University of Kentucky,Massachusetts Institute of Technology,Field,"Physics, General",3,1,2
"University of Maryland, College Park",Massachusetts Institute of Technology,Field,"Physics, General",8,1,6
"University of New Mexico, The",Massachusetts Institute of Technology,Field,"Physics, General",2,1,1
Michigan State University,Michigan State University,Field,"Physics, General",3,1,2
Texas A&M University,Michigan State University,Field,"Physics, General",2,1,1
"University of California, Irvine",Michigan State University,Field,"Physics, General",2,1,1
Illinois Institute of Technology,Northwestern University,Field,"Physics, General",2,1,1
University of Nebraska - Lincoln,Northwestern University,Field,"Physics, General",2,1,1
Georgia State University,"Ohio State University, The",Field,"Physics, General",2,1,1
Texas A&M University,"Ohio State University, The",Field,"Physics, General",2,1,1
Ball State University,Ohio University,Field,"Physics, General",4,1,2
"Binghamton University, State University of New York","Pennsylvania State University, The",Field,"Physics, General",2,1,1
Carnegie Mellon University,Princeton University,Field,"Physics, General",4,2,2
George Mason University,Princeton University,Field,"Physics, General",2,1,1
Georgia Institute of Technology,Princeton University,Field,"Physics, General",2,1,1
Johns Hopkins University,Princeton University,Field,"Physics, General",4,1,3
New York University,Princeton University,Field,"Physics, General",5,1,3
"Ohio State University, The",Princeton University,Field,"Physics, General",2,1,1
Princeton University,Princeton University,Field,"Physics, General",11,1,9
Rutgers - New Brunswick,Princeton University,Field,"Physics, General",8,1,5
South Dakota School of Mines & Technology,Princeton University,Field,"Physics, General",2,1,1
Stanford University,Princeton University,Field,"Physics, General",4,1,2
"Stony Brook University, State University of New York",Princeton University,Field,"Physics, General",5,1,4
Texas A&M University,Princeton University,Field,"Physics, General",4,1,3
"University of California, Davis",Princeton University,Field,"Physics, General",5,1,4
"University of California, Irvine",Princeton University,Field,"Physics, General",5,1,2
"University of California, Santa Barbara",Princeton University,Field,"Physics, General",7,1,5
University of Massachusetts Amherst,Princeton University,Field,"Physics, General",3,2,1
"University of Minnesota, Twin Cities",Princeton University,Field,"Physics, General",2,1,1
University of Southern California,Princeton University,Field,"Physics, General",2,1,1
"University of Texas at Austin, The",Princeton University,Field,"Physics, General",3,1,2
Idaho State University,Purdue University,Field,"Physics, General",2,1,1
Missouri University of Science and Technology,Purdue University,Field,"Physics, General",2,1,1
Rice University,Rice University,Field,"Physics, General",4,1,3
Fordham University,Rutgers - New Brunswick,Field,"Physics, General",2,1,1
Louisiana State University,Rutgers - New Brunswick,Field,"Physics, General",2,1,1
Rutgers - New Brunswick,Rutgers - New Brunswick,Field,"Physics, General",5,2,2
"Stony Brook University, State University of New York",Rutgers - New Brunswick,Field,"Physics, General",2,1,1
Carnegie Mellon University,Stanford University,Field,"Physics, General",2,1,1
Drexel University,Stanford University,Field,"Physics, General",2,1,1
Harvard University,Stanford University,Field,"Physics, General",2,1,1
Iowa State University,Stanford University,Field,"Physics, General",2,1,1
North Carolina State University,Stanford University,Field,"Physics, General",2,1,1
Old Dominion University,Stanford University,Field,"Physics, General",2,1,1
Oregon State University,Stanford University,Field,"Physics, General",2,1,1
Princeton University,Stanford University,Field,"Physics, General",5,1,3
Stanford University,Stanford University,Field,"Physics, General",6,1,5
"University of California, Berkeley",Stanford University,Field,"Physics, General",8,1,6
"University of California, Davis",Stanford University,Field,"Physics, General",2,1,1
"University of California, San Diego",Stanford University,Field,"Physics, General",4,1,2
University of Illinois at Urbana-Champaign,Stanford University,Field,"Physics, General",6,1,4
University of Oregon,Stanford University,Field,"Physics, General",2,1,1
Brown University,"Stony Brook University, State University of New York",Field,"Physics, General",3,1,2
Illinois Institute of Technology,"Stony Brook University, State University of New York",Field,"Physics, General",2,1,1
University of Illinois at Urbana-Champaign,"Stony Brook University, State University of New York",Field,"Physics, General",2,1,1
Vanderbilt University,"Stony Brook University, State University of New York",Field,"Physics, General",4,1,2
University of New Hampshire,Temple University,Field,"Physics, General",2,1,1
"College of William & Mary, The",Texas A&M University,Field,"Physics, General",2,1,1
Tulane University,Tulane University,Field,"Physics, General",3,1,1
"University of Texas at El Paso, The","University at Buffalo, State University of New York",Field,"Physics, General",2,1,1
University of Idaho,"University of Arizona, The",Field,"Physics, General",2,1,1
Carnegie Mellon University,"University of California, Berkeley",Field,"Physics, General",2,1,1
Dartmouth College,"University of California, Berkeley",Field,"Physics, General",2,1,1
Georgetown University,"University of California, Berkeley",Field,"Physics, General",2,1,1
Harvard University,"University of California, Berkeley",Field,"Physics, General",4,1,3
Indiana University - Bloomington,"University of California, Berkeley",Field,"Physics, General",3,1,2
Massachusetts Institute of Technology,"University of California, Berkeley",Field,"Physics, General",10,1,7
Northeastern University,"University of California, Berkeley",Field,"Physics, General",4,1,3
Northwestern University,"University of California, Berkeley",Field,"Physics, General",2,1,1
"Ohio State University, The","University of California, Berkeley",Field,"Physics, General",5,1,4
Oregon State University,"University of California, Berkeley",Field,"Physics, General",3,1,2
Purdue University,"University of California, Berkeley",Field,"Physics, General",3,1,1
Rensselaer Polytechnic Institute,"University of California, Berkeley",Field,"Physics, General",3,1,1
Stanford University,"University of California, Berkeley",Field,"Physics, General",5,2,2
Texas State University,"University of California, Berkeley",Field,"Physics, General",2,1,1
"University of California, Berkeley","University of California, Berkeley",Field,"Physics, General",11,1,10
"University of California, Davis","University of California, Berkeley",Field,"Physics, General",7,2,2
"University of California, Los Angeles","University of California, Berkeley",Field,"Physics, General",7,1,6
"University of California, San Diego","University of California, Berkeley",Field,"Physics, General",5,2,3
"University of California, Santa Barbara","University of California, Berkeley",Field,"Physics, General",10,1,8
"University of Cincinnati, The","University of California, Berkeley",Field,"Physics, General",4,1,3
University of Colorado Boulder,"University of California, Berkeley",Field,"Physics, General",9,3,6
"University of Minnesota, Twin Cities","University of California, Berkeley",Field,"Physics, General",9,1,6
University of Washington,"University of California, Berkeley",Field,"Physics, General",3,1,2
University of Wisconsin - Milwaukee,"University of California, Berkeley",Field,"Physics, General",2,1,1
Washington State University,"University of California, Berkeley",Field,"Physics, General",2,1,1
Texas A&M University,"University of California, Irvine",Field,"Physics, General",2,1,1
"University of California, Riverside","University of California, Los Angeles",Field,"Physics, General",4,1,2
University of Illinois at Urbana-Champaign,"University of California, Los Angeles",Field,"Physics, General",3,1,2
"University of Iowa, The","University of California, Los Angeles",Field,"Physics, General",3,1,2
"University of Minnesota, Twin Cities","University of California, Los Angeles",Field,"Physics, General",2,1,1
University of Southern California,"University of California, Los Angeles",Field,"Physics, General",3,1,2
University of Houston,"University of California, San Diego",Field,"Physics, General",3,1,2
Virginia Polytechnic Institute and State University,"University of California, San Diego",Field,"Physics, General",2,1,1
