InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
University of Arkansas for Medical Sciences,Baylor College of Medicine,Field,Physiology,2,1,1
Boston University,Boston University,Field,Physiology,3,1,2
University of Wyoming,Colorado State University,Field,Physiology,2,1,1
New York University,Columbia University,Field,Physiology,3,1,1
University of North Carolina at Chapel Hill,Duke University,Field,Physiology,4,3,1
Vanderbilt University,Emory University,Field,Physiology,5,1,4
Georgetown University,Georgetown University,Field,Physiology,5,3,2
Northwestern University,Harvard University,Field,Physiology,4,1,3
"University of California, Los Angeles",Harvard University,Field,Physiology,4,1,3
"University of California, San Francisco",Harvard University,Field,Physiology,4,1,3
University of North Carolina at Chapel Hill,Harvard University,Field,Physiology,2,1,1
University of Pennsylvania,Harvard University,Field,Physiology,4,1,2
Weill Medical College of Cornell University,Harvard University,Field,Physiology,4,1,2
Howard University,Howard University,Field,Physiology,4,3,1
Ball State University,Indiana University - Bloomington,Field,Physiology,3,1,2
Indiana University-Purdue University Indianapolis,Indiana University - Bloomington,Field,Physiology,4,2,2
Indiana University-Purdue University Indianapolis,Johns Hopkins University,Field,Physiology,2,1,1
Weill Medical College of Cornell University,Johns Hopkins University,Field,Physiology,2,1,1
Yale University,Johns Hopkins University,Field,Physiology,2,1,1
Loma Linda University,Loma Linda University,Field,Physiology,5,1,4
University of Florida,Louisiana State University,Field,Physiology,3,1,2
Louisiana State University School of Medicine in New Orleans,Louisiana State University School of Medicine in New Orleans,Field,Physiology,2,1,1
University of Kentucky,Loyola University Chicago,Field,Physiology,2,1,1
Medical College of Wisconsin,Medical College of Wisconsin,Field,Physiology,12,4,8
"University of Mississippi Medical Center, The",Medical College of Wisconsin,Field,Physiology,2,1,1
Vanderbilt University,Medical College of Wisconsin,Field,Physiology,3,1,2
Michigan State University,Michigan State University,Field,Physiology,7,4,3
University of Wyoming,Michigan State University,Field,Physiology,2,1,1
New York University,New York University,Field,Physiology,4,1,1
Northwestern University,Northwestern University,Field,Physiology,6,1,4
"Pennsylvania State University, The",Northwestern University,Field,Physiology,2,1,1
"University of Cincinnati, The",Northwestern University,Field,Physiology,3,1,2
"University of Toledo, The",Northwestern University,Field,Physiology,2,1,1
Indiana University-Purdue University Indianapolis,"Ohio State University, The",Field,Physiology,3,1,2
"Ohio State University, The","Ohio State University, The",Field,Physiology,4,1,3
Uniformed Services University of the Health Sciences,"Ohio State University, The",Field,Physiology,2,1,1
Northwestern University,Princeton University,Field,Physiology,3,1,2
"University of Montana, Missoula",Princeton University,Field,Physiology,3,1,2
Kansas State University,Purdue University,Field,Physiology,3,2,1
University of Wisconsin - Madison,Purdue University,Field,Physiology,2,1,1
SUNY Upstate Medical University,SUNY Upstate Medical University,Field,Physiology,3,1,2
Saint Louis University,Saint Louis University,Field,Physiology,4,1,3
Oregon Health & Science University,Stanford University,Field,Physiology,2,1,1
"Stony Brook University, State University of New York","Stony Brook University, State University of New York",Field,Physiology,2,1,1
Temple University,Temple University,Field,Physiology,5,1,3
Texas A&M University,Texas A&M Health Science Center,Field,Physiology,3,1,2
Thomas Jefferson University,Thomas Jefferson University,Field,Physiology,2,1,1
"University of Alabama at Birmingham, The","University of Alabama at Birmingham, The",Field,Physiology,7,3,1
University of Wyoming,University of Alaska Fairbanks,Field,Physiology,3,2,1
"University of Arizona, The","University of Arizona, The",Field,Physiology,5,3,1
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,Field,Physiology,6,2,4
"University of California, Davis","University of California, Berkeley",Field,Physiology,5,3,2
University of Washington,"University of California, Berkeley",Field,Physiology,5,1,4
Loma Linda University,"University of California, Davis",Field,Physiology,3,1,2
