InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Iowa State University,Clemson University,Field,Plant Pathology,2,1,1
"University of Tennessee, The",Clemson University,Field,Plant Pathology,2,1,1
Oregon State University,Colorado State University,Field,Plant Pathology,2,1,1
Colorado State University,Cornell University,Field,Plant Pathology,4,2,1
Cornell University,Cornell University,Field,Plant Pathology,7,1,6
Kansas State University,Cornell University,Field,Plant Pathology,3,1,2
Michigan State University,Cornell University,Field,Plant Pathology,5,2,2
Oregon State University,Cornell University,Field,Plant Pathology,3,1,2
"Pennsylvania State University, The",Cornell University,Field,Plant Pathology,2,1,1
University of Arkansas,Cornell University,Field,Plant Pathology,2,1,1
University of Florida,Cornell University,Field,Plant Pathology,4,2,1
University of Georgia,Cornell University,Field,Plant Pathology,5,1,3
University of Wisconsin - Madison,Cornell University,Field,Plant Pathology,2,1,1
University of Kentucky,Louisiana State University,Field,Plant Pathology,2,1,1
Cornell University,Michigan State University,Field,Plant Pathology,4,1,3
Michigan State University,Michigan State University,Field,Plant Pathology,9,3,4
North Carolina State University,Michigan State University,Field,Plant Pathology,3,1,2
University of Florida,Michigan State University,Field,Plant Pathology,2,1,1
Virginia Polytechnic Institute and State University,Michigan State University,Field,Plant Pathology,3,1,1
Mississippi State University,Mississippi State University,Field,Plant Pathology,9,2,6
Montana State University,Montana State University,Field,Plant Pathology,6,3,2
New Mexico State University,New Mexico State University,Field,Plant Pathology,3,1,2
North Carolina State University,North Carolina State University,Field,Plant Pathology,7,1,6
"University of Tennessee, The",North Carolina State University,Field,Plant Pathology,6,2,4
North Dakota State University,North Dakota State University,Field,Plant Pathology,5,1,3
"Ohio State University, The","Ohio State University, The",Field,Plant Pathology,3,2,1
Kansas State University,Oregon State University,Field,Plant Pathology,2,1,1
Oregon State University,Oregon State University,Field,Plant Pathology,5,1,4
Cornell University,"Pennsylvania State University, The",Field,Plant Pathology,2,1,1
Michigan State University,"Pennsylvania State University, The",Field,Plant Pathology,2,1,1
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Plant Pathology,4,1,3
University of Kentucky,"Pennsylvania State University, The",Field,Plant Pathology,2,1,1
Oregon State University,Purdue University,Field,Plant Pathology,2,1,1
Rutgers - New Brunswick,Rutgers - New Brunswick,Field,Plant Pathology,9,2,6
Oklahoma State University,Texas A&M University,Field,Plant Pathology,4,3,1
Michigan State University,University of Arkansas,Field,Plant Pathology,2,1,1
Oklahoma State University,University of Arkansas,Field,Plant Pathology,2,1,1
Oregon State University,"University of California, Berkeley",Field,Plant Pathology,2,1,1
"Pennsylvania State University, The","University of California, Berkeley",Field,Plant Pathology,2,1,1
"University of California, Davis","University of California, Berkeley",Field,Plant Pathology,3,2,1
Cornell University,"University of California, Davis",Field,Plant Pathology,3,1,2
Michigan State University,"University of California, Davis",Field,Plant Pathology,3,1,2
North Carolina State University,"University of California, Davis",Field,Plant Pathology,4,2,2
Oregon State University,"University of California, Davis",Field,Plant Pathology,2,1,1
"Pennsylvania State University, The","University of California, Davis",Field,Plant Pathology,2,1,1
Purdue University,"University of California, Davis",Field,Plant Pathology,2,1,1
University of Arkansas,"University of California, Davis",Field,Plant Pathology,2,1,1
"University of California, Davis","University of California, Davis",Field,Plant Pathology,4,2,2
University of Georgia,"University of California, Davis",Field,Plant Pathology,2,1,1
University of Wisconsin - Madison,"University of California, Davis",Field,Plant Pathology,2,1,1
Washington State University,"University of California, Davis",Field,Plant Pathology,3,2,1
North Carolina State University,University of Florida,Field,Plant Pathology,4,1,3
University of Florida,University of Florida,Field,Plant Pathology,5,1,4
"University of Tennessee, The",University of Florida,Field,Plant Pathology,3,2,1
New Mexico State University,University of Georgia,Field,Plant Pathology,2,1,1
Auburn University,University of Illinois at Urbana-Champaign,Field,Plant Pathology,3,1,2
Rutgers - New Brunswick,University of Illinois at Urbana-Champaign,Field,Plant Pathology,3,2,1
University of Nebraska - Lincoln,University of Illinois at Urbana-Champaign,Field,Plant Pathology,2,1,1
Texas A&M University,University of Kentucky,Field,Plant Pathology,2,1,1
Michigan State University,"University of Minnesota, Twin Cities",Field,Plant Pathology,4,1,3
Oregon State University,"University of Minnesota, Twin Cities",Field,Plant Pathology,2,1,1
"University of Minnesota, Twin Cities","University of Minnesota, Twin Cities",Field,Plant Pathology,4,1,3
"University of California, Riverside",University of Pennsylvania,Field,Plant Pathology,2,1,1
Mississippi State University,"University of Tennessee, The",Field,Plant Pathology,2,1,1
"University of Tennessee, The","University of Tennessee, The",Field,Plant Pathology,5,1,4
"University of Montana, Missoula",University of Washington,Field,Plant Pathology,3,1,2
Kansas State University,University of Wisconsin - Madison,Field,Plant Pathology,4,2,2
Montana State University,University of Wisconsin - Madison,Field,Plant Pathology,5,2,3
North Carolina State University,University of Wisconsin - Madison,Field,Plant Pathology,4,2,2
Oregon State University,University of Wisconsin - Madison,Field,Plant Pathology,5,1,4
"University of Minnesota, Twin Cities",University of Wisconsin - Madison,Field,Plant Pathology,4,2,2
Washington State University,Washington State University,Field,Plant Pathology,2,1,1
