InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
"University of Cincinnati, The",American University,Field,Political Science,2,1,1
University of North Carolina Charlotte,American University,Field,Political Science,4,3,1
Virginia Polytechnic Institute and State University,American University,Field,Political Science,2,1,1
Arizona State University,Arizona State University,Field,Political Science,3,1,2
"University of Alabama, The",Arizona State University,Field,Political Science,2,1,1
"University of Akron, The","Binghamton University, State University of New York",Field,Political Science,2,1,1
University of Central Florida,"Binghamton University, State University of New York",Field,Political Science,3,2,1
University of Connecticut,"Binghamton University, State University of New York",Field,Political Science,2,1,1
University of Houston,Boston College,Field,Political Science,2,1,1
Northeastern University,Brown University,Field,Political Science,2,1,1
"Binghamton University, State University of New York",California Institute of Technology,Field,Political Science,2,1,1
"University of Chicago, The",California Institute of Technology,Field,Political Science,2,1,1
Washington University in St. Louis,California Institute of Technology,Field,Political Science,4,2,2
Baruch College (CUNY),"City University of New York, The",Field,Political Science,2,1,1
Brooklyn College (CUNY),"City University of New York, The",Field,Political Science,3,1,2
John Jay College of Criminal Justice (CUNY),"City University of New York, The",Field,Political Science,2,1,1
Arizona State University,Columbia University,Field,Political Science,2,1,1
Brigham Young University,Columbia University,Field,Political Science,2,1,1
Brown University,Columbia University,Field,Political Science,4,2,2
City College (CUNY),Columbia University,Field,Political Science,4,1,3
Florida International University,Columbia University,Field,Political Science,2,1,1
Georgetown University,Columbia University,Field,Political Science,7,1,6
Harvard University,Columbia University,Field,Political Science,7,3,4
Northwestern University,Columbia University,Field,Political Science,3,1,2
Ohio University,Columbia University,Field,Political Science,2,1,1
Rutgers  - Newark,Columbia University,Field,Political Science,2,1,1
Rutgers - New Brunswick,Columbia University,Field,Political Science,3,1,1
Syracuse University,Columbia University,Field,Political Science,4,1,2
Tufts University,Columbia University,Field,Political Science,3,1,2
"University of California, Irvine",Columbia University,Field,Political Science,3,2,1
"University of California, San Diego",Columbia University,Field,Political Science,2,1,1
"University of California, Santa Barbara",Columbia University,Field,Political Science,3,2,1
"University of California, Santa Cruz",Columbia University,Field,Political Science,3,2,1
"University of Minnesota, Twin Cities",Columbia University,Field,Political Science,2,1,1
University of North Carolina at Chapel Hill,Columbia University,Field,Political Science,3,1,1
University of Pennsylvania,Columbia University,Field,Political Science,4,1,3
University of Pittsburgh,Columbia University,Field,Political Science,2,1,1
Washington University in St. Louis,Columbia University,Field,Political Science,2,1,1
Yale University,Columbia University,Field,Political Science,4,3,1
Arizona State University,Cornell University,Field,Political Science,5,1,4
Boston College,Cornell University,Field,Political Science,2,1,1
Brown University,Cornell University,Field,Political Science,2,1,1
Cornell University,Cornell University,Field,Political Science,4,2,2
Indiana University - Bloomington,Cornell University,Field,Political Science,2,1,1
Marquette University,Cornell University,Field,Political Science,2,1,1
Rutgers - New Brunswick,Cornell University,Field,Political Science,2,1,1
"University of California, Riverside",Cornell University,Field,Political Science,2,1,1
"University of California, Santa Cruz",Cornell University,Field,Political Science,2,1,1
University of Delaware,Cornell University,Field,Political Science,3,1,1
University of Oklahoma,Cornell University,Field,Political Science,2,1,1
"University of Texas at Austin, The",Cornell University,Field,Political Science,2,1,1
Arizona State University,Duke University,Field,Political Science,3,1,1
Indiana University - Bloomington,Duke University,Field,Political Science,2,1,1
Northwestern University,Duke University,Field,Political Science,2,1,1
"Ohio State University, The",Duke University,Field,Political Science,3,1,2
University of Colorado Boulder,Duke University,Field,Political Science,2,1,1
University of Connecticut,Duke University,Field,Political Science,3,1,2
"University of Kansas, The",Duke University,Field,Political Science,2,1,1
University of North Carolina at Chapel Hill,Duke University,Field,Political Science,5,1,3
"University of Texas at Dallas, The",Duke University,Field,Political Science,3,1,2
Vanderbilt University,Duke University,Field,Political Science,5,2,3
Wake Forest University,Duke University,Field,Political Science,2,1,1
Georgia State University,Emory University,Field,Political Science,2,1,1
University of Colorado Boulder,Emory University,Field,Political Science,2,1,1
University of Connecticut,Emory University,Field,Political Science,2,1,1
"University of Texas at Austin, The",Emory University,Field,Political Science,3,1,2
Florida A&M University,Florida A&M University,Field,Political Science,2,1,1
Mississippi State University,Florida Atlantic University,Field,Political Science,2,1,1
Florida A&M University,Florida State University,Field,Political Science,16,5,9
Texas Tech University,Florida State University,Field,Political Science,2,1,1
"University of Alabama, The",Florida State University,Field,Political Science,2,1,1
"University of Texas at Dallas, The",Florida State University,Field,Political Science,3,1,2
Virginia Commonwealth University,Florida State University,Field,Political Science,3,1,1
West Virginia University,Florida State University,Field,Political Science,2,1,1
Baylor University,Fordham University,Field,Political Science,2,1,1
American University,Georgetown University,Field,Political Science,2,1,1
Cornell University,Georgetown University,Field,Political Science,3,1,2
"University of Alabama at Birmingham, The",Georgia State University,Field,Political Science,2,1,1
Arizona State University,Harvard University,Field,Political Science,3,2,1
Boston College,Harvard University,Field,Political Science,5,1,3
Boston University,Harvard University,Field,Political Science,4,2,2
Brown University,Harvard University,Field,Political Science,2,1,1
Columbia University,Harvard University,Field,Political Science,8,3,4
Georgetown University,Harvard University,Field,Political Science,10,3,6
Harvard University,Harvard University,Field,Political Science,50,8,41
Indiana University - Bloomington,Harvard University,Field,Political Science,3,1,2
Massachusetts Institute of Technology,Harvard University,Field,Political Science,12,3,9
New York University,Harvard University,Field,Political Science,8,3,4
Northeastern University,Harvard University,Field,Political Science,4,1,2
Northwestern University,Harvard University,Field,Political Science,3,2,1
"Ohio State University, The",Harvard University,Field,Political Science,2,1,1
Princeton University,Harvard University,Field,Political Science,6,2,4
Purdue University,Harvard University,Field,Political Science,2,1,1
Rutgers - New Brunswick,Harvard University,Field,Political Science,4,1,3
Stanford University,Harvard University,Field,Political Science,14,2,12
Temple University,Harvard University,Field,Political Science,5,1,4
Tufts University,Harvard University,Field,Political Science,6,1,5
"University of California, Berkeley",Harvard University,Field,Political Science,5,1,1
"University of California, Irvine",Harvard University,Field,Political Science,4,1,3
"University of California, San Diego",Harvard University,Field,Political Science,10,3,6
"University of Chicago, The",Harvard University,Field,Political Science,9,1,7
University of Michigan,Harvard University,Field,Political Science,11,4,7
"University of Minnesota, Twin Cities",Harvard University,Field,Political Science,2,1,1
"University of Mississippi, The",Harvard University,Field,Political Science,2,1,1
University of North Carolina at Chapel Hill,Harvard University,Field,Political Science,5,1,3
University of Notre Dame,Harvard University,Field,Political Science,4,1,3
University of Oregon,Harvard University,Field,Political Science,2,1,1
University of Pennsylvania,Harvard University,Field,Political Science,7,2,5
University of Rochester,Harvard University,Field,Political Science,7,2,5
University of Virginia,Harvard University,Field,Political Science,5,1,4
University of Washington,Harvard University,Field,Political Science,2,1,1
University of Wisconsin - Madison,Harvard University,Field,Political Science,5,2,3
Yale University,Harvard University,Field,Political Science,6,4,2
Montana State University,Idaho State University,Field,Political Science,2,1,1
Arizona State University,Indiana University - Bloomington,Field,Political Science,2,1,1
Indiana University-Purdue University Indianapolis,Indiana University - Bloomington,Field,Political Science,3,1,2
Louisiana State University,Indiana University - Bloomington,Field,Political Science,3,1,1
Mississippi State University,Indiana University - Bloomington,Field,Political Science,3,1,1
Oklahoma State University,Indiana University - Bloomington,Field,Political Science,2,1,1
University of Houston,Indiana University - Bloomington,Field,Political Science,3,1,2
University of Massachusetts Amherst,Indiana University - Bloomington,Field,Political Science,2,1,1
University of Missouri - St. Louis,Indiana University - Bloomington,Field,Political Science,2,1,1
"Catholic University of America, The",Johns Hopkins University,Field,Political Science,2,1,1
University of Colorado Boulder,Johns Hopkins University,Field,Political Science,2,1,1
University of Hawaii,Johns Hopkins University,Field,Political Science,2,1,1
Virginia Polytechnic Institute and State University,Johns Hopkins University,Field,Political Science,3,1,2
Kent State University,Kent State University,Field,Political Science,3,1,2
"University of Texas at Tyler, The",Louisiana State University,Field,Political Science,2,1,1
Boston College,Massachusetts Institute of Technology,Field,Political Science,3,2,1
Dartmouth College,Massachusetts Institute of Technology,Field,Political Science,5,1,4
George Washington University,Massachusetts Institute of Technology,Field,Political Science,3,1,2
Harvard University,Massachusetts Institute of Technology,Field,Political Science,13,5,6
Syracuse University,Massachusetts Institute of Technology,Field,Political Science,4,1,3
Tufts University,Massachusetts Institute of Technology,Field,Political Science,3,2,1
"University of California, San Diego",Massachusetts Institute of Technology,Field,Political Science,2,1,1
"University of California, Santa Barbara",Massachusetts Institute of Technology,Field,Political Science,2,1,1
University of Notre Dame,Massachusetts Institute of Technology,Field,Political Science,3,1,2
University of Oregon,Massachusetts Institute of Technology,Field,Political Science,3,1,2
University of Pennsylvania,Massachusetts Institute of Technology,Field,Political Science,3,1,1
"University of Texas at Austin, The",Massachusetts Institute of Technology,Field,Political Science,3,2,1
Yale University,Massachusetts Institute of Technology,Field,Political Science,4,1,3
"Binghamton University, State University of New York",Michigan State University,Field,Political Science,2,1,1
"University of Iowa, The",Michigan State University,Field,Political Science,2,1,1
"University of North Carolina at Greensboro, The",Michigan State University,Field,Political Science,2,1,1
University of Oregon,"New School, The",Field,Political Science,2,1,1
Drexel University,New York University,Field,Political Science,2,1,1
"Pennsylvania State University, The",New York University,Field,Political Science,3,1,2
Saint Louis University,New York University,Field,Political Science,2,1,1
"University of California, San Diego",New York University,Field,Political Science,2,1,1
University of Pittsburgh,New York University,Field,Political Science,3,2,1
Washington State University,New York University,Field,Political Science,2,1,1
University of North Carolina at Chapel Hill,North Carolina State University,Field,Political Science,3,1,1
Kansas State University,Northern Illinois University,Field,Political Science,2,1,1
Miami University,Northwestern University,Field,Political Science,2,1,1
Michigan State University,Northwestern University,Field,Political Science,3,1,2
"University of California, Irvine",Northwestern University,Field,Political Science,2,1,1
"University of Maryland, College Park",Northwestern University,Field,Political Science,3,1,2
University of Michigan,Northwestern University,Field,Political Science,4,1,3
"University of Minnesota, Twin Cities",Northwestern University,Field,Political Science,2,1,1
Brigham Young University,"Ohio State University, The",Field,Political Science,2,1,1
"College of William & Mary, The","Ohio State University, The",Field,Political Science,2,1,1
Colorado State University,"Ohio State University, The",Field,Political Science,2,1,1
Drexel University,"Ohio State University, The",Field,Political Science,2,1,1
Georgia State University,"Ohio State University, The",Field,Political Science,2,1,1
"Pennsylvania State University, The","Ohio State University, The",Field,Political Science,2,1,1
Purdue University,"Ohio State University, The",Field,Political Science,3,2,1
"University of Arizona, The","Ohio State University, The",Field,Political Science,3,2,1
University of Colorado Boulder,"Ohio State University, The",Field,Political Science,5,1,3
"University of Texas at Austin, The","Ohio State University, The",Field,Political Science,2,1,1
"University of Texas at Dallas, The","Ohio State University, The",Field,Political Science,4,1,2
"University of Arizona, The","Pennsylvania State University, The",Field,Political Science,3,2,1
"University of California, Davis","Pennsylvania State University, The",Field,Political Science,2,1,1
"University of Mississippi, The","Pennsylvania State University, The",Field,Political Science,4,1,3
American University,Princeton University,Field,Political Science,2,1,1
Brown University,Princeton University,Field,Political Science,3,1,2
"College of William & Mary, The",Princeton University,Field,Political Science,2,1,1
Emory University,Princeton University,Field,Political Science,3,1,2
Georgetown University,Princeton University,Field,Political Science,4,1,3
Harvard University,Princeton University,Field,Political Science,9,3,5
Indiana University - Bloomington,Princeton University,Field,Political Science,2,1,1
Johns Hopkins University,Princeton University,Field,Political Science,2,1,1
New York University,Princeton University,Field,Political Science,2,1,1
Northwestern University,Princeton University,Field,Political Science,6,3,3
Princeton University,Princeton University,Field,Political Science,3,1,2
Temple University,Princeton University,Field,Political Science,3,1,2
"University of California, Berkeley",Princeton University,Field,Political Science,2,1,1
University of Illinois at Urbana-Champaign,Princeton University,Field,Political Science,3,2,1
"University of Minnesota, Twin Cities",Princeton University,Field,Political Science,3,1,2
University of Pittsburgh,Princeton University,Field,Political Science,3,1,2
University of Rochester,Princeton University,Field,Political Science,4,1,2
University of Washington,Princeton University,Field,Political Science,3,1,2
University of Wisconsin - Madison,Princeton University,Field,Political Science,2,1,1
Vanderbilt University,Princeton University,Field,Political Science,3,1,2
Yale University,Princeton University,Field,Political Science,4,2,2
Kansas State University,Rice University,Field,Political Science,2,1,1
Texas A&M University,Rice University,Field,Political Science,4,2,1
University of Kentucky,Rice University,Field,Political Science,2,1,1
"University of Missouri - Kansas City, The",Rice University,Field,Political Science,2,1,1
Iowa State University,Rutgers - New Brunswick,Field,Political Science,2,1,1
University of Michigan,Rutgers - New Brunswick,Field,Political Science,2,1,1
Wayne State University,Rutgers - New Brunswick,Field,Political Science,3,1,2
Columbia University,Stanford University,Field,Political Science,5,2,1
Harvard University,Stanford University,Field,Political Science,6,3,3
Massachusetts Institute of Technology,Stanford University,Field,Political Science,5,2,3
Northwestern University,Stanford University,Field,Political Science,3,1,2
"Ohio State University, The",Stanford University,Field,Political Science,4,1,3
