InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Alliant International University,Alliant International University,Field,"Psychology, General",32,14,13
Arizona State University,Arizona State University,Field,"Psychology, General",6,4,2
George Mason University,Arizona State University,Field,"Psychology, General",2,1,1
Georgia Institute of Technology,Arizona State University,Field,"Psychology, General",2,1,1
San Diego State University,Arizona State University,Field,"Psychology, General",2,1,1
"University of California, Los Angeles",Arizona State University,Field,"Psychology, General",3,1,2
"University of Cincinnati, The",Arizona State University,Field,"Psychology, General",4,2,2
University of Colorado Boulder,Arizona State University,Field,"Psychology, General",2,1,1
University of North Carolina at Chapel Hill,Arizona State University,Field,"Psychology, General",3,2,1
University of Washington,Arizona State University,Field,"Psychology, General",2,1,1
Utah State University,Arizona State University,Field,"Psychology, General",2,1,1
Idaho State University,Auburn University,Field,"Psychology, General",2,1,1
University of Memphis,Auburn University,Field,"Psychology, General",2,1,1
"Binghamton University, State University of New York","Binghamton University, State University of New York",Field,"Psychology, General",2,1,1
"College of William & Mary, The","Binghamton University, State University of New York",Field,"Psychology, General",2,1,1
Marywood University,"Binghamton University, State University of New York",Field,"Psychology, General",2,1,1
Biola University,Biola University,Field,"Psychology, General",6,5,1
Boston University,Boston University,Field,"Psychology, General",3,1,2
University of New Hampshire,Boston University,Field,"Psychology, General",2,1,1
Alliant International University,Brigham Young University,Field,"Psychology, General",2,1,1
Indiana University - Bloomington,Brown University,Field,"Psychology, General",2,1,1
University of North Carolina at Chapel Hill,Brown University,Field,"Psychology, General",3,1,2
University of Colorado Boulder,Carnegie Mellon University,Field,"Psychology, General",3,1,1
University of Michigan,Carnegie Mellon University,Field,"Psychology, General",3,1,2
Virginia Polytechnic Institute and State University,Carnegie Mellon University,Field,"Psychology, General",2,1,1
Bowling Green State University,Case Western Reserve University,Field,"Psychology, General",2,1,1
Central Michigan University,Case Western Reserve University,Field,"Psychology, General",2,1,1
"Ohio State University, The",Case Western Reserve University,Field,"Psychology, General",2,1,1
"University of Alabama, The",Case Western Reserve University,Field,"Psychology, General",2,1,1
Central Michigan University,Central Michigan University,Field,"Psychology, General",2,1,1
City College (CUNY),"City University of New York, The",Field,"Psychology, General",5,3,2
Florida Atlantic University,"City University of New York, The",Field,"Psychology, General",2,1,1
Fordham University,"City University of New York, The",Field,"Psychology, General",2,1,1
Lehman College (CUNY),"City University of New York, The",Field,"Psychology, General",3,1,2
Long Island University Brooklyn Campus,"City University of New York, The",Field,"Psychology, General",5,1,4
New York University,"City University of New York, The",Field,"Psychology, General",2,1,1
Rutgers - New Brunswick,"City University of New York, The",Field,"Psychology, General",2,1,1
Colorado State University,Colorado State University,Field,"Psychology, General",3,1,1
University of North Texas,Colorado State University,Field,"Psychology, General",2,1,1
Utah State University,Colorado State University,Field,"Psychology, General",2,1,1
Alliant International University,Columbia University,Field,"Psychology, General",3,1,1
Arizona State University,Columbia University,Field,"Psychology, General",2,1,1
Baruch College (CUNY),Columbia University,Field,"Psychology, General",2,1,1
City College (CUNY),Columbia University,Field,"Psychology, General",5,1,3
Duke University,Columbia University,Field,"Psychology, General",2,1,1
New York University,Columbia University,Field,"Psychology, General",5,4,1
Rutgers - New Brunswick,Columbia University,Field,"Psychology, General",2,1,1
"University of California, Berkeley",Columbia University,Field,"Psychology, General",2,1,1
"University of California, Los Angeles",Columbia University,Field,"Psychology, General",2,1,1
Western Michigan University,Columbia University,Field,"Psychology, General",2,1,1
Wichita State University,Columbia University,Field,"Psychology, General",2,1,1
Columbia University,Cornell University,Field,"Psychology, General",2,1,1
Duke University,Cornell University,Field,"Psychology, General",3,2,1
"Ohio State University, The",Cornell University,Field,"Psychology, General",2,1,1
Rutgers  - Newark,Cornell University,Field,"Psychology, General",2,1,1
"University of California, Berkeley",Cornell University,Field,"Psychology, General",2,1,1
"University of Nevada, Las Vegas",Cornell University,Field,"Psychology, General",2,1,1
Vanderbilt University,Cornell University,Field,"Psychology, General",3,2,1
"University of Nevada, Reno",Dartmouth College,Field,"Psychology, General",2,1,1
Drexel University,Drexel University,Field,"Psychology, General",4,3,1
Duke University,Duke University,Field,"Psychology, General",4,1,3
University of Pittsburgh,Duke University,Field,"Psychology, General",3,1,2
Vanderbilt University,Duke University,Field,"Psychology, General",2,1,1
Northwestern University,Emory University,Field,"Psychology, General",2,1,1
Alliant International University,Fielding Graduate University,Field,"Psychology, General",2,1,1
East Carolina University,Florida State University,Field,"Psychology, General",2,1,1
Florida State University,Florida State University,Field,"Psychology, General",2,1,1
Miami University,Florida State University,Field,"Psychology, General",2,1,1
Michigan State University,Florida State University,Field,"Psychology, General",2,1,1
North Carolina State University,Florida State University,Field,"Psychology, General",2,1,1
North Dakota State University,Florida State University,Field,"Psychology, General",2,1,1
Prairie View A&M University,Florida State University,Field,"Psychology, General",2,1,1
University of Central Florida,Florida State University,Field,"Psychology, General",2,1,1
"University of North Carolina at Greensboro, The",Florida State University,Field,"Psychology, General",3,1,2
University of South Florida,Florida State University,Field,"Psychology, General",3,1,2
"University of Southern Mississippi, The",Florida State University,Field,"Psychology, General",6,4,2
Virginia Polytechnic Institute and State University,Florida State University,Field,"Psychology, General",3,1,2
John Jay College of Criminal Justice (CUNY),Fordham University,Field,"Psychology, General",3,2,1
Yeshiva University,Fordham University,Field,"Psychology, General",4,2,1
Fuller Theological Seminary,Fuller Theological Seminary,Field,"Psychology, General",11,7,4
George Mason University,George Mason University,Field,"Psychology, General",6,5,1
Texas A&M University,George Mason University,Field,"Psychology, General",2,1,1
Rice University,Georgia Institute of Technology,Field,"Psychology, General",2,1,1
University of Georgia,Georgia Institute of Technology,Field,"Psychology, General",2,1,1
Georgia State University,Georgia State University,Field,"Psychology, General",4,2,2
University of Hawaii,Georgia State University,Field,"Psychology, General",2,1,1
Boston College,Harvard University,Field,"Psychology, General",6,4,2
Boston University,Harvard University,Field,"Psychology, General",3,1,1
Brown University,Harvard University,Field,"Psychology, General",6,2,2
Columbia University,Harvard University,Field,"Psychology, General",4,2,2
Harvard University,Harvard University,Field,"Psychology, General",5,1,3
New York University,Harvard University,Field,"Psychology, General",4,3,1
Northwestern University,Harvard University,Field,"Psychology, General",4,2,2
"Ohio State University, The",Harvard University,Field,"Psychology, General",2,1,1
Princeton University,Harvard University,Field,"Psychology, General",3,2,1
San Diego State University,Harvard University,Field,"Psychology, General",3,2,1
Stanford University,Harvard University,Field,"Psychology, General",3,2,1
Tufts University,Harvard University,Field,"Psychology, General",3,1,2
"University of Arizona, The",Harvard University,Field,"Psychology, General",3,1,2
"University of California, Berkeley",Harvard University,Field,"Psychology, General",3,1,2
"University of California, Irvine",Harvard University,Field,"Psychology, General",6,3,3
"University of California, Los Angeles",Harvard University,Field,"Psychology, General",4,2,2
"University of California, Riverside",Harvard University,Field,"Psychology, General",3,1,1
"University of California, San Diego",Harvard University,Field,"Psychology, General",4,1,3
"University of California, Santa Barbara",Harvard University,Field,"Psychology, General",2,1,1
"University of California, Santa Cruz",Harvard University,Field,"Psychology, General",4,1,3
University of Delaware,Harvard University,Field,"Psychology, General",2,1,1
University of Massachusetts Boston,Harvard University,Field,"Psychology, General",2,1,1
University of Michigan,Harvard University,Field,"Psychology, General",7,2,5
"University of Minnesota, Twin Cities",Harvard University,Field,"Psychology, General",4,1,3
University of New Hampshire,Harvard University,Field,"Psychology, General",2,1,1
"University of New Mexico, The",Harvard University,Field,"Psychology, General",3,1,2
University of Pennsylvania,Harvard University,Field,"Psychology, General",5,1,3
University of Washington,Harvard University,Field,"Psychology, General",2,1,1
University of Wisconsin - Madison,Harvard University,Field,"Psychology, General",3,2,1
Vanderbilt University,Harvard University,Field,"Psychology, General",4,3,1
Virginia Polytechnic Institute and State University,Harvard University,Field,"Psychology, General",2,1,1
Yale University,Harvard University,Field,"Psychology, General",6,2,3
St. John's University,Hofstra University,Field,"Psychology, General",3,1,2
Florida A&M University,Howard University,Field,"Psychology, General",3,1,2
Illinois Institute of Technology,Illinois Institute of Technology,Field,"Psychology, General",2,1,1
Ball State University,Indiana University - Bloomington,Field,"Psychology, General",3,1,2
Florida State University,Indiana University - Bloomington,Field,"Psychology, General",2,1,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,"Psychology, General",4,1,3
"Ohio State University, The",Indiana University - Bloomington,Field,"Psychology, General",2,1,1
"Pennsylvania State University, The",Indiana University - Bloomington,Field,"Psychology, General",2,1,1
Seton Hall University,Indiana University - Bloomington,Field,"Psychology, General",2,1,1
Temple University,Indiana University - Bloomington,Field,"Psychology, General",2,1,1
"University of California, Irvine",Indiana University - Bloomington,Field,"Psychology, General",4,1,3
"University of Iowa, The",Indiana University - Bloomington,Field,"Psychology, General",5,2,3
"University of Minnesota, Twin Cities",Indiana University - Bloomington,Field,"Psychology, General",2,1,1
University of Virginia,Indiana University - Bloomington,Field,"Psychology, General",2,1,1
Vanderbilt University,Indiana University - Bloomington,Field,"Psychology, General",3,1,2
Gannon University,Iowa State University,Field,"Psychology, General",2,1,1
Illinois State University,Iowa State University,Field,"Psychology, General",2,1,1
Duke University,Johns Hopkins University,Field,"Psychology, General",2,1,1
Kent State University,Johns Hopkins University,Field,"Psychology, General",2,1,1
Rice University,Johns Hopkins University,Field,"Psychology, General",2,1,1
"University of California, Berkeley",Johns Hopkins University,Field,"Psychology, General",2,1,1
University of Wisconsin - Milwaukee,Johns Hopkins University,Field,"Psychology, General",2,1,1
Vanderbilt University,Johns Hopkins University,Field,"Psychology, General",2,1,1
Ball State University,Kent State University,Field,"Psychology, General",2,1,1
Cleveland State University,Kent State University,Field,"Psychology, General",4,3,1
Kansas State University,Kent State University,Field,"Psychology, General",2,1,1
Louisiana State University,Kent State University,Field,"Psychology, General",3,1,2
Regent University,Kent State University,Field,"Psychology, General",2,1,1
Texas Tech University,Kent State University,Field,"Psychology, General",2,1,1
"University of Southern Mississippi, The",Louisiana State University,Field,"Psychology, General",2,1,1
Louisiana Tech University,Louisiana Tech University,Field,"Psychology, General",2,1,1
Rosalind Franklin University,Loyola University Chicago,Field,"Psychology, General",2,1,1
"University of Southern Mississippi, The",Marquette University,Field,"Psychology, General",2,1,1
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,"Psychology, General",2,1,1
"University of California, Irvine",Massachusetts Institute of Technology,Field,"Psychology, General",2,1,1
"University of Chicago, The",Massachusetts Institute of Technology,Field,"Psychology, General",2,1,1
Vanderbilt University,Massachusetts Institute of Technology,Field,"Psychology, General",2,1,1
Yale University,Massachusetts Institute of Technology,Field,"Psychology, General",5,1,4
Ohio University,Miami University,Field,"Psychology, General",2,1,1
Eastern Michigan University,Michigan State University,Field,"Psychology, General",4,2,2
Florida Institute of Technology,Michigan State University,Field,"Psychology, General",2,1,1
Indiana University-Purdue University Indianapolis,Michigan State University,Field,"Psychology, General",2,1,1
Mississippi State University,Michigan State University,Field,"Psychology, General",2,1,1
"Ohio State University, The",Michigan State University,Field,"Psychology, General",2,1,1
Ohio University,Michigan State University,Field,"Psychology, General",3,2,1
Old Dominion University,Michigan State University,Field,"Psychology, General",2,1,1
Rutgers - New Brunswick,Michigan State University,Field,"Psychology, General",2,1,1
"University at Albany, State University of New York",Michigan State University,Field,"Psychology, General",2,1,1
"University of Iowa, The",Michigan State University,Field,"Psychology, General",2,1,1
"University of Maryland, College Park",Michigan State University,Field,"Psychology, General",2,1,1
University of Notre Dame,Michigan State University,Field,"Psychology, General",2,1,1
"University of Tennessee, The",Michigan State University,Field,"Psychology, General",3,1,2
Jackson State University,Mississippi State University,Field,"Psychology, General",3,2,1
City College (CUNY),"New School, The",Field,"Psychology, General",2,1,1
Princeton University,"New School, The",Field,"Psychology, General",2,1,1
Brooklyn College (CUNY),New York University,Field,"Psychology, General",2,1,1
John Jay College of Criminal Justice (CUNY),New York University,Field,"Psychology, General",4,1,2
Johns Hopkins University,New York University,Field,"Psychology, General",2,1,1
Lehman College (CUNY),New York University,Field,"Psychology, General",3,2,1
New York University,New York University,Field,"Psychology, General",6,3,3
Purdue University,New York University,Field,"Psychology, General",2,1,1
University of North Carolina Charlotte,New York University,Field,"Psychology, General",2,1,1
University of Pennsylvania,New York University,Field,"Psychology, General",3,1,2
Yeshiva University,New York University,Field,"Psychology, General",3,2,1
"University of Maine, The",Northeastern University,Field,"Psychology, General",2,1,1
Emory University,Northwestern University,Field,"Psychology, General",2,1,1
Loyola University Chicago,Northwestern University,Field,"Psychology, General",4,2,2
Miami University,Northwestern University,Field,"Psychology, General",2,1,1
San Diego State University,Northwestern University,Field,"Psychology, General",2,1,1
"University of Alabama at Birmingham, The",Northwestern University,Field,"Psychology, General",2,1,1
University of Arkansas,Northwestern University,Field,"Psychology, General",3,1,2
University of Southern California,Northwestern University,Field,"Psychology, General",3,1,2
University of Wisconsin - Milwaukee,Northwestern University,Field,"Psychology, General",2,1,1
Case Western Reserve University,"Ohio State University, The",Field,"Psychology, General",2,1,1
Kent State University,"Ohio State University, The",Field,"Psychology, General",2,1,1
"Ohio State University, The","Ohio State University, The",Field,"Psychology, General",6,2,4
St. John's University,"Ohio State University, The",Field,"Psychology, General",2,1,1
"University of Akron, The","Ohio State University, The",Field,"Psychology, General",3,2,1
"University of California, Davis","Ohio State University, The",Field,"Psychology, General",2,1,1
"University of Chicago, The","Ohio State University, The",Field,"Psychology, General",3,1,2
University of Notre Dame,"Ohio State University, The",Field,"Psychology, General",3,1,2
"University of Tennessee, The","Ohio State University, The",Field,"Psychology, General",2,1,1
"University of Utah, The","Ohio State University, The",Field,"Psychology, General",2,1,1
West Virginia University,"Ohio State University, The",Field,"Psychology, General",2,1,1
Kent State University,Ohio University,Field,"Psychology, General",2,1,1
"Ohio State University, The",Ohio University,Field,"Psychology, General",3,1,2
Ohio University,Ohio University,Field,"Psychology, General",2,1,1
Idaho State University,Oklahoma State University,Field,"Psychology, General",2,1,1
University of Texas Rio Grande Valley,Oklahoma State University,Field,"Psychology, General",2,1,1
Regent University,Old Dominion University,Field,"Psychology, General",5,3,2
"University of California, San Diego",Oregon Health & Science University,Field,"Psychology, General",2,1,1
