InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Albert Einstein College of Medicine of Yeshiva University,Albert Einstein College of Medicine of Yeshiva University,Field,Public Health,6,2,4
Weill Medical College of Cornell University,Albert Einstein College of Medicine of Yeshiva University,Field,Public Health,2,1,1
Texas A&M Health Science Center,Baylor College of Medicine,Field,Public Health,3,1,1
Boston University,Boston University,Field,Public Health,18,8,10
Columbia University,Boston University,Field,Public Health,2,1,1
Johns Hopkins University,Boston University,Field,Public Health,3,2,1
Oregon State University,Boston University,Field,Public Health,2,1,1
Tufts University,Boston University,Field,Public Health,3,2,1
Boston University,Brandeis University,Field,Public Health,4,3,1
Brown University,Brandeis University,Field,Public Health,4,2,2
Boston University,Brown University,Field,Public Health,2,1,1
Brown University,Brown University,Field,Public Health,8,5,1
Columbia University,Brown University,Field,Public Health,3,2,1
"University of Vermont, The",Brown University,Field,Public Health,3,2,1
Weill Medical College of Cornell University,Brown University,Field,Public Health,3,1,1
Harvard University,California Institute of Technology,Field,Public Health,2,1,1
Case Western Reserve University,Case Western Reserve University,Field,Public Health,13,5,4
Johns Hopkins University,Case Western Reserve University,Field,Public Health,4,3,1
Kent State University,Case Western Reserve University,Field,Public Health,3,2,1
Washington University in St. Louis,Case Western Reserve University,Field,Public Health,2,1,1
Albert Einstein College of Medicine of Yeshiva University,"City University of New York, The",Field,Public Health,2,1,1
Columbia University,"City University of New York, The",Field,Public Health,4,2,2
Albert Einstein College of Medicine of Yeshiva University,Columbia University,Field,Public Health,11,6,4
Boston University,Columbia University,Field,Public Health,3,1,2
Columbia University,Columbia University,Field,Public Health,26,16,6
Emory University,Columbia University,Field,Public Health,3,2,1
Icahn School of Medicine at Mount Sinai,Columbia University,Field,Public Health,13,5,5
University of Massachusetts Amherst,Columbia University,Field,Public Health,2,1,1
Weill Medical College of Cornell University,Columbia University,Field,Public Health,9,4,5
Yale University,Columbia University,Field,Public Health,4,2,2
Brown University,Cornell University,Field,Public Health,3,1,2
University of Michigan,Cornell University,Field,Public Health,2,1,1
Johns Hopkins University,Drexel University,Field,Public Health,3,2,1
Brown University,Duke University,Field,Public Health,2,1,1
Indiana University - Bloomington,Duke University,Field,Public Health,3,1,1
Johns Hopkins University,Duke University,Field,Public Health,6,5,1
University of North Carolina at Chapel Hill,Duke University,Field,Public Health,3,1,2
Washington University in St. Louis,Duke University,Field,Public Health,2,1,1
East Carolina University,East Carolina University,Field,Public Health,2,1,1
Emory University,Emory University,Field,Public Health,11,10,1
"University of Nevada, Reno",Emory University,Field,Public Health,3,1,2
Florida A&M University,Florida A&M University,Field,Public Health,2,1,1
Florida A&M University,Florida State University,Field,Public Health,16,5,9
