InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Baylor University,Baylor University,Field,Religious Studies,2,1,1
Graduate Theological Union,Boston College,Field,Religious Studies,4,1,2
Old Dominion University,Boston University,Field,Religious Studies,2,1,1
Duke University,Brandeis University,Field,Religious Studies,2,1,1
Rutgers - New Brunswick,Brown University,Field,Religious Studies,2,1,1
University of Miami,Brown University,Field,Religious Studies,2,1,1
"Catholic University of America, The","Catholic University of America, The",Field,Religious Studies,6,2,4
Claremont Graduate University,Claremont Graduate University,Field,Religious Studies,2,1,1
Arizona State University,Columbia University,Field,Religious Studies,3,2,1
Boston University,Columbia University,Field,Religious Studies,3,2,1
Brooklyn College (CUNY),Columbia University,Field,Religious Studies,2,1,1
Brown University,Columbia University,Field,Religious Studies,2,1,1
"Catholic University of America, The",Columbia University,Field,Religious Studies,2,1,1
Graduate Theological Union,Columbia University,Field,Religious Studies,3,2,1
Rutgers - New Brunswick,Columbia University,Field,Religious Studies,5,2,3
University of Hawaii,Columbia University,Field,Religious Studies,2,1,1
"University of Kansas, The",Columbia University,Field,Religious Studies,2,1,1
"University of Vermont, The",Columbia University,Field,Religious Studies,2,1,1
University of Virginia,Columbia University,Field,Religious Studies,2,1,1
Graduate Theological Union,Drew University,Field,Religious Studies,3,2,1
Baylor University,Duke University,Field,Religious Studies,4,3,1
Princeton Theological Seminary,Duke University,Field,Religious Studies,4,1,2
Vanderbilt University,Duke University,Field,Religious Studies,5,1,3
Howard University,Emory University,Field,Religious Studies,2,1,1
Lutheran School of Theology at Chicago,Emory University,Field,Religious Studies,2,1,1
Princeton Theological Seminary,Emory University,Field,Religious Studies,2,1,1
Syracuse University,Emory University,Field,Religious Studies,2,1,1
"University of Alabama, The",Emory University,Field,Religious Studies,2,1,1
University of South Florida,Emory University,Field,Religious Studies,3,1,2
Fuller Theological Seminary,Fuller Theological Seminary,Field,Religious Studies,13,4,8
Graduate Theological Union,Graduate Theological Union,Field,Religious Studies,11,3,7
