InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
"Stony Brook University, State University of New York",Adelphi University,Field,Social Work,3,2,1
Arizona State University,Arizona State University,Field,Social Work,3,2,1
Portland State University,Arizona State University,Field,Social Work,2,1,1
"University of Texas at San Antonio, The",Arizona State University,Field,Social Work,2,1,1
Barry University,Barry University,Field,Social Work,6,4,2
Florida Atlantic University,Barry University,Field,Social Work,2,1,1
Kansas State University,"Binghamton University, State University of New York",Field,Social Work,2,1,1
Boston College,Boston College,Field,Social Work,6,2,2
"University at Albany, State University of New York",Boston College,Field,Social Work,2,1,1
University of New Hampshire,Boston College,Field,Social Work,4,1,2
Boston University,Brandeis University,Field,Social Work,4,3,1
New York University,Brandeis University,Field,Social Work,3,2,1
Syracuse University,Brandeis University,Field,Social Work,4,1,3
Temple University,Brandeis University,Field,Social Work,2,1,1
"University of Maryland Baltimore, The",Bryn Mawr College,Field,Social Work,2,1,1
Western Michigan University,Bryn Mawr College,Field,Social Work,2,1,1
Boston College,Case Western Reserve University,Field,Social Work,2,1,1
Case Western Reserve University,Case Western Reserve University,Field,Social Work,9,5,4
Miami University,Case Western Reserve University,Field,Social Work,3,2,1
Syracuse University,Case Western Reserve University,Field,Social Work,2,1,1
University of Texas Arlington,Case Western Reserve University,Field,Social Work,2,1,1
Washington University in St. Louis,Case Western Reserve University,Field,Social Work,2,1,1
"Catholic University of America, The","Catholic University of America, The",Field,Social Work,11,9,1
Lehman College (CUNY),"City University of New York, The",Field,Social Work,3,1,2
New York University,"City University of New York, The",Field,Social Work,2,1,1
Clark Atlanta University,Clark Atlanta University,Field,Social Work,4,2,1
Boston University,Columbia University,Field,Social Work,3,1,1
Columbia University,Columbia University,Field,Social Work,8,5,2
Fordham University,Columbia University,Field,Social Work,14,9,1
Michigan State University,Columbia University,Field,Social Work,2,1,1
New York University,Columbia University,Field,Social Work,8,5,2
Rutgers - New Brunswick,Columbia University,Field,Social Work,4,2,1
"Stony Brook University, State University of New York",Columbia University,Field,Social Work,2,1,1
"University at Albany, State University of New York",Columbia University,Field,Social Work,2,1,1
"University of Akron, The",Columbia University,Field,Social Work,2,1,1
"University of Chicago, The",Columbia University,Field,Social Work,5,3,2
University of Connecticut,Columbia University,Field,Social Work,3,1,2
University of Denver,Columbia University,Field,Social Work,3,2,1
"University of Maryland Baltimore, The",Columbia University,Field,Social Work,5,2,3
University of Michigan,Columbia University,Field,Social Work,3,2,1
University of Wisconsin - Madison,Columbia University,Field,Social Work,2,1,1
Kansas State University,Cornell University,Field,Social Work,2,1,1
