InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
George Mason University,American University,Field,Sociology,3,2,1
Arizona State University,Arizona State University,Field,Sociology,11,9,2
"University of Texas at El Paso, The",Arizona State University,Field,Sociology,2,1,1
"Binghamton University, State University of New York","Binghamton University, State University of New York",Field,Sociology,4,1,3
Kansas State University,"Binghamton University, State University of New York",Field,Sociology,2,1,1
University of Massachusetts Lowell,Boston College,Field,Sociology,3,2,1
Miami University,Bowling Green State University,Field,Sociology,2,1,1
New York University,Brandeis University,Field,Sociology,2,1,1
University of Massachusetts Lowell,Brandeis University,Field,Sociology,2,1,1
University of North Carolina at Chapel Hill,Brown University,Field,Sociology,2,1,1
"University of Maryland, Baltimore County",Case Western Reserve University,Field,Sociology,2,1,1
Brooklyn College (CUNY),"City University of New York, The",Field,Sociology,3,2,1
City College (CUNY),"City University of New York, The",Field,Sociology,2,1,1
John Jay College of Criminal Justice (CUNY),"City University of New York, The",Field,Sociology,5,3,2
"Pennsylvania State University, The","City University of New York, The",Field,Sociology,2,1,1
American University,Columbia University,Field,Sociology,2,1,1
Baruch College (CUNY),Columbia University,Field,Sociology,2,1,1
Brooklyn College (CUNY),Columbia University,Field,Sociology,2,1,1
City College (CUNY),Columbia University,Field,Sociology,4,3,1
"College of William & Mary, The",Columbia University,Field,Sociology,2,1,1
Columbia University,Columbia University,Field,Sociology,3,1,2
Florida International University,Columbia University,Field,Sociology,2,1,1
John Jay College of Criminal Justice (CUNY),Columbia University,Field,Sociology,3,2,1
New York University,Columbia University,Field,Sociology,4,3,1
Princeton University,Columbia University,Field,Sociology,3,1,2
Stanford University,Columbia University,Field,Sociology,2,1,1
University of Massachusetts Amherst,Columbia University,Field,Sociology,2,1,1
Yale University,Columbia University,Field,Sociology,2,1,1
"College of William & Mary, The",Cornell University,Field,Sociology,3,2,1
Colorado State University,Cornell University,Field,Sociology,2,1,1
Indiana University - Bloomington,Cornell University,Field,Sociology,4,2,1
Indiana University of Pennsylvania,Cornell University,Field,Sociology,2,1,1
Kansas State University,Cornell University,Field,Sociology,2,1,1
Michigan State University,Cornell University,Field,Sociology,3,1,2
"Pennsylvania State University, The",Cornell University,Field,Sociology,3,1,1
Rice University,Cornell University,Field,Sociology,2,1,1
Stanford University,Cornell University,Field,Sociology,2,1,1
University of Georgia,Cornell University,Field,Sociology,2,1,1
University of Wisconsin - Milwaukee,Cornell University,Field,Sociology,2,1,1
Duke University,Duke University,Field,Sociology,3,1,2
Florida State University,Duke University,Field,Sociology,2,1,1
University of Nebraska - Lincoln,Duke University,Field,Sociology,2,1,1
University of South Florida,Duke University,Field,Sociology,2,1,1
"University of Tennessee, The",Duke University,Field,Sociology,2,1,1
"University of Texas at Austin, The",Duke University,Field,Sociology,3,1,2
Georgia State University,Emory University,Field,Sociology,2,1,1
University of New Hampshire,Emory University,Field,Sociology,3,1,2
Colorado State University,Florida State University,Field,Sociology,2,1,1
University of Louisiana at Lafayette,Florida State University,Field,Sociology,2,1,1
Western Michigan University,Florida State University,Field,Sociology,2,1,1
Columbia University,Harvard University,Field,Sociology,4,1,2
Cornell University,Harvard University,Field,Sociology,7,4,3
Lehigh University,Harvard University,Field,Sociology,2,1,1
"New School, The",Harvard University,Field,Sociology,2,1,1
Northeastern University,Harvard University,Field,Sociology,2,1,1
Northwestern University,Harvard University,Field,Sociology,3,1,2
Rice University,Harvard University,Field,Sociology,2,1,1
"Stony Brook University, State University of New York",Harvard University,Field,Sociology,3,2,1
Tufts University,Harvard University,Field,Sociology,2,1,1
"University of California, Berkeley",Harvard University,Field,Sociology,10,4,6
"University of California, Los Angeles",Harvard University,Field,Sociology,3,1,2
"University of California, San Diego",Harvard University,Field,Sociology,5,2,3
University of Notre Dame,Harvard University,Field,Sociology,3,1,2
University of Washington,Harvard University,Field,Sociology,2,1,1
University of Wisconsin - Madison,Harvard University,Field,Sociology,4,1,2
Yale University,Harvard University,Field,Sociology,2,1,1
Howard University,Howard University,Field,Sociology,4,2,2
Clemson University,Indiana University - Bloomington,Field,Sociology,2,1,1
Harvard University,Indiana University - Bloomington,Field,Sociology,2,1,1
Montana State University,Indiana University - Bloomington,Field,Sociology,2,1,1
North Carolina State University,Indiana University - Bloomington,Field,Sociology,3,2,1
"Ohio State University, The",Indiana University - Bloomington,Field,Sociology,4,3,1
"Pennsylvania State University, The",Indiana University - Bloomington,Field,Sociology,3,1,2
"Stony Brook University, State University of New York",Indiana University - Bloomington,Field,Sociology,2,1,1
Texas Tech University,Indiana University - Bloomington,Field,Sociology,2,1,1
"University of California, Merced",Indiana University - Bloomington,Field,Sociology,2,1,1
University of Kentucky,Indiana University - Bloomington,Field,Sociology,2,1,1
University of Oklahoma,Indiana University - Bloomington,Field,Sociology,2,1,1
Vanderbilt University,Indiana University - Bloomington,Field,Sociology,3,2,1
Texas State University,Iowa State University,Field,Sociology,2,1,1
"College of William & Mary, The",Johns Hopkins University,Field,Sociology,3,1,2
Georgia State University,Johns Hopkins University,Field,Sociology,3,2,1
Kent State University,Kent State University,Field,Sociology,10,7,2
Wayne State University,Kent State University,Field,Sociology,2,1,1
Louisiana State University,Louisiana State University,Field,Sociology,3,1,2
University of Louisiana at Lafayette,Louisiana State University,Field,Sociology,6,4,2
"University of Texas at Tyler, The",Louisiana State University,Field,Sociology,2,1,1
Michigan State University,Michigan State University,Field,Sociology,4,2,2
"Pennsylvania State University, The",Michigan State University,Field,Sociology,6,1,5
University of Louisville,Michigan State University,Field,Sociology,2,1,1
West Virginia University,Michigan State University,Field,Sociology,2,1,1
Mississippi State University,Mississippi State University,Field,Sociology,10,5,5
George Mason University,New York University,Field,Sociology,2,1,1
John Jay College of Criminal Justice (CUNY),New York University,Field,Sociology,2,1,1
"Stony Brook University, State University of New York",New York University,Field,Sociology,2,1,1
"University at Albany, State University of New York",New York University,Field,Sociology,3,2,1
University of Delaware,New York University,Field,Sociology,3,1,2
"University of Texas at Austin, The",New York University,Field,Sociology,2,1,1
University of Virginia,New York University,Field,Sociology,2,1,1
Northern Illinois University,North Carolina State University,Field,Sociology,2,1,1
Brooklyn College (CUNY),Northwestern University,Field,Sociology,2,1,1
Case Western Reserve University,Northwestern University,Field,Sociology,2,1,1
Columbia University,Northwestern University,Field,Sociology,2,1,1
North Carolina State University,Northwestern University,Field,Sociology,2,1,1
Purdue University,Northwestern University,Field,Sociology,2,1,1
Syracuse University,Northwestern University,Field,Sociology,2,1,1
Tufts University,Northwestern University,Field,Sociology,2,1,1
"University at Buffalo, State University of New York",Northwestern University,Field,Sociology,2,1,1
"University of California, Santa Cruz",Northwestern University,Field,Sociology,2,1,1
"University of Iowa, The",Northwestern University,Field,Sociology,2,1,1
"University of Minnesota, Twin Cities",Northwestern University,Field,Sociology,4,2,2
University of Notre Dame,Northwestern University,Field,Sociology,3,1,2
Auburn University,"Ohio State University, The",Field,Sociology,5,3,2
Brigham Young University,"Ohio State University, The",Field,Sociology,3,1,2
Kent State University,"Ohio State University, The",Field,Sociology,3,1,2
Miami University,"Ohio State University, The",Field,Sociology,2,1,1
"Pennsylvania State University, The","Ohio State University, The",Field,Sociology,9,3,6
University of Central Florida,"Ohio State University, The",Field,Sociology,2,1,1
University of Dayton,"Ohio State University, The",Field,Sociology,2,1,1
University of Missouri,"Ohio State University, The",Field,Sociology,2,1,1
"University of Nevada, Reno","Ohio State University, The",Field,Sociology,2,1,1
"University of New Mexico, The","Ohio State University, The",Field,Sociology,4,1,2
University of Oregon,"Ohio State University, The",Field,Sociology,2,1,1
Western Michigan University,"Ohio State University, The",Field,Sociology,3,1,2
Bowling Green State University,"Pennsylvania State University, The",Field,Sociology,3,1,2
Mississippi State University,"Pennsylvania State University, The",Field,Sociology,2,1,1
Montana State University,"Pennsylvania State University, The",Field,Sociology,4,2,2
"Ohio State University, The","Pennsylvania State University, The",Field,Sociology,3,1,2
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Sociology,11,4,4
Tulane University,"Pennsylvania State University, The",Field,Sociology,2,1,1
"University at Albany, State University of New York","Pennsylvania State University, The",Field,Sociology,3,1,2
University of Colorado Denver,"Pennsylvania State University, The",Field,Sociology,2,1,1
University of Nebraska - Lincoln,"Pennsylvania State University, The",Field,Sociology,4,1,3
Washington State University,"Pennsylvania State University, The",Field,Sociology,2,1,1
Georgetown University,Princeton University,Field,Sociology,3,1,1
Harvard University,Princeton University,Field,Sociology,2,1,1
"University of California, Los Angeles",Princeton University,Field,Sociology,2,1,1
University of Pennsylvania,Princeton University,Field,Sociology,3,2,1
"University of Texas at Austin, The",Princeton University,Field,Sociology,4,3,1
University of Washington,Princeton University,Field,Sociology,2,1,1
University of Wisconsin - Madison,Princeton University,Field,Sociology,2,1,1
Vanderbilt University,Princeton University,Field,Sociology,2,1,1
Kent State University,Purdue University,Field,Sociology,2,1,1
Princeton University,Rutgers - New Brunswick,Field,Sociology,2,1,1
Brown University,Stanford University,Field,Sociology,3,2,1
Duke University,Stanford University,Field,Sociology,2,1,1
New York University,Stanford University,Field,Sociology,2,1,1
Northwestern University,Stanford University,Field,Sociology,2,1,1
Oregon State University,Stanford University,Field,Sociology,2,1,1
"University of California, Irvine",Stanford University,Field,Sociology,6,2,3
"University of Iowa, The",Stanford University,Field,Sociology,3,2,1
University of North Carolina at Chapel Hill,Stanford University,Field,Sociology,3,2,1
University of South Carolina,Stanford University,Field,Sociology,2,1,1
University of Pittsburgh,"Stony Brook University, State University of New York",Field,Sociology,2,1,1
Vanderbilt University,"Stony Brook University, State University of New York",Field,Sociology,3,1,2
George Mason University,Syracuse University,Field,Sociology,2,1,1
Auburn University,Texas A&M University,Field,Sociology,2,1,1
Kent State University,Texas A&M University,Field,Sociology,2,1,1
Kent State University,"University at Albany, State University of New York",Field,Sociology,2,1,1
Louisiana State University,"University at Albany, State University of New York",Field,Sociology,2,1,1
"College of William & Mary, The","University of Arizona, The",Field,Sociology,2,1,1
"University of Arizona, The","University of Arizona, The",Field,Sociology,2,1,1
University of Houston,"University of Arizona, The",Field,Sociology,2,1,1
University of North Carolina Charlotte,"University of Arizona, The",Field,Sociology,2,1,1
University of Notre Dame,"University of Arizona, The",Field,Sociology,2,1,1
University of Oklahoma,"University of Arizona, The",Field,Sociology,3,2,1
Washington State University,"University of Arizona, The",Field,Sociology,2,1,1
Columbia University,"University of California, Berkeley",Field,Sociology,3,2,1
Florida State University,"University of California, Berkeley",Field,Sociology,2,1,1
George Mason University,"University of California, Berkeley",Field,Sociology,2,1,1
Johns Hopkins University,"University of California, Berkeley",Field,Sociology,3,1,2
Michigan State University,"University of California, Berkeley",Field,Sociology,3,1,1
New York University,"University of California, Berkeley",Field,Sociology,5,3,2
Northeastern University,"University of California, Berkeley",Field,Sociology,3,2,1
Northwestern University,"University of California, Berkeley",Field,Sociology,5,3,2
"Ohio State University, The","University of California, Berkeley",Field,Sociology,2,1,1
Princeton University,"University of California, Berkeley",Field,Sociology,3,1,2
Syracuse University,"University of California, Berkeley",Field,Sociology,5,4,1
"University of Arizona, The","University of California, Berkeley",Field,Sociology,4,2,2
"University of California, Davis","University of California, Berkeley",Field,Sociology,6,3,3
"University of California, Los Angeles","University of California, Berkeley",Field,Sociology,4,1,2
"University of California, San Diego","University of California, Berkeley",Field,Sociology,7,1,6
