InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
"Ohio State University, The",Brown University,Field,Spanish Language and Literature,2,1,1
"University of California, Irvine",Brown University,Field,Spanish Language and Literature,2,1,1
Arizona State University,Columbia University,Field,Spanish Language and Literature,3,2,1
Florida International University,Columbia University,Field,Spanish Language and Literature,2,1,1
"University of California, Los Angeles",Columbia University,Field,Spanish Language and Literature,2,1,1
University of Virginia,Columbia University,Field,Spanish Language and Literature,2,1,1
Wake Forest University,Columbia University,Field,Spanish Language and Literature,2,1,1
Johns Hopkins University,Cornell University,Field,Spanish Language and Literature,2,1,1
"University at Buffalo, State University of New York",Cornell University,Field,Spanish Language and Literature,3,2,1
"University of California, Berkeley",Cornell University,Field,Spanish Language and Literature,2,1,1
"University of Iowa, The",Cornell University,Field,Spanish Language and Literature,2,1,1
University of Miami,Cornell University,Field,Spanish Language and Literature,2,1,1
University of Missouri,Cornell University,Field,Spanish Language and Literature,2,1,1
University of Oregon,Cornell University,Field,Spanish Language and Literature,5,4,1
"University of Vermont, The",Cornell University,Field,Spanish Language and Literature,2,1,1
"University of California, Riverside",Duke University,Field,Spanish Language and Literature,2,1,1
University of Illinois at Urbana-Champaign,Emory University,Field,Spanish Language and Literature,2,1,1
Florida State University,Florida State University,Field,Spanish Language and Literature,2,1,1
University of Wisconsin - Madison,Georgetown University,Field,Spanish Language and Literature,2,1,1
Arizona State University,Harvard University,Field,Spanish Language and Literature,6,3,3
Florida International University,Harvard University,Field,Spanish Language and Literature,2,1,1
Northwestern University,Harvard University,Field,Spanish Language and Literature,2,1,1
Princeton University,Harvard University,Field,Spanish Language and Literature,3,1,2
"University of California, Irvine",Harvard University,Field,Spanish Language and Literature,2,1,1
University of Virginia,Harvard University,Field,Spanish Language and Literature,2,1,1
Florida State University,Indiana University - Bloomington,Field,Spanish Language and Literature,2,1,1
Texas A&M Kingsville,Indiana University - Bloomington,Field,Spanish Language and Literature,3,2,1
"University of Arizona, The",Indiana University - Bloomington,Field,Spanish Language and Literature,2,1,1
"University of Kansas, The",Indiana University - Bloomington,Field,Spanish Language and Literature,2,1,1
Arizona State University,New York University,Field,Spanish Language and Literature,2,1,1
Brown University,New York University,Field,Spanish Language and Literature,2,1,1
Massachusetts Institute of Technology,New York University,Field,Spanish Language and Literature,2,1,1
New York University,New York University,Field,Spanish Language and Literature,2,1,1
"Stony Brook University, State University of New York",New York University,Field,Spanish Language and Literature,2,1,1
Tulane University,New York University,Field,Spanish Language and Literature,2,1,1
"University of California, Davis",New York University,Field,Spanish Language and Literature,2,1,1
"University of Minnesota, Twin Cities",New York University,Field,Spanish Language and Literature,2,1,1
Indiana University - Bloomington,"Ohio State University, The",Field,Spanish Language and Literature,2,1,1
"Ohio State University, The","Ohio State University, The",Field,Spanish Language and Literature,2,1,1
University of Florida,"Pennsylvania State University, The",Field,Spanish Language and Literature,3,2,1
University of Miami,"Pennsylvania State University, The",Field,Spanish Language and Literature,2,1,1
Dartmouth College,Princeton University,Field,Spanish Language and Literature,2,1,1
Florida State University,Princeton University,Field,Spanish Language and Literature,2,1,1
Johns Hopkins University,Princeton University,Field,Spanish Language and Literature,2,1,1
New York University,Princeton University,Field,Spanish Language and Literature,4,2,2
University of Miami,Princeton University,Field,Spanish Language and Literature,3,1,2
Florida International University,Rutgers - New Brunswick,Field,Spanish Language and Literature,2,1,1
Massachusetts Institute of Technology,Stanford University,Field,Spanish Language and Literature,3,2,1
Indiana University - Bloomington,"University of Arizona, The",Field,Spanish Language and Literature,3,2,1
University of Kentucky,"University of Arizona, The",Field,Spanish Language and Literature,2,1,1
Arizona State University,"University of California, Berkeley",Field,Spanish Language and Literature,3,1,1
Cornell University,"University of California, Berkeley",Field,Spanish Language and Literature,3,1,2
Florida State University,"University of California, Berkeley",Field,Spanish Language and Literature,3,2,1
Texas A&M University,"University of California, Berkeley",Field,Spanish Language and Literature,2,1,1
Tulane University,"University of California, Berkeley",Field,Spanish Language and Literature,2,1,1
"University of California, Santa Cruz","University of California, Berkeley",Field,Spanish Language and Literature,4,2,1
