InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Duquesne University,Arizona State University,Field,Special Education,2,1,1
Florida International University,Arizona State University,Field,Special Education,3,1,2
University of Kentucky,Auburn University,Field,Special Education,3,1,2
Ball State University,Ball State University,Field,Special Education,6,4,2
"Pennsylvania State University, The",Cornell University,Field,Special Education,2,1,1
Duquesne University,Duquesne University,Field,Special Education,2,1,1
Florida Atlantic University,Florida Atlantic University,Field,Special Education,2,1,1
Florida International University,Florida International University,Field,Special Education,4,2,1
Florida International University,Florida State University,Field,Special Education,3,2,1
George Washington University,George Washington University,Field,Special Education,6,5,1
Boston College,Harvard University,Field,Special Education,4,2,1
University of Washington,Harvard University,Field,Special Education,2,1,1
Southern University and A&M College,Howard University,Field,Special Education,2,1,1
Western Michigan University,Indiana University - Bloomington,Field,Special Education,3,1,1
Kansas State University,Kansas State University,Field,Special Education,3,2,1
Duquesne University,Kent State University,Field,Special Education,2,1,1
University of Louisiana at Lafayette,Louisiana State University,Field,Special Education,8,6,1
"University of Southern Mississippi, The",Louisiana State University,Field,Special Education,4,1,3
Boston College,Michigan State University,Field,Special Education,2,1,1
East Carolina University,Michigan State University,Field,Special Education,2,1,1
Michigan State University,Michigan State University,Field,Special Education,10,4,4
Mississippi State University,Mississippi State University,Field,Special Education,12,8,4
City College (CUNY),New York University,Field,Special Education,3,2,1
Northern Illinois University,Northern Illinois University,Field,Special Education,4,1,1
Vanderbilt University,Northwestern University,Field,Special Education,2,1,1
Florida International University,"Ohio State University, The",Field,Special Education,2,1,1
Georgia State University,"Ohio State University, The",Field,Special Education,3,1,2
University of North Carolina Charlotte,"Ohio State University, The",Field,Special Education,4,1,2
University of South Florida,"Ohio State University, The",Field,Special Education,2,1,1
"Pennsylvania State University, The","Pennsylvania State University, The",Field,Special Education,11,7,4
University of Virginia,"Pennsylvania State University, The",Field,Special Education,4,2,1
