InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Icahn School of Medicine at Mount Sinai,Albert Einstein College of Medicine of Yeshiva University,Field,Teacher Education Specific Subjects,2,1,1
Arizona State University,Arizona State University,Field,Teacher Education Specific Subjects,2,1,1
East Carolina University,Arizona State University,Field,Teacher Education Specific Subjects,2,1,1
Purdue University,Arizona State University,Field,Teacher Education Specific Subjects,2,1,1
University of Colorado Boulder,Arizona State University,Field,Teacher Education Specific Subjects,4,3,1
University of Georgia,Arizona State University,Field,Teacher Education Specific Subjects,2,1,1
University of Kentucky,Auburn University,Field,Teacher Education Specific Subjects,3,1,2
Indiana University - Bloomington,"City University of New York, The",Field,Teacher Education Specific Subjects,3,1,2
Teachers College Columbia University,Columbia University,Field,Teacher Education Specific Subjects,3,2,1
University of Colorado Boulder,Columbia University,Field,Teacher Education Specific Subjects,2,1,1
American University,Cornell University,Field,Teacher Education Specific Subjects,2,1,1
Arizona State University,Cornell University,Field,Teacher Education Specific Subjects,5,1,4
"University of Montana, Missoula",Cornell University,Field,Teacher Education Specific Subjects,2,1,1
Virginia Polytechnic Institute and State University,Cornell University,Field,Teacher Education Specific Subjects,3,1,1
East Carolina University,Florida State University,Field,Teacher Education Specific Subjects,7,1,6
Florida State University,Florida State University,Field,Teacher Education Specific Subjects,5,3,2
"University of Southern Mississippi, The",Florida State University,Field,Teacher Education Specific Subjects,5,3,1
Teachers College Columbia University,Harvard University,Field,Teacher Education Specific Subjects,3,2,1
Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,Field,Teacher Education Specific Subjects,5,3,1
East Carolina University,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,13,4,8
Florida State University,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,3,2,1
Indiana University - Bloomington,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,38,9,29
North Carolina State University,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,2,1,1
University of Colorado Boulder,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,3,1,2
"University of Montana, Missoula",Indiana University - Bloomington,Field,Teacher Education Specific Subjects,2,1,1
"University of Southern Mississippi, The",Indiana University - Bloomington,Field,Teacher Education Specific Subjects,4,1,2
Wayne State University,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,2,1,1
Western Michigan University,Indiana University - Bloomington,Field,Teacher Education Specific Subjects,3,1,1
Utah State University,Iowa State University,Field,Teacher Education Specific Subjects,4,1,2
Kansas State University,Kansas State University,Field,Teacher Education Specific Subjects,15,11,2
Indiana University - Bloomington,Louisiana State University,Field,Teacher Education Specific Subjects,2,1,1
University of Louisiana at Lafayette,Louisiana State University,Field,Teacher Education Specific Subjects,8,6,1
"University of Southern Mississippi, The",Louisiana State University,Field,Teacher Education Specific Subjects,3,2,1
American University,Michigan State University,Field,Teacher Education Specific Subjects,3,1,2
East Carolina University,Michigan State University,Field,Teacher Education Specific Subjects,3,1,2
Northern Illinois University,Michigan State University,Field,Teacher Education Specific Subjects,2,1,1
Oakland University,Michigan State University,Field,Teacher Education Specific Subjects,3,1,2
"University at Albany, State University of New York",Michigan State University,Field,Teacher Education Specific Subjects,2,1,1
University of Colorado Boulder,Michigan State University,Field,Teacher Education Specific Subjects,2,1,1
University of Georgia,Michigan State University,Field,Teacher Education Specific Subjects,5,1,3
Wayne State University,Michigan State University,Field,Teacher Education Specific Subjects,3,2,1
East Carolina University,North Carolina State University,Field,Teacher Education Specific Subjects,7,5,2
North Carolina State University,North Carolina State University,Field,Teacher Education Specific Subjects,9,6,3
University of Georgia,North Carolina State University,Field,Teacher Education Specific Subjects,2,1,1
Indiana University - Bloomington,Northwestern University,Field,Teacher Education Specific Subjects,5,2,2
University of Colorado Boulder,Northwestern University,Field,Teacher Education Specific Subjects,4,3,1
Oakland University,Oakland University,Field,Teacher Education Specific Subjects,3,1,1
East Carolina University,"Ohio State University, The",Field,Teacher Education Specific Subjects,2,1,1
North Carolina State University,"Ohio State University, The",Field,Teacher Education Specific Subjects,3,1,1
"Ohio State University, The","Ohio State University, The",Field,Teacher Education Specific Subjects,3,2,1
University of Dayton,"Ohio State University, The",Field,Teacher Education Specific Subjects,5,3,2
University of South Florida,"Ohio State University, The",Field,Teacher Education Specific Subjects,2,1,1
West Virginia University,"Ohio State University, The",Field,Teacher Education Specific Subjects,2,1,1
Oklahoma State University,Oklahoma State University,Field,Teacher Education Specific Subjects,8,2,6
Old Dominion University,Old Dominion University,Field,Teacher Education Specific Subjects,2,1,1
"Ohio State University, The","Pennsylvania State University, The",Field,Teacher Education Specific Subjects,4,3,1
University of Georgia,"Pennsylvania State University, The",Field,Teacher Education Specific Subjects,4,1,2
"University of North Carolina at Greensboro, The","Pennsylvania State University, The",Field,Teacher Education Specific Subjects,3,1,2
University of Virginia,"Pennsylvania State University, The",Field,Teacher Education Specific Subjects,2,1,1
Virginia Commonwealth University,"Pennsylvania State University, The",Field,Teacher Education Specific Subjects,4,2,2
Virginia Polytechnic Institute and State University,"Pennsylvania State University, The",Field,Teacher Education Specific Subjects,2,1,1
West Virginia University,"Pennsylvania State University, The",Field,Teacher Education Specific Subjects,3,1,2
Indiana University - Bloomington,Princeton University,Field,Teacher Education Specific Subjects,7,1,6
Purdue University,Purdue University,Field,Teacher Education Specific Subjects,10,6,4
"University of Arizona, The",Purdue University,Field,Teacher Education Specific Subjects,2,1,1
Virginia Polytechnic Institute and State University,Purdue University,Field,Teacher Education Specific Subjects,4,3,1
Southern Illinois University Carbondale,Southern Illinois University Carbondale,Field,Teacher Education Specific Subjects,2,1,1
"University of Arizona, The",Stanford University,Field,Teacher Education Specific Subjects,2,1,1
